Feature,Importance
ctts,1.8984991671636129
GOP,1.8845635049977232
name(2),1.7202059051531224
sbgp,1.674154435930696
sgpd,1.674154423870162
mdhd_Timescale,1.6730002125446506
mvhd_Timescale,1.486321578034016
mvhd_Modify Time,1.395554932668963
ftyp_Compatible Brands,1.2251972363590358
meta,1.1402635582943021
ftyp_Major Brand,0.977043149545002
smrd,0.9762195984919811
sdtp,0.9498630081161069
auth,0.9094421964574954
SDLN,0.8959817583097527
hdlr(4),0.781873139524744
hdlr(3),0.7818554198469886
hdlr,0.7584374017139538
smta,0.740807163182354
mdhd(2)_Create Time,0.7384441908528664
tkhd(2)_Create Time,0.7384441908528664
stss,0.6794375214424103
mdhd_Create Time,0.6760531761811257
tkhd_Create Time,0.6760531761811257
vhdr,0.5966996175824337
tref,0.5888021523874186
elst_Media Time,0.5714478257728912
mdhd_Modify Time,0.5651876664842318
tkhd_Modify Time,0.5651876664842318
elst_Rate,0.5439812825011552
sbgp(2),0.543603420636547
sgpd(2),0.526827107012967
mdhd(2)_Modify Time,0.5027966518124927
tkhd(2)_Modify Time,0.5027966518124927
type,0.4635652611232216
tapt,0.45341954721646427
meta(2),0.43522204608099846
elst(2)_Media Time,0.41665152793090576
stco(2),0.38818163978019005
ftyp_Minor Version,0.2776756001399001
cslg,0.26232432263702526
mdhd_Language Code,0.24919565659214477
free,0.24387145509116132
tkhd_Track ID,0.23541243530962647
stsz_Sample Size,0.23541243530962647
dinf,0.23541243530962647
hdlr(2),0.22967152810747654
vmhd,0.18864869173080132
tkhd(2)_Width,0.16020003507546424
tkhd(2)_Height,0.16020003507546424
mvhd_Next Track ID,0.15607659329093274
mvhd_Create Time,0.1543140900036049
mdhd(3)_Modify Time,0.12140589076519172
mdhd(3)_Create Time,0.12140589076519172
tkhd(3)_Height,0.12140589076519172
tkhd(3)_Width,0.12140589076519172
tkhd(3)_Modify Time,0.12140589076519172
tkhd(3)_Create Time,0.12140589076519172
tkhd(3)_Track ID,0.12140589076519172
tkhd(4)_Modify Time,0.11919248061232021
tkhd(4)_Height,0.11919248061232021
mdhd(4)_Create Time,0.11919248061232021
mdhd(4)_Modify Time,0.11919248061232021
tkhd(4)_Create Time,0.11919248061232021
tkhd(4)_Width,0.11919248061232021
mdhd(2)_Language Code,0.11617340666909598
elst(2)_Rate,0.10575114782217518
skip,0.09673696124384376
smme,0.09673696124384315
mdhd(5)_Modify Time,0.08893147322847901
tkhd(5)_Width,0.08893147322847901
tkhd(5)_Modify Time,0.08893147322847901
tkhd(5)_Create Time,0.08893147322847901
tkhd(5)_Track ID,0.08893147322847901
mdhd(5)_Create Time,0.08893147322847901
tkhd(5)_Height,0.08893147322847901
stss(2),0.07766203631352316
cslg(2),0.077662036313523
sbgp(3),0.077662036313523
ctts(2),0.077662036313523
sgpd(5),0.077662036313523
tagc(3),0.07766203631352096
tagc,0.07766203631352096
tagc(2),0.07766203631351995
tapt(2),0.07766203631351974
tkhd_Width,0.0653611033444617
tkhd_Height,0.0653611033444617
csgm(2),0.05950705177116456
sgpd(4),0.057139188934800175
csgm,0.057127199347936745
sgpd(3),0.05674922800340809
tgas,0.05041815676457865
mdhd(3)_Language Code,0.04116805058296662
hdlr(6),0.04116805058296662
elst(3)_Rate,0.04116805058296638
dinf(3),0.04116805058296638
gmhd,0.04116805058296638
hdlr(5),0.04115125323386433
stco(5),0.04079267727221013
mdhd(3)_Timescale,0.03920690466849225
mdhd(4)_Language Code,0.038954640430094944
mdhd(4)_Timescale,0.038954640430094944
tkhd(4)_Track ID,0.038954640430094944
hdlr(8),0.038954640430094944
dinf(4),0.038954640430094695
hdlr(7),0.038954640430094695
elst(4)_Rate,0.03859599904433542
elst(4)_Media Time,0.03843923859847749
gmhd(2),0.036378836561392285
stsz(5)_Sample Size,0.03512183089222582
stsz(4)_Sample Size,0.029707633355666816
tref(2),0.027837929468684512
stco,0.027821418038422977
stsz(3)_Sample Size,0.026574144632278352
mdhd(2)_Timescale,0.01773170680958942
tkhd(2)_Track ID,0.017176895417480877
smhd,0.017176895417480877
dinf(2),0.017176895417480773
elst(3)_Media Time,0.014345599227950498
mdhd(5)_Language Code,0.008693633046257062
mdhd(5)_Timescale,0.008693633046257062
hdlr(10),0.008693633046254302
gmhd(3),0.008693633046252612
dinf(5),0.008693633046252612
hdlr(9),0.008693633046252612
tref(3),0.008693633046252612
stco(4),0.008454770028718046
elst(5)_Media Time,0.008334991660495504
elst(5)_Rate,0.008334991660493573
stsz(2)_Sample Size,0.005995767241291925
stco(3),0.0031940017240032256
sdtp(2),0.0025758038687024717
vmhd(2),0.0025758038687024682
elst_Entry Count,0.0
stsd(3)_Entry Count,0.0
mdhd(3)_Duration,0.0
stsd(2)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
stsd_Entry Count,0.0
stts(2)_Entry Count,0.0
free(2),0.0
mdhd_Duration,0.0
elst_Entries,0.0
elst(5)_Entries,0.0
stts(3)_Entry Count,0.0
co64(2)_Entry Count,0.0
wide,0.0
stsc(2)_Entry Count,0.0
