Feature,Importance
SPS_log2_max_pic_order_cnt_lsb_minus4,1.330914695229954
sbgp,1.2503236364252173
sgpd,1.2503231006176454
mvhd_Modify Time,1.2006361121258757
SPS_pic_width_in_mbs_minus1,1.123794388486485
SPS_vui.num_reorder_frames,1.0831220722485901
mvhd_Timescale,1.0830979512022587
ctts,1.004454908406982
meta,0.8941959370297186
tkhd(2)_Create Time,0.8524710588188112
mdhd(2)_Create Time,0.8524710588188112
mdhd_Create Time,0.8411901699829212
tkhd_Create Time,0.8411901699829204
mdhd_Modify Time,0.8230166444174012
tkhd_Modify Time,0.8230166444174012
ftyp_Compatible Brands,0.8200222772499777
SPS_vui.max_dec_frame_buffering,0.8165420985711584
tkhd(2)_Modify Time,0.8117357555815101
mdhd(2)_Modify Time,0.8117357555815101
ftyp_Major Brand,0.7962838796213796
SPS_log2_max_frame_num_minus4,0.7956003741807792
SPS_pic_order_cnt_type,0.7812961835746147
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.7478545722312391
name(2),0.7465563499307355
SPS_vui.aspect_ratio_idc,0.6969482206555281
SPS_vui.video_format,0.6872412718112925
stco(2),0.6491246398242383
mdhd(2)_Timescale,0.6299201848570616
SPS_frame_crop_bottom_offset,0.5794691525934423
hdlr(4),0.55868350628522
hdlr(3),0.5586704244265941
SPS_vui.bitstream_restriction_flag,0.5473329725524092
SPS_vui.log2_max_mv_length_vertical,0.5461565949856895
tkhd(2)_Height,0.5325658412340701
tkhd(2)_Width,0.5325658412340701
ftyp_Minor Version,0.5143511005813947
SPS_vui.log2_max_mv_length_horizontal,0.5124322653990548
tkhd_Width,0.505763471591115
tkhd_Height,0.505763471591115
sdtp,0.4996528668136399
SPS_vui.fixed_frame_rate_flag,0.4893325327389759
smrd,0.46591965483024483
mvhd_Create Time,0.4635707022744426
SPS_frame_crop_right_offset,0.44837526648958076
tapt,0.4469535904998412
smta,0.4383320968970557
SDLN,0.4213721664022058
SPS_vui.time_scale,0.3903958588774071
SPS_profile_idc,0.38081387862081345
SPS_vui.aspect_ratio_info_present_flag,0.37697853275836357
SPS_level_idc,0.36645875515025317
meta(2),0.34308168413568674
SPS_constraint_set0_flag,0.34069875415800044
SPS_vui.matrix_coefficients,0.31454113341188067
SPS_vui.colour_primaries,0.3132431670040853
SPS_vui.transfer_characteristics,0.3010313263549379
SPS_vui_parameters_present_flag,0.2892283569285189
SPS_vui.max_bits_per_mb_denom,0.28690134793330346
SPS_vui.max_bytes_per_pic_denom,0.2866662770949729
mdhd(2)_Language Code,0.2833608810267991
SPS_frame_cropping_flag,0.28075501814932663
cslg,0.2608041771589534
auth,0.2591821863557102
SPS_vui.timing_info_present_flag,0.2556155994970648
stss,0.23935060766447513
SPS_constraint_set1_flag,0.21633394843409126
sbgp(2),0.21140290922087526
elst_Rate,0.20036118271665537
SPS_seq_parameter_set_id,0.19842216869284615
SPS_gaps_in_frame_num_value_allowed_flag,0.19842216869284615
SPS_constraint_set5_flag,0.19842216869284615
SPS_constraint_set4_flag,0.198422168692846
SPS_frame_mbs_only_flag,0.198422168692846
SPS_constraint_set3_flag,0.198422168692846
SPS_constraint_set2_flag,0.198422168692846
SPS_direct_8x8_inference_flag,0.198422168692846
sgpd(2),0.19621826580076318
free,0.17821633966877848
mdhd_Timescale,0.17497409913145132
elst(2)_Media Time,0.1596094717290915
SPS_qpprime_y_zero_transform_bypass_flag,0.15777716611117448
SPS_bit_depth_chroma_minus8,0.15777716611117448
SPS_bit_depth_luma_minus8,0.15777716611117448
SPS_chroma_format_idc,0.15777716611117448
SPS_num_ref_frames,0.1549449813349215
SPS_vui.num_units_in_tick,0.15489355503931843
SPS_seq_scaling_matrix_present_flag,0.1459884433767287
stco,0.13437011676370123
hdlr,0.12458841477282542
vhdr,0.11526786351059595
SPS_vui.video_signal_type_present_flag,0.0977237680198338
type,0.09756571761020146
SPS_vui.vcl_hrd_parameters_present_flag,0.09739279211643935
SPS_vui.overscan_info_present_flag,0.0973927921164393
SPS_vui.video_full_range_flag,0.08992011955067529
tkhd(3)_Track ID,0.08476105789486972
tkhd(3)_Create Time,0.08476105789486972
tkhd(3)_Modify Time,0.08476105789486972
tkhd(3)_Width,0.08476105789486972
mdhd(3)_Create Time,0.08476105789486972
mdhd(3)_Modify Time,0.08476105789486972
tkhd(3)_Height,0.08476105789486967
SPS_frame_crop_top_offset,0.08414801104110728
SPS_frame_crop_left_offset,0.08414801104110728
tref,0.08111040266535449
tkhd(4)_Modify Time,0.08053071722584011
tkhd(4)_Width,0.08053071722584011
tkhd(4)_Height,0.08053071722584011
mdhd(4)_Create Time,0.08053071722584011
mdhd(4)_Modify Time,0.08053071722584011
tkhd(4)_Create Time,0.08053071722584011
SPS_vui.pic_struct_present_flag,0.0794810123751943
SPS_vui.nal_hrd_parameters_present_flag,0.07948101237519413
SPS_vui.chroma_loc_info_present_flag,0.07867400928210946
mvhd_Next Track ID,0.07121267010182462
mdhd_Language Code,0.06329098282407149
vmhd,0.060834255702218766
elst_Media Time,0.06021757728589153
skip,0.05056547705986992
smme,0.05056547705986977
soct,0.049685151579066555
mdhd(5)_Create Time,0.04697475444307906
tkhd(5)_Track ID,0.04697475444307906
mdhd(5)_Modify Time,0.04697475444307906
tkhd(5)_Height,0.04697475444307906
tkhd(5)_Modify Time,0.04697475444307906
tkhd(5)_Create Time,0.04697475444307906
tkhd(5)_Width,0.046974754443078914
SPS_vui.colour_description_present_flag,0.045064840972992515
elst(2)_Rate,0.04348642594344788
hdlr(6),0.04021356946683056
elst(3)_Rate,0.04021356946683045
gmhd,0.04021356946683045
dinf(3),0.04021356946683045
mdhd(3)_Language Code,0.040213569466829455
hdlr(5),0.04018365434681309
tagc(3),0.03996012875592373
sgpd(5),0.03996012875592347
tapt(2),0.03996012875592251
cslg(2),0.03996012875592251
sbgp(3),0.03996012875592251
ctts(2),0.03996012875592251
tagc,0.03996012875592229
tagc(2),0.039960128755922114
stss(2),0.039960128755921795
mdhd(3)_Timescale,0.03672088052862808
hdlr(7),0.035983228797801234
mdhd(4)_Language Code,0.03598322879780115
mdhd(4)_Timescale,0.03598322879780115
hdlr(8),0.03598322879780115
tkhd(4)_Track ID,0.035983228797800075
dinf(4),0.03598322879780003
elst(4)_Rate,0.035678777142974724
elst(4)_Media Time,0.03541244861013933
SPS_pic_height_in_map_units_minus1,0.03424051565354989
gmhd(2),0.03139586912568442
stsz(2)_Sample Size,0.03100734779234594
hdlr(2),0.02983453869823957
tgas,0.029372768430133138
SPS_hrd.time_offset_length,0.02799812535820661
SPS_hrd.dpb_output_delay_length_minus1,0.02799812535820661
SPS_hrd.cpb_removal_delay_length_minus1,0.02799812535820661
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.02799812535820661
tref(2),0.027655505482489743
tkhd_Track ID,0.026301302075840916
stsz_Sample Size,0.026301302075840916
dinf,0.02630130207584085
stsz(3)_Sample Size,0.02460105797796422
stsz(4)_Sample Size,0.02353682399439817
stco(5),0.022762591654990776
csgm(2),0.020093767521985745
sgpd(3),0.019554394764137752
elst(3)_Media Time,0.019183313328137875
stsz(5)_Sample Size,0.016558361792193724
SPS_hrd.cpb_cnt_minus1,0.016549363069832523
SPS_hrd.bit_rate_scale,0.016549363069832523
SPS_vui.low_delay_hrd_flag,0.016549363069832523
SPS_hrd.cpb_size_scale,0.016549363069832523
sgpd(4),0.01575904711636393
csgm,0.01575356029218535
SPS_vui.chroma_sample_loc_type_top_field,0.015287926512937564
SPS_vui.chroma_sample_loc_type_bottom_field,0.015287926512937564
dinf(2),0.013157759112967031
smhd,0.013157759112967023
tkhd(2)_Track ID,0.013157759112967023
stco(3),0.008712753566903531
sdtp(2),0.0045873596721167425
vmhd(2),0.0045873596721167425
tref(3),0.0024272660150395932
dinf(5),0.0024272660150395932
gmhd(3),0.0024272660150395932
hdlr(9),0.0024272660150395932
mdhd(5)_Language Code,0.0024272660150392636
hdlr(10),0.0024272660150392636
mdhd(5)_Timescale,0.0024272660150385416
elst(5)_Rate,0.0021228143602141395
elst(5)_Media Time,0.0021228143602139028
stco(4),0.0016480669456521969
mdhd_Duration,0.0
elst_'Duration,0.0
SPS,0.0
elst_Entries,0.0
0,0.0
wide,0.0
mvhd_Duration,0.0
elst(2)_'Duration,0.0
stsz(2)_Sample Count,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
co64(2)_Entry Count,0.0
