Feature,Importance
GOP,2.1325997405539847
ctts,1.9952140724918292
mvhd_Timescale,1.7007925630741114
name(2),1.638753020015212
sbgp,1.5604362503369351
sgpd,1.5604359332081634
mdhd_Timescale,1.4349280807186264
mvhd_Modify Time,1.4155927101674641
meta,1.402139642406027
ftyp_Compatible Brands,1.1564348327087162
smrd,1.1372787981864565
SDLN,1.0491385015049857
sdtp,1.036921325545366
sequence,1.022685486403432
auth,0.9886512908774934
ftyp_Major Brand,0.9683482001276604
smta,0.9056739381384208
hdlr,0.8634034408557721
hdlr(4),0.829291755751022
hdlr(3),0.8292712323595373
tref,0.7120982907884513
tkhd(2)_Create Time,0.63359220784621
mdhd(2)_Create Time,0.63359220784621
tkhd_Modify Time,0.6298706734533762
mdhd_Modify Time,0.6298706734533762
vhdr,0.627337771712083
mdhd_Create Time,0.5772266245039955
tkhd_Create Time,0.5772266245039955
tkhd(2)_Modify Time,0.5735050901111598
mdhd(2)_Modify Time,0.5735050901111598
type,0.5505378127035111
tapt,0.5467875020251798
ftyp_Minor Version,0.5200198744278989
elst_Rate,0.5115124501749108
stss,0.448220524959837
elst_Media Time,0.4395063432785983
elst(2)_Media Time,0.4309212644283098
meta(2),0.4009890626601493
stco(2),0.3986478660432903
mdhd(2)_Timescale,0.3981116491328432
mdhd_Language Code,0.34666757169826645
sbgp(2),0.34601163754512504
free,0.3372932254229586
sgpd(2),0.3278106008817754
cslg,0.2716692244708691
hdlr(2),0.22738183926956865
elst(2)_Rate,0.22453707880872034
dinf,0.22419837581484678
tkhd_Track ID,0.22419837581484675
stsz_Sample Size,0.22419837581484675
tkhd(2)_Height,0.212678742573307
tkhd(2)_Width,0.212678742573307
mvhd_Create Time,0.2084954122100913
vmhd,0.20003780842295207
mvhd_Next Track ID,0.14266101914271187
mdhd(3)_Create Time,0.11397919048009228
tkhd(3)_Height,0.11397919048009228
tkhd(3)_Track ID,0.11397919048009228
tkhd(3)_Width,0.11397919048009228
tkhd(3)_Create Time,0.11397919048009228
mdhd(3)_Modify Time,0.11397919048009228
tkhd(3)_Modify Time,0.11397919048009228
skip,0.1125043666724971
smme,0.11250436667249655
tkhd(4)_Create Time,0.11203387758398167
tkhd(4)_Modify Time,0.11203387758398167
tkhd(4)_Width,0.11203387758398167
mdhd(4)_Create Time,0.11203387758398167
mdhd(4)_Modify Time,0.11203387758398167
tkhd(4)_Height,0.11203387758398167
soct,0.10011322068593352
tkhd_Height,0.09921219231195416
tkhd_Width,0.09921219231195416
tagc(2),0.08642755030765824
tapt(2),0.0864275503076582
tagc,0.08642755030765681
cslg(2),0.08642755030765355
sbgp(3),0.08642755030765355
ctts(2),0.08642755030765355
sgpd(5),0.08642755030765355
tagc(3),0.08642755030765291
stss(2),0.08642755030765248
tkhd(5)_Height,0.08484025603187363
mdhd(5)_Create Time,0.08484025603187363
tkhd(5)_Create Time,0.08484025603187363
tkhd(5)_Track ID,0.08484025603187363
mdhd(5)_Modify Time,0.08484025603187363
tkhd(5)_Modify Time,0.08484025603187363
tkhd(5)_Width,0.08484025603187363
sgpd(3),0.06588673863920201
csgm(2),0.06497718532594264
sgpd(4),0.06361397316958549
csgm,0.06347396430898526
stsz(5)_Sample Size,0.046356133705956794
stco(5),0.04424971056116058
mdhd(2)_Language Code,0.03172891235023452
stco,0.031293170215145355
smhd,0.02703899995369901
tkhd(2)_Track ID,0.02703899995369901
dinf(2),0.027038999953698933
dinf(3),0.025838893798626694
gmhd,0.025838893798626694
elst(3)_Rate,0.025838893798626694
hdlr(6),0.025838893798626066
mdhd(3)_Language Code,0.025838893798626066
hdlr(5),0.025827724625726935
mdhd(3)_Timescale,0.024534856020615853
dinf(4),0.023893580902516448
hdlr(7),0.023893580902516448
mdhd(4)_Timescale,0.023893580902515796
mdhd(4)_Language Code,0.023893580902515796
hdlr(8),0.023893580902515796
tkhd(4)_Track ID,0.023893580902515796
elst(4)_Rate,0.02358647204228793
elst(4)_Media Time,0.02356253171025319
gmhd(2),0.02218083452870404
stco(4),0.016470233026239397
tref(2),0.016264329681994455
stsz(4)_Sample Size,0.014747740456063255
stsz(3)_Sample Size,0.013606723130057102
elst(5)_Rate,0.0036071495098195716
elst(5)_Media Time,0.00360714950981926
elst(3)_Media Time,0.0035149006340602484
dinf(5),0.0033000406495980483
