Feature,Importance
SPS_log2_max_pic_order_cnt_lsb_minus4,1.3112879537675146
sbgp,1.2434715118361235
sgpd,1.2434709537481643
mvhd_Modify Time,1.1958207209475862
mvhd_Timescale,1.109422425092806
SPS_vui.num_reorder_frames,1.0803403108322085
ctts,1.0043912422250514
SPS_pic_width_in_mbs_minus1,0.9995722185416032
meta,0.85897565683009
tkhd(2)_Create Time,0.8417042875018947
mdhd(2)_Create Time,0.8417042875018947
mdhd_Create Time,0.8330562735340119
tkhd_Create Time,0.8330562735340109
ftyp_Compatible Brands,0.8323240351397403
mdhd_Modify Time,0.8314202713902916
tkhd_Modify Time,0.8314202713902916
tkhd(2)_Modify Time,0.8227722574224074
mdhd(2)_Modify Time,0.8227722574224074
ftyp_Major Brand,0.8063255426909742
SPS_vui.max_dec_frame_buffering,0.80144130754699
SPS_log2_max_frame_num_minus4,0.7779468331013113
SPS_pic_order_cnt_type,0.7705013938604792
name(2),0.7302240741231364
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.7295796355314059
SPS_vui.aspect_ratio_idc,0.6948129095339456
SPS_frame_crop_right_offset,0.6691434375125697
SPS_vui.video_format,0.6584806676615391
SPS_vui.log2_max_mv_length_vertical,0.5941109692451784
mdhd(2)_Timescale,0.5838868000341889
SPS_vui.log2_max_mv_length_horizontal,0.5709288906806761
tkhd(2)_Height,0.5690008362985086
tkhd(2)_Width,0.5690008362985086
hdlr(4),0.5668555265805487
hdlr(3),0.5668423627694481
tkhd_Width,0.5229349817886545
tkhd_Height,0.5229349817886545
SPS_vui.bitstream_restriction_flag,0.5192533148583733
SPS_vui.fixed_frame_rate_flag,0.5078376549984249
ftyp_Minor Version,0.5015913819550828
sdtp,0.4983171195124044
mvhd_Create Time,0.4686558239767184
smrd,0.4597549114656019
tapt,0.45770625439774304
SPS_level_idc,0.4421153562889387
smta,0.4296881148968928
SPS_vui.time_scale,0.41262014999269475
SDLN,0.40726168146112435
SPS_frame_crop_bottom_offset,0.39751004016216385
SPS_vui.aspect_ratio_info_present_flag,0.3920007496857701
SPS_profile_idc,0.38461342252501085
meta(2),0.3808837745406264
sequence,0.36498897263221664
SPS_constraint_set0_flag,0.36256349500184193
mdhd(2)_Language Code,0.3165157845081335
stco(2),0.3139062174527658
SPS_frame_cropping_flag,0.31019113002687554
SPS_vui.colour_primaries,0.2995514792261185
SPS_vui.matrix_coefficients,0.29791157510572164
SPS_vui.max_bits_per_mb_denom,0.28681039644449474
SPS_vui.max_bytes_per_pic_denom,0.28658459883481885
SPS_vui.timing_info_present_flag,0.28639377085177725
SPS_vui_parameters_present_flag,0.2821638059829934
SPS_vui.transfer_characteristics,0.2820663301777534
cslg,0.25412544028889344
auth,0.24927929365945206
stss,0.23676987144322992
sbgp(2),0.23323871050948927
SPS_constraint_set1_flag,0.21540637417853983
sgpd(2),0.2137624383359233
SPS_seq_parameter_set_id,0.19350669978132642
SPS_frame_mbs_only_flag,0.19350669978132642
SPS_constraint_set3_flag,0.19350669978132642
SPS_direct_8x8_inference_flag,0.19350669978132642
SPS_constraint_set2_flag,0.19350669978132642
SPS_constraint_set5_flag,0.19350669978132606
SPS_gaps_in_frame_num_value_allowed_flag,0.19350669978132606
SPS_constraint_set4_flag,0.19350669978132606
elst_Rate,0.1933141771915695
mdhd_Timescale,0.1889975224363622
free,0.18264905354711017
SPS_qpprime_y_zero_transform_bypass_flag,0.16863535558559345
SPS_chroma_format_idc,0.16863535558559345
SPS_bit_depth_chroma_minus8,0.16863535558559345
SPS_bit_depth_luma_minus8,0.16863535558559345
stco,0.16293696442010833
SPS_vui.num_units_in_tick,0.16110395569754854
SPS_num_ref_frames,0.1606096576696138
SPS_seq_scaling_matrix_present_flag,0.1605848471610661
elst(2)_Media Time,0.13875300239404695
SPS_frame_crop_left_offset,0.12989765200503203
SPS_frame_crop_top_offset,0.12989765200503203
vhdr,0.12000627505949252
hdlr,0.11456191303550808
type,0.09796855605801338
SPS_vui.vcl_hrd_parameters_present_flag,0.08608779372340543
SPS_vui.overscan_info_present_flag,0.08608779372340543
tkhd(3)_Width,0.08546106727209553
mdhd(3)_Create Time,0.08546106727209553
tkhd(3)_Track ID,0.08546106727209553
tkhd(3)_Create Time,0.08546106727209553
tkhd(3)_Modify Time,0.08546106727209553
tkhd(3)_Height,0.08546106727209553
mdhd(3)_Modify Time,0.08546106727209553
tkhd(4)_Modify Time,0.08230127310757562
mdhd(4)_Modify Time,0.08230127310757562
mdhd(4)_Create Time,0.08230127310757562
tkhd(4)_Height,0.08230127310757562
tkhd(4)_Width,0.08230127310757562
tkhd(4)_Create Time,0.08230127310757562
SPS_vui.video_signal_type_present_flag,0.08028395982736101
SPS_vui.video_full_range_flag,0.0794498705004596
tref,0.07425896702094564
vmhd,0.0696608974289818
SPS_vui.chroma_loc_info_present_flag,0.06664000797325387
mvhd_Next Track ID,0.06594018404119197
SPS_vui.nal_hrd_parameters_present_flag,0.06418811932619216
SPS_vui.pic_struct_present_flag,0.06418811932619213
elst_Media Time,0.060863581726193945
mdhd_Language Code,0.059303111547037386
skip,0.0584113644302522
smme,0.058411364430252126
soct,0.05779587638445557
tkhd(5)_Track ID,0.05149859320923152
tkhd(5)_Create Time,0.05149859320923152
tkhd(5)_Modify Time,0.05149859320923152
tkhd(5)_Width,0.05149859320923152
tkhd(5)_Height,0.05149859320923152
mdhd(5)_Modify Time,0.05149859320923152
mdhd(5)_Create Time,0.05149859320923152
SPS_pic_height_in_map_units_minus1,0.04966085277188359
tagc(3),0.04750217000416024
sgpd(5),0.047502170004160196
tapt(2),0.047502170004159176
ctts(2),0.047502170004159176
cslg(2),0.047502170004159176
sbgp(3),0.047502170004159176
stss(2),0.04750217000415909
tagc,0.04750217000415904
tagc(2),0.04750217000415868
SPS_vui.colour_description_present_flag,0.04342118516431871
elst(2)_Rate,0.03675271721970466
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.034231653020229916
SPS_hrd.cpb_removal_delay_length_minus1,0.034231653020229916
SPS_hrd.dpb_output_delay_length_minus1,0.034231653020229916
SPS_hrd.time_offset_length,0.034231653020229916
hdlr(6),0.0329678372676178
elst(3)_Rate,0.032967837267617636
dinf(3),0.032967837267617636
gmhd,0.032967837267617636
mdhd(3)_Language Code,0.03296783726761551
hdlr(5),0.03293528953436839
hdlr(2),0.032009364414661685
mdhd(4)_Language Code,0.029808043103097908
mdhd(4)_Timescale,0.029808043103097908
hdlr(8),0.029808043103097908
hdlr(7),0.02980804310309766
dinf(4),0.029808043103095656
tkhd(4)_Track ID,0.029808043103095344
elst(4)_Rate,0.02949618578277475
elst(4)_Media Time,0.02946839605722091
mdhd(3)_Timescale,0.029167782050893258
dinf,0.028813296684721136
stsz_Sample Size,0.028813296684721115
tkhd_Track ID,0.028813296684721115
stco(5),0.02713475659459515
csgm(2),0.026503258023560405
gmhd(2),0.024816983102779057
sgpd(3),0.024775173103204477
tref(2),0.022969258174689613
SPS_vui.chroma_sample_loc_type_top_field,0.02209415457823928
SPS_vui.chroma_sample_loc_type_bottom_field,0.02209415457823928
sgpd(4),0.022015781819198905
