Feature,Importance
sgpd,0.08836403511475922
SPS_vui.max_dec_frame_buffering,0.07415306124620633
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.07213759598897647
SPS_vui.max_bytes_per_pic_denom,0.06972512488559184
SPS_log2_max_frame_num_minus4,0.05065175927250274
SPS_vui.num_reorder_frames,0.04728075805679776
sbgp,0.03934847795195588
mdhd_Language Code,0.03377605860646107
ftyp_Major Brand,0.032306510441744325
SPS_vui.log2_max_mv_length_vertical,0.023685070636131903
SPS_vui.max_bits_per_mb_denom,0.022382866689156396
mdhd_Timescale,0.022187866272094823
SPS_vui.log2_max_mv_length_horizontal,0.021591344695708937
tapt,0.020609066706532085
SDLN,0.019792436776561183
elst(2)_Rate,0.018497468751697114
mdhd(2)_Timescale,0.017958216789229094
smta,0.015124720379888334
ftyp_Compatible Brands,0.012808688605802119
SPS_log2_max_pic_order_cnt_lsb_minus4,0.012796254086926855
SPS_level_idc,0.0124820868172444
mdhd(2)_Modify Time,0.012339983852765836
hdlr(4),0.011580787836853805
tkhd_Modify Time,0.011428088555480588
elst(2)_Media Time,0.01061136877797753
hdlr(3),0.010554181817300978
sdtp,0.01035412060527137
mvhd_Timescale,0.010229745494108987
smrd,0.008930243313298307
tkhd(2)_Modify Time,0.008893546720358884
ctts,0.008685271549164698
SPS_pic_order_cnt_type,0.008533941942147119
SPS_vui.video_format,0.006883516064567494
mdhd(3)_Modify Time,0.006766274823026339
SPS_num_ref_frames,0.00675236444204469
SPS_vui.time_scale,0.00616070120152366
SPS_frame_crop_right_offset,0.005459139490986609
cslg,0.005410476182804999
SPS_vui.transfer_characteristics,0.005404823786164265
SPS_vui.matrix_coefficients,0.005176200176146112
tkhd(2)_Create Time,0.005061470411903624
mdhd_Create Time,0.004925878486339127
mvhd_Create Time,0.004893166333045247
SPS_seq_parameter_set_id,0.004835250208818669
SPS_frame_cropping_flag,0.004627452570220017
elst_Media Time,0.004553758975563919
SPS_pic_width_in_mbs_minus1,0.004259025704310126
mdhd_Modify Time,0.004192802173569812
sequence,0.004100257886998917
stco,0.00399400381999862
mdhd(2)_Create Time,0.003685354627379983
