Feature,Importance
sgpd,0.09525871937616859
SPS_log2_max_frame_num_minus4,0.0947805550247896
SPS_vui.max_dec_frame_buffering,0.08175214177001928
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0660097325699139
SPS_vui.max_bits_per_mb_denom,0.050730055401427096
sbgp,0.04306570416674752
ftyp_Compatible Brands,0.040781538901748036
SPS_vui.log2_max_mv_length_horizontal,0.03305210962992889
elst(2)_Rate,0.030270734345728613
sdtp,0.028093182821862767
ftyp_Major Brand,0.027759171970035412
SPS_log2_max_pic_order_cnt_lsb_minus4,0.02669994947448693
SPS_vui.log2_max_mv_length_vertical,0.022051384145826615
hdlr(4),0.02135567843258386
SPS_vui.num_reorder_frames,0.021333803070412993
mvhd_Timescale,0.019888156485411205
SPS_vui.max_bytes_per_pic_denom,0.01987379395696799
hdlr(3),0.013856389229355085
elst(2)_Media Time,0.013295545686843591
smrd,0.011738490322618858
SPS_vui.video_signal_type_present_flag,0.009725792698030318
SDLN,0.009655264954736991
tkhd(2)_Modify Time,0.009404507091642103
meta,0.0091755172042017
SPS_num_ref_frames,0.008724215299147168
mdhd(2)_Create Time,0.008384357780297492
SPS_vui.time_scale,0.008153287422984266
tapt,0.0078031837787681056
mdhd_Modify Time,0.006838353289838748
SPS_pic_width_in_mbs_minus1,0.006772810595609563
SPS_level_idc,0.006460195589483419
mdhd(2)_Modify Time,0.006151871440783259
cslg,0.006085262318236272
ctts,0.006043106072271181
SPS_pic_order_cnt_type,0.0058652146046157295
ftyp_Minor Version,0.0058467427994504575
SPS_vui.colour_primaries,0.00572174638456248
mvhd_Modify Time,0.0056590689069054316
SPS_vui.transfer_characteristics,0.005597609002097641
SPS_constraint_set1_flag,0.00526413861779545
SPS_vui.num_units_in_tick,0.0044573995350162335
mdhd_Create Time,0.004298045637194469
SPS_vui.fixed_frame_rate_flag,0.0041922835642853404
SPS_vui.timing_info_present_flag,0.0040717507299882485
tkhd(2)_Create Time,0.004052908577140914
mdhd(2)_Timescale,0.0040085290753969684
SPS_vui.nal_hrd_parameters_present_flag,0.0038022789056182055
SPS_vui.bitstream_restriction_flag,0.0034334658939712305
tkhd_Modify Time,0.003341939842108831
SPS_vui.video_format,0.003090214074942621
SPS_vui.overscan_info_present_flag,0.0030086232561994013
SPS_vui.aspect_ratio_info_present_flag,0.003002541157313128
elst_Media Time,0.002954444631165239
GOP,0.002822358813303011
SPS_frame_crop_top_offset,0.002559846934699803
mdhd_Timescale,0.002519787294884589
mvhd_Create Time,0.0022914990933127965
tkhd_Create Time,0.0021211590083773744
tkhd(2)_Height,0.001890743147420811
tkhd(2)_Width,0.0018494558257940413
SPS_gaps_in_frame_num_value_allowed_flag,0.001785883596496734
stco(2),0.0017525303266942769
SPS_vui.pic_struct_present_flag,0.0016432811359320557
SPS_qpprime_y_zero_transform_bypass_flag,0.001499429404637958
SPS_chroma_format_idc,0.0013929998593884476
SPS_vui.chroma_sample_loc_type_top_field,0.0013807762160437092
