Feature,Importance
stco,1265
stco(2),1237
SPS_pic_width_in_mbs_minus1,629
SPS_level_idc,360
stco(5),293
elst(2)_Media Time,275
stss,271
sdtp,269
SPS_vui.video_format,230
mdhd(2)_Timescale,212
mvhd_Timescale,203
SPS_pic_height_in_map_units_minus1,200
stco(4),191
mdhd_Timescale,191
tref(2),168
elst_Media Time,142
meta,139
SPS_vui.colour_primaries,135
SPS_vui.log2_max_mv_length_horizontal,132
SPS_frame_crop_right_offset,125
ftyp_Major Brand,116
ftyp_Minor Version,112
SPS_vui.num_units_in_tick,109
tkhd_Width,89
mdhd_Language Code,89
stsz(4)_Sample Size,87
SPS_vui.max_bytes_per_pic_denom,87
SPS_pic_order_cnt_type,84
SPS_vui.chroma_sample_loc_type_top_field,77
stco(3),75
SPS_vui.transfer_characteristics,74
SPS_frame_crop_bottom_offset,73
smta,72
SPS_vui.matrix_coefficients,71
cslg,71
SPS_num_ref_frames,71
SPS_vui.video_full_range_flag,69
mvhd_Next Track ID,68
ftyp_Compatible Brands,66
tref,66
stsz(3)_Sample Size,65
SPS_log2_max_pic_order_cnt_lsb_minus4,65
SPS_chroma_format_idc,62
SPS_vui.chroma_loc_info_present_flag,54
free,47
sgpd,47
SPS_vui.video_signal_type_present_flag,46
auth,42
elst(2)_Rate,39
SPS_vui.bitstream_restriction_flag,35
sgpd(3),35
SPS_frame_cropping_flag,34
stsz(2)_Sample Size,34
tkhd(5)_Track ID,33
SPS_profile_idc,31
SPS_constraint_set0_flag,29
ctts,28
SPS_vui.timing_info_present_flag,28
sgpd(2),27
tref(3),26
hdlr,24
SPS_seq_scaling_matrix_present_flag,22
SPS_vui_parameters_present_flag,17
mdhd(2)_Language Code,16
SDLN,12
SPS_vui.aspect_ratio_info_present_flag,12
mvhd_Create Time,11
elst(3)_Media Time,11
tkhd_Track ID,11
csgm,10
csgm(2),8
sbgp(2),8
tkhd_Create Time,8
tkhd(2)_Width,8
SPS_log2_max_frame_num_minus4,7
SPS_vui.time_scale,5
SPS_constraint_set1_flag,4
elst_Rate,3
SPS_frame_crop_left_offset,3
SPS_vui.num_reorder_frames,3
meta(2),2
tkhd_Modify Time,2
elst(4)_Media Time,2
mvhd_Modify Time,2
elst(5)_Media Time,1
smrd,1
hdlr(2),1
SPS_vui.motion_vectors_over_pic_boundaries_flag,1
hdlr(3),1
dinf(5),0
hdlr(10),0
vhdr,0
stsd(5)_Entry Count,0
mdhd(5)_Modify Time,0
gmhd(3),0
tkhd(5)_Height,0
stsd(4)_Entry Count,0
stts(4)_Entry Count,0
stsc(4)_Entry Count,0
0,0
stsz(4)_Sample Count,0
tkhd(5)_Create Time,0
tkhd(5)_Modify Time,0
tkhd(5)_Duration,0
tkhd(5)_Width,0
elst(5)_Entry Count,0
hdlr(9),0
elst(5)_Entries,0
skip,0
smme,0
elst(5)_Rate,0
mdhd(5)_Create Time,0
stsc(5)_Entry Count,0
mdhd(5)_Timescale,0
mdhd(5)_Duration,0
mdhd(5)_Language Code,0
stts(5)_Entry Count,0
SPS_hrd.bit_rate_scale,0
stsz(5)_Sample Size,0
tagc(2),0
sgpd(5),0
sbgp(3),0
SPS_vui.chroma_sample_loc_type_bottom_field,0
SPS_vui.low_delay_hrd_flag,0
SPS_hrd.time_offset_length,0
SPS_hrd.dpb_output_delay_length_minus1,0
SPS_vui.max_bits_per_mb_denom,0
SPS_hrd.cpb_removal_delay_length_minus1,0
SPS_vui.log2_max_mv_length_vertical,0
SPS_vui.max_dec_frame_buffering,0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0
SPS_vui.fixed_frame_rate_flag,0
SPS_vui.aspect_ratio_idc,0
tgas,0
SPS_hrd.cpb_size_scale,0
tagc(3),0
free(2),0
stsz(5)_Sample Count,0
tagc,0
elst(2)_'Duration,0
elst_'Duration,0
type,0
SPS_hrd.cpb_cnt_minus1,0
name(2),0
sgpd(4),0
co64(2)_Entry Count,0
tapt(2),0
vmhd(2),0
co64_Entry Count,0
ctts(2),0
cslg(2),0
stss(2),0
sdtp(2),0
hdlr(8),0
dinf(4),0
mdhd(3)_Modify Time,0
gmhd(2),0
stts(2)_Entry Count,0
elst(2)_Entry Count,0
elst(2)_Entries,0
mdhd(2)_Create Time,0
mdhd(2)_Modify Time,0
mdhd(2)_Duration,0
smhd,0
hdlr(4),0
dinf(2),0
stsd(2)_Entry Count,0
stsc(2)_Entry Count,0
SPS_bit_depth_chroma_minus8,0
stsz(2)_Sample Count,0
sbgp,0
SPS,0
tapt,0
SPS_constraint_set2_flag,0
SPS_constraint_set3_flag,0
SPS_constraint_set4_flag,0
SPS_constraint_set5_flag,0
SPS_seq_parameter_set_id,0
tkhd(2)_Height,0
tkhd(2)_Duration,0
tkhd(2)_Modify Time,0
tkhd(2)_Create Time,0
wide,0
mvhd_Duration,0
mvhd_Preferred Rate,0
mvhd_Preferred Volume,0
tkhd_Duration,0
tkhd_Height,0
elst_Entry Count,0
elst_Entries,0
mdhd_Create Time,0
mdhd_Modify Time,0
mdhd_Duration,0
vmhd,0
dinf,0
stsd_Entry Count,0
stts_Entry Count,0
stsc_Entry Count,0
stsz_Sample Size,0
stsz_Sample Count,0
tkhd(2)_Track ID,0
SPS_bit_depth_luma_minus8,0
SPS_qpprime_y_zero_transform_bypass_flag,0
hdlr(7),0
tkhd(4)_Duration,0
hdlr(6),0
dinf(3),0
stsd(3)_Entry Count,0
stts(3)_Entry Count,0
stsc(3)_Entry Count,0
stsz(3)_Sample Count,0
tkhd(4)_Track ID,0
tkhd(4)_Create Time,0
tkhd(4)_Modify Time,0
tkhd(4)_Width,0
SPS_gaps_in_frame_num_value_allowed_flag,0
tkhd(4)_Height,0
elst(4)_Entry Count,0
elst(4)_Entries,0
elst(4)_Rate,0
mdhd(4)_Create Time,0
mdhd(4)_Modify Time,0
mdhd(4)_Timescale,0
mdhd(4)_Duration,0
mdhd(4)_Language Code,0
gmhd,0
hdlr(5),0
mdhd(3)_Language Code,0
mdhd(3)_Duration,0
SPS_frame_mbs_only_flag,0
SPS_direct_8x8_inference_flag,0
SPS_frame_crop_top_offset,0
SPS_vui.overscan_info_present_flag,0
SPS_vui.colour_description_present_flag,0
SPS_vui.nal_hrd_parameters_present_flag,0
SPS_vui.vcl_hrd_parameters_present_flag,0
SPS_vui.pic_struct_present_flag,0
tkhd(3)_Track ID,0
tkhd(3)_Create Time,0
tkhd(3)_Modify Time,0
tkhd(3)_Duration,0
tkhd(3)_Width,0
tkhd(3)_Height,0
elst(3)_Entry Count,0
elst(3)_Entries,0
elst(3)_Rate,0
mdhd(3)_Create Time,0
mdhd(3)_Timescale,0
soct,0
