Feature,Importance
ctts,1.2381121126717605
meta,0.9806714114659943
sdtp,0.9392521316863919
cslg,0.777655483048887
SPS_vui.chroma_sample_loc_type_bottom_field,0.7643241464833929
SPS_vui.chroma_sample_loc_type_top_field,0.7643241464833929
SPS_vui.chroma_loc_info_present_flag,0.6337452195191463
hdlr(4),0.597663011999639
hdlr(3),0.597658589774614
mdhd_Language Code,0.5366931090201652
ftyp_Compatible Brands,0.4306968569787278
ftyp_Minor Version,0.38570793928452723
mvhd_Timescale,0.3279299853739586
stco,0.32240400155375726
ftyp_Major Brand,0.315678885216236
tkhd_Width,0.31465680863536233
tkhd_Height,0.31465680863536233
SPS_frame_cropping_flag,0.30438814758114496
hdlr,0.28033193250617117
SPS_gaps_in_frame_num_value_allowed_flag,0.2648427633476103
SPS_frame_mbs_only_flag,0.2648427633476103
SPS_direct_8x8_inference_flag,0.2648427633476103
SPS_constraint_set0_flag,0.2648427633476103
SPS_constraint_set5_flag,0.2648427633476103
SPS_constraint_set4_flag,0.2648427633476103
SPS_constraint_set3_flag,0.2648427633476103
SPS_constraint_set2_flag,0.2648427633476103
SPS_seq_parameter_set_id,0.2648427633476103
mdhd(2)_Language Code,0.2605903102203576
SPS_constraint_set1_flag,0.2512602971890725
SPS_pic_order_cnt_type,0.2512533705823406
SPS_vui.matrix_coefficients,0.24815576913794532
SPS_vui_parameters_present_flag,0.244546068008645
SPS_log2_max_pic_order_cnt_lsb_minus4,0.24361184181586018
stco(2),0.23387779906880862
SPS_vui.video_full_range_flag,0.22604769935333435
tkhd(2)_Height,0.21203058526982418
tkhd(2)_Width,0.21203058526982418
SPS_profile_idc,0.20614611417411935
SPS_frame_crop_right_offset,0.197750063288104
sgpd,0.17397155514526644
elst(2)_Rate,0.17397103826254398
sbgp,0.17397103826254356
SPS_frame_crop_top_offset,0.16944950615926976
SPS_frame_crop_left_offset,0.16944950615926976
elst_Rate,0.1689616366745653
elst(2)_Media Time,0.16468826848686927
SPS_frame_crop_bottom_offset,0.16272997901758868
tkhd(3)_Track ID,0.15764087221034168
tkhd(3)_Create Time,0.15764087221034168
tkhd(3)_Modify Time,0.15764087221034168
tkhd(3)_Width,0.15764087221034168
tkhd(3)_Height,0.15764087221034168
mdhd(3)_Create Time,0.15764087221034168
mdhd(3)_Modify Time,0.15764087221034168
sgpd(2),0.1492725039651732
SPS_pic_width_in_mbs_minus1,0.14510908302541992
tkhd(4)_Height,0.1426986920156545
mdhd(4)_Create Time,0.1426986920156545
tkhd(4)_Width,0.1426986920156545
tkhd(4)_Modify Time,0.1426986920156545
tkhd(4)_Create Time,0.1426986920156545
mdhd(4)_Modify Time,0.1426986920156545
SPS_vui.transfer_characteristics,0.13429559159812232
sbgp(2),0.13349582403340987
SPS_vui.colour_description_present_flag,0.13341757064251158
SPS_vui.timing_info_present_flag,0.12984354427123576
SPS_vui.bitstream_restriction_flag,0.11626107811269575
mvhd_Next Track ID,0.11328578950231738
hdlr(2),0.1130011337647141
tapt,0.11300024562264802
SPS_seq_scaling_matrix_present_flag,0.1123439860398646
sgpd(4),0.1064338898872164
csgm,0.1064338898872164
csgm(2),0.1064338898872164
SPS_vui.aspect_ratio_info_present_flag,0.1056315134392473
SPS_num_ref_frames,0.09991341162806484
SPS_pic_height_in_map_units_minus1,0.09680148768942395
elst_Media Time,0.09242816551689287
SPS_vui.colour_primaries,0.09026775170830208
SPS_vui.log2_max_mv_length_horizontal,0.08978850379635812
SPS_vui.log2_max_mv_length_vertical,0.08978850379635812
SPS_vui.pic_struct_present_flag,0.08949207456501293
SPS_vui.nal_hrd_parameters_present_flag,0.08949207456501293
