Feature,Importance
mdhd(2)_Language Code,0.025887722761971804
SPS_profile_idc,0.024307977680795692
stco(2),0.021750148159661267
SPS_vui.time_scale,0.021544100434666195
meta,0.021305296187795218
stco,0.0209205510831946
elst_Media Time,0.02040318530465451
ftyp_Minor Version,0.017623605852477985
ftyp_Major Brand,0.01717905360720457
ctts,0.017045634319893394
mvhd_Timescale,0.015613797021540062
mdhd_Timescale,0.01468798568106473
SPS_vui.transfer_characteristics,0.014242197627465618
elst(2)_Media Time,0.014160219613456195
SPS_level_idc,0.01410543112303188
SPS_pic_width_in_mbs_minus1,0.013404016993664487
hdlr(3),0.013372323899914211
cslg,0.012897660364008096
SPS_pic_height_in_map_units_minus1,0.01286340095332567
SPS_num_ref_frames,0.012825542167573254
mdhd(2)_Timescale,0.012035986272717035
sbgp(2),0.011956782283457089
ftyp_Compatible Brands,0.011930842847902301
SPS_vui_parameters_present_flag,0.011894486974063614
sdtp,0.01141876677438379
SPS_vui.chroma_sample_loc_type_bottom_field,0.011331816637990792
sgpd(2),0.011326093556999699
SPS_vui.chroma_loc_info_present_flag,0.011241770772334821
tkhd(2)_Width,0.010778837473382423
SPS_seq_scaling_matrix_present_flag,0.010588845126653972
SPS_vui.video_full_range_flag,0.010134471651169465
stss,0.00981538493455584
hdlr(6),0.009656902280953082
mdhd_Create Time,0.009645052955794119
SPS_vui.chroma_sample_loc_type_top_field,0.009484842470579942
stsz(4)_Sample Size,0.00929177302561616
free,0.00895186003066593
SPS_vui.bitstream_restriction_flag,0.008921146641163476
SPS_vui.video_signal_type_present_flag,0.008856256587593026
SPS_vui.video_format,0.008749701307095271
SPS_vui.overscan_info_present_flag,0.008607629932520384
SPS_vui.pic_struct_present_flag,0.008562812337113422
stco(4),0.008550079378253276
SPS_vui.fixed_frame_rate_flag,0.00843800456515724
elst(3)_Media Time,0.00831007142636382
elst_Rate,0.008290760858708867
SPS_vui.aspect_ratio_info_present_flag,0.008232408299611603
SPS_frame_cropping_flag,0.008200352342151329
SPS_vui.num_units_in_tick,0.008149403213323947
SPS_vui.colour_description_present_flag,0.00791048762803454
tapt,0.007902853275808676
sgpd,0.00781825047708632
hdlr(4),0.007724011367104112
SPS_frame_crop_bottom_offset,0.007720822273704435
SPS_bit_depth_chroma_minus8,0.00767046608541443
SPS_vui.matrix_coefficients,0.0075789410701717855
SPS_chroma_format_idc,0.007571186019669671
mdhd_Modify Time,0.007506328051928518
SPS_qpprime_y_zero_transform_bypass_flag,0.007480237866424048
elst(2)_Rate,0.007472987868105311
hdlr(2),0.007426462909278636
tkhd(2)_Height,0.007399315017911568
SPS_pic_order_cnt_type,0.007333486631900516
SPS_vui.colour_primaries,0.006838625229797275
SPS_vui.timing_info_present_flag,0.006794576686318714
SPS_frame_crop_right_offset,0.0066872183013794596
SPS_constraint_set1_flag,0.0062930692469064095
SPS_frame_mbs_only_flag,0.006009285748476975
SPS_log2_max_frame_num_minus4,0.005977890547818216
elst(3)_Rate,0.00574397104411551
SPS_vui.max_bits_per_mb_denom,0.005739004401857547
mdhd(3)_Create Time,0.005690642578229293
dinf(3),0.005502189377443911
stsz(2)_Sample Size,0.005425629473686715
tkhd(2)_Create Time,0.00542159613947776
SPS_log2_max_pic_order_cnt_lsb_minus4,0.004987366877145768
stco(5),0.004951049140052567
mdhd(4)_Modify Time,0.0048032658437873734
gmhd,0.004777640759371356
SPS_direct_8x8_inference_flag,0.004439218065352828
SPS_constraint_set5_flag,0.0044063137471605455
SPS_frame_crop_top_offset,0.004383895146466396
mdhd_Language Code,0.004262125509870503
SPS_constraint_set2_flag,0.004240468408442847
sbgp,0.004238069134752574
