Feature,Importance
stco(2),4205
stco,4089
sdtp,2136
GOP,1595
meta,934
mvhd_Timescale,696
hdlr,568
elst_Media Time,482
stco(4),467
elst(2)_Media Time,394
ftyp_Minor Version,350
sgpd(2),290
stsz(4)_Sample Size,264
mvhd_Next Track ID,236
mdhd_Timescale,223
sgpd,176
mdhd(2)_Language Code,175
cslg,168
ftyp_Major Brand,167
mdhd(2)_Timescale,150
ctts,142
tkhd_Width,135
stsz(2)_Sample Size,121
tkhd(5)_Track ID,95
hdlr(3),91
tkhd_Create Time,74
stco(3),72
tref,68
ftyp_Compatible Brands,51
mdhd_Language Code,44
tkhd(2)_Width,34
stsz(3)_Sample Size,30
tkhd(4)_Track ID,25
hdlr(4),25
tkhd(2)_Create Time,19
meta(2),19
elst(3)_Media Time,17
sbgp(2),14
elst_Rate,10
tkhd(4)_Create Time,8
mvhd_Create Time,8
hdlr(2),8
elst(5)_Media Time,6
tkhd(3)_Track ID,2
mdhd_Modify Time,0
mdhd_Create Time,0
tkhd_Modify Time,0
tkhd_Duration,0
mvhd_Preferred Rate,0
tkhd_Track ID,0
elst_Entry Count,0
elst_Entries,0
tkhd_Height,0
mvhd_Preferred Volume,0
mvhd_Duration,0
wide,0
dinf(2),0
smhd,0
mdhd(2)_Modify Time,0
mdhd(2)_Duration,0
elst(2)_Entry Count,0
elst(2)_Entries,0
elst(2)_Rate,0
mdhd(2)_Create Time,0
tkhd(2)_Duration,0
tkhd(2)_Height,0
stss,0
stsc_Entry Count,0
stsz_Sample Count,0
stsz_Sample Size,0
tkhd(2)_Track ID,0
tkhd(2)_Modify Time,0
mdhd_Duration,0
vmhd,0
dinf,0
stts_Entry Count,0
stsd_Entry Count,0
mvhd_Modify Time,0
tkhd(3)_Width,0
mdhd(3)_Modify Time,0
mdhd(3)_Timescale,0
tkhd(3)_Duration,0
elst(3)_Entry Count,0
tkhd(3)_Height,0
elst(3)_Entries,0
elst(3)_Rate,0
mdhd(3)_Create Time,0
sbgp,0
stsd(3)_Entry Count,0
dinf(3),0
hdlr(6),0
gmhd,0
hdlr(5),0
mdhd(3)_Language Code,0
mdhd(3)_Duration,0
stsz(3)_Sample Count,0
tkhd(4)_Duration,0
tkhd(4)_Width,0
tkhd(4)_Height,0
elst(4)_Entry Count,0
elst(4)_Entries,0
stsc(3)_Entry Count,0
stts(3)_Entry Count,0
tkhd(4)_Modify Time,0
tref(2),0
elst(4)_Rate,0
elst(4)_Media Time,0
mdhd(4)_Create Time,0
mdhd(4)_Language Code,0
mdhd(4)_Modify Time,0
mdhd(4)_Timescale,0
mdhd(4)_Duration,0
hdlr(8),0
stsz(2)_Sample Count,0
stts(2)_Entry Count,0
tapt,0
tkhd(3)_Create Time,0
tkhd(3)_Modify Time,0
stsc(2)_Entry Count,0
stsd(2)_Entry Count,0
stsz(4)_Sample Count,0
stsd(4)_Entry Count,0
stts(4)_Entry Count,0
stsc(4)_Entry Count,0
dinf(4),0
hdlr(7),0
gmhd(2),0
tkhd(5)_Duration,0
elst(5)_Rate,0
tref(3),0
mdhd(5)_Create Time,0
tkhd(5)_Modify Time,0
tkhd(5)_Width,0
tkhd(5)_Height,0
elst(5)_Entry Count,0
tkhd(5)_Create Time,0
hdlr(9),0
mdhd(5)_Language Code,0
mdhd(5)_Duration,0
mdhd(5)_Timescale,0
mdhd(5)_Modify Time,0
gmhd(3),0
dinf(5),0
hdlr(10),0
stsz(5)_Sample Count,0
stsz(5)_Sample Size,0
stsc(5)_Entry Count,0
stts(5)_Entry Count,0
stsd(5)_Entry Count,0
stco(5),0
sgpd(3),0
elst(5)_Entries,0
csgm,0
csgm(2),0
tapt(2),0
sgpd(4),0
ctts(2),0
cslg(2),0
stss(2),0
vmhd(2),0
tagc,0
tagc(2),0
tagc(3),0
sgpd(5),0
sbgp(3),0
free,0
tgas,0
sdtp(2),0
free(2),0
SDLN,0
smta,0
smrd,0
co64(2)_Entry Count,0
name(2),0
type,0
co64_Entry Count,0
elst_'Duration,0
elst(2)_'Duration,0
vhdr,0
auth,0
smme,0
skip,0
0,0
soct,0
