Feature,Importance
GOP,0.06063537874543973
sdtp,0.053478182589455886
elst_Media Time,0.048065052943961566
stco,0.04713458649772885
stco(2),0.0417379635005351
ctts,0.040143136993616296
meta,0.03863257997876341
mdhd_Timescale,0.038124985337369736
mvhd_Timescale,0.03632038030280203
sgpd(2),0.03117528115895723
sgpd,0.029462506692656033
elst(2)_Media Time,0.025122603515731947
cslg,0.02418367570025386
ftyp_Minor Version,0.02368374328873319
mdhd_Create Time,0.02093630247915826
tapt,0.019084208534158393
ftyp_Compatible Brands,0.019015120552062763
stco(4),0.015890653588635353
sbgp(2),0.015811514791594813
mdhd(2)_Language Code,0.015527337981800837
hdlr(3),0.01517720574188909
tkhd_Create Time,0.014580091925371423
hdlr(4),0.012529240149505783
mdhd(2)_Create Time,0.012414765489103705
hdlr(2),0.01179868524765784
mdhd(2)_Timescale,0.011728263619605083
tkhd_Height,0.011645017059362156
ftyp_Major Brand,0.011277023993599493
elst_Rate,0.010948864241904962
tkhd_Modify Time,0.010891415645435379
tkhd(2)_Height,0.009825195760133593
tkhd(2)_Create Time,0.008722033075882603
mdhd(3)_Language Code,0.008651323888333954
mvhd_Next Track ID,0.008464134370287882
hdlr,0.007705246748042124
tkhd(2)_Width,0.007585459559199766
hdlr(6),0.007373910410869689
mdhd_Language Code,0.007324342613746003
hdlr(5),0.006967923531141482
stsz(2)_Sample Size,0.006594627627256026
tkhd(2)_Modify Time,0.005711333842389827
mdhd(3)_Timescale,0.005375776755265089
csgm,0.005369598855794351
stco(3),0.00526403649994978
stco(5),0.005246381713286498
dinf(3),0.005089146578732602
mdhd(4)_Timescale,0.004913639545665178
free,0.004758572236718691
stsz(4)_Sample Size,0.004723368351383409
tkhd(4)_Height,0.00444357708439455
name(2),0.004328383558799541
tkhd_Width,0.004266799354871435
stsz(3)_Sample Size,0.004199646694715349
tkhd(4)_Create Time,0.003998237872090806
elst(3)_Rate,0.003927031816004429
mdhd(2)_Modify Time,0.0037533777736258518
mdhd(3)_Modify Time,0.003717949372454348
tkhd(3)_Create Time,0.0037005158385791668
tkhd(4)_Track ID,0.0032436599653803883
