Feature,Importance
stco,630
stco(2),568
GOP,192
stco(5),153
mvhd_Timescale,120
stco(4),102
stsz(4)_Sample Size,82
sgpd(3),73
elst_Media Time,54
mdhd_Language Code,45
mdhd(2)_Timescale,43
sdtp,43
elst(2)_Media Time,42
mdhd(2)_Language Code,37
stsz(3)_Sample Size,35
tkhd_Width,35
auth,33
ftyp_Minor Version,32
tref,31
stco(3),30
smta,29
mvhd_Next Track ID,27
mdhd_Timescale,27
free,24
ftyp_Major Brand,22
sgpd,16
ctts,14
SDLN,13
hdlr,12
meta,12
ftyp_Compatible Brands,11
tkhd_Track ID,8
stsz(5)_Sample Size,7
tkhd(5)_Track ID,7
stsz(2)_Sample Size,7
sbgp(2),6
tkhd(2)_Width,6
tkhd_Create Time,5
csgm(2),4
sgpd(2),4
cslg,4
sgpd(4),3
elst(5)_Media Time,2
mvhd_Create Time,2
elst(3)_Media Time,1
tapt,1
vmhd,1
tkhd_Modify Time,1
elst(2)_Rate,1
hdlr(2),1
tkhd(2)_Modify Time,1
tkhd(2)_Create Time,1
mdhd_Modify Time,0
mdhd_Create Time,0
elst_Rate,0
elst_Entries,0
dinf(2),0
hdlr(4),0
smhd,0
hdlr(3),0
mdhd(2)_Duration,0
mdhd(2)_Modify Time,0
elst(2)_Entries,0
mdhd(2)_Create Time,0
tkhd(2)_Duration,0
elst(2)_Entry Count,0
tkhd(2)_Height,0
stss,0
stsz_Sample Count,0
stsz_Sample Size,0
stsc_Entry Count,0
tkhd(2)_Track ID,0
mdhd_Duration,0
dinf,0
stsd_Entry Count,0
stts_Entry Count,0
mvhd_Duration,0
mvhd_Modify Time,0
wide,0
mvhd_Preferred Volume,0
tkhd_Duration,0
mvhd_Preferred Rate,0
elst_Entry Count,0
tkhd_Height,0
tkhd(3)_Width,0
sbgp,0
stts(2)_Entry Count,0
stsz(2)_Sample Count,0
stsd(3)_Entry Count,0
dinf(3),0
hdlr(6),0
gmhd,0
hdlr(5),0
stsz(3)_Sample Count,0
stsc(3)_Entry Count,0
stts(3)_Entry Count,0
tkhd(4)_Duration,0
tkhd(4)_Width,0
tkhd(4)_Height,0
elst(4)_Entry Count,0
elst(4)_Entries,0
tkhd(4)_Track ID,0
tkhd(4)_Create Time,0
tkhd(4)_Modify Time,0
tref(2),0
tkhd(3)_Duration,0
elst(3)_Entry Count,0
tkhd(3)_Height,0
elst(3)_Entries,0
elst(3)_Rate,0
mdhd(3)_Create Time,0
mdhd(3)_Modify Time,0
mdhd(3)_Timescale,0
mdhd(3)_Duration,0
mdhd(3)_Language Code,0
tkhd(3)_Track ID,0
tkhd(3)_Create Time,0
tkhd(3)_Modify Time,0
stsc(2)_Entry Count,0
stsd(2)_Entry Count,0
stsz(4)_Sample Count,0
stsd(4)_Entry Count,0
stts(4)_Entry Count,0
stsc(4)_Entry Count,0
dinf(4),0
hdlr(7),0
gmhd(2),0
hdlr(8),0
mdhd(4)_Duration,0
mdhd(4)_Timescale,0
mdhd(4)_Modify Time,0
mdhd(4)_Language Code,0
mdhd(4)_Create Time,0
elst(4)_Media Time,0
elst(4)_Rate,0
elst(5)_Rate,0
hdlr(9),0
mdhd(5)_Language Code,0
mdhd(5)_Duration,0
mdhd(5)_Timescale,0
mdhd(5)_Modify Time,0
mdhd(5)_Create Time,0
tref(3),0
gmhd(3),0
stsz(5)_Sample Count,0
tkhd(5)_Create Time,0
tkhd(5)_Duration,0
tkhd(5)_Modify Time,0
tkhd(5)_Width,0
tkhd(5)_Height,0
elst(5)_Entry Count,0
elst(5)_Entries,0
csgm,0
meta(2),0
dinf(5),0
hdlr(10),0
stsd(5)_Entry Count,0
stts(5)_Entry Count,0
stsc(5)_Entry Count,0
tapt(2),0
sdtp(2),0
tagc,0
tagc(3),0
tagc(2),0
ctts(2),0
cslg(2),0
stss(2),0
vmhd(2),0
free(2),0
tgas,0
sbgp(3),0
sgpd(5),0
co64(2)_Entry Count,0
name(2),0
smrd,0
co64_Entry Count,0
elst_'Duration,0
type,0
vhdr,0
elst(2)_'Duration,0
smme,0
skip,0
0,0
soct,0
