Feature,Importance
elst(2)_Rate,0.07099473627544052
mvhd_Timescale,0.04501681459250881
tref(2),0.036314685952477645
stsz(4)_Sample Size,0.03597724226897194
mdhd_Timescale,0.03225211926216917
mdhd_Language Code,0.029917180038420636
stsz(3)_Sample Size,0.029299685877856627
sbgp,0.029221735984223163
auth,0.02703588364505327
smrd,0.02681639932031737
sgpd(3),0.023721037514622387
SDLN,0.023650831593048375
mdhd(2)_Language Code,0.021310006597717958
elst(2)_Media Time,0.019841468952365496
mdhd(2)_Timescale,0.0193895564322808
tkhd_Width,0.0175777721316306
mdhd(5)_Create Time,0.01685732890429268
GOP,0.0160698281444237
mdhd(2)_Modify Time,0.01583628121324148
ftyp_Minor Version,0.01551720605149678
hdlr(10),0.014234972787087359
stco,0.01372123589413535
ctts,0.012892911057578242
dinf(2),0.011773591648720008
tkhd_Track ID,0.011698984077710329
tkhd(5)_Width,0.011682786986757612
mdhd(5)_Language Code,0.01150231155918363
stsz_Sample Size,0.011385213154982074
tkhd(2)_Width,0.010883702527214373
tkhd(5)_Modify Time,0.010364430143641008
smta,0.010187532411393472
tkhd(5)_Create Time,0.009967810328429274
elst_Media Time,0.009503379191780383
stco(4),0.009116008734154215
ftyp_Compatible Brands,0.008685181814389849
stco(2),0.008669300250655945
mdhd(5)_Timescale,0.008574478100489707
elst_Rate,0.008537932423331894
hdlr(2),0.008503478366696005
vmhd,0.008488195610314848
stco(3),0.008168955551014274
hdlr(3),0.00807533831614776
ftyp_Major Brand,0.007938416837167978
tkhd_Height,0.007754396514278417
mdhd_Create Time,0.007597432799976625
mdhd(4)_Modify Time,0.007490932260444386
gmhd(3),0.0071318166348101905
elst(5)_Rate,0.007116307665959109
meta,0.007037072063920571
stco(5),0.007019528411904107
tkhd(2)_Height,0.0068395709147614945
elst(5)_Media Time,0.0067671415664555725
mdhd(2)_Create Time,0.006636486343943533
stsz(5)_Sample Size,0.006456514746765087
hdlr,0.006330851037748694
sgpd,0.00622593517282914
tref,0.006199238331077136
dinf(4),0.006055486843295504
sbgp(2),0.005780374769426484
mdhd_Modify Time,0.005608831937448181
mdhd(4)_Timescale,0.005534481794850474
elst(3)_Rate,0.005360474240679406
stss,0.005338040423756463
tkhd(5)_Height,0.005138028028166892
vhdr,0.004977667134459667
cslg,0.004784379136701462
tkhd(2)_Create Time,0.0047504536580835885
free,0.004741358690042039
