Feature,Importance
tkhd_Width,0.22901215
mvhd_Next Track ID,0.19794819
ftyp_Minor Version,0.19212528
mvhd_Timescale,0.09187465
sdtp,0.039964803
free,0.025457472
elst_Media Time,0.0233995
mdhd_Language Code,0.023374263
tref,0.021440515
tkhd(2)_Width,0.017482247
mdhd(2)_Language Code,0.017326772
tkhd_Track ID,0.012787383
stco(3),0.01139935
smta,0.009333245
stsz(4)_Sample Size,0.008501672
stsz(3)_Sample Size,0.008279133
mdhd(2)_Timescale,0.00807826
sgpd(3),0.0077163745
ftyp_Compatible Brands,0.005874468
ctts,0.005825882
GOP,0.0057995594
stco(4),0.005258793
sgpd,0.005001621
elst(2)_Media Time,0.004298262
stco(5),0.0042250506
stco,0.0037271136
tkhd_Create Time,0.0031477103
stco(2),0.0029534982
sgpd(2),0.0024043925
auth,0.0017090646
elst(2)_Rate,0.0009051592
sgpd(4),0.0008805251
stsz(2)_Sample Size,0.0008465802
SDLN,0.0006953537
ftyp_Major Brand,0.0005275057
stsz(5)_Sample Size,0.00032963205
elst(4)_Media Time,8.859255e-05
stts_Entry Count,0.0
stsz_Sample Size,0.0
stss,0.0
mdhd_Timescale,0.0
mdhd_Modify Time,0.0
mdhd_Create Time,0.0
elst_Rate,0.0
elst_Entries,0.0
elst_Entry Count,0.0
tkhd_Height,0.0
hdlr,0.0
tkhd_Duration,0.0
mvhd_Modify Time,0.0
mvhd_Create Time,0.0
wide,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
tkhd_Modify Time,0.0
mvhd_Preferred Volume,0.0
dinf(2),0.0
hdlr(4),0.0
smhd,0.0
hdlr(3),0.0
mdhd(2)_Duration,0.0
mdhd(2)_Modify Time,0.0
elst(2)_Entries,0.0
mdhd(2)_Create Time,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
tkhd(2)_Height,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
vmhd,0.0
stsd_Entry Count,0.0
dinf,0.0
hdlr(2),0.0
mdhd_Duration,0.0
elst(3)_Media Time,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
tapt,0.0
meta,0.0
sbgp,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
stts(2)_Entry Count,0.0
stsd(3)_Entry Count,0.0
dinf(3),0.0
hdlr(6),0.0
gmhd,0.0
hdlr(5),0.0
tkhd(4)_Track ID,0.0
stsz(3)_Sample Count,0.0
stsc(3)_Entry Count,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Height,0.0
tkhd(4)_Width,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
tkhd(4)_Create Time,0.0
stts(3)_Entry Count,0.0
tref(2),0.0
elst(4)_Rate,0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Language Code,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
stsd(2)_Entry Count,0.0
tkhd(5)_Track ID,0.0
stsz(4)_Sample Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
dinf(4),0.0
gmhd(2),0.0
hdlr(8),0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
hdlr(7),0.0
tref(3),0.0
elst(5)_Rate,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
hdlr(9),0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Modify Time,0.0
gmhd(3),0.0
dinf(5),0.0
hdlr(10),0.0
stsz(5)_Sample Count,0.0
stsc(5)_Entry Count,0.0
mdhd(5)_Create Time,0.0
tkhd(5)_Width,0.0
tkhd(5)_Height,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Media Time,0.0
csgm,0.0
sbgp(2),0.0
meta(2),0.0
cslg,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
tapt(2),0.0
csgm(2),0.0
sdtp(2),0.0
tagc,0.0
tagc(3),0.0
tagc(2),0.0
ctts(2),0.0
cslg(2),0.0
stss(2),0.0
vmhd(2),0.0
free(2),0.0
tgas,0.0
sbgp(3),0.0
sgpd(5),0.0
co64(2)_Entry Count,0.0
name(2),0.0
smrd,0.0
co64_Entry Count,0.0
elst_'Duration,0.0
type,0.0
vhdr,0.0
elst(2)_'Duration,0.0
smme,0.0
skip,0.0
0,0.0
soct,0.0
