Feature,Importance
mvhd_Timescale,1.9449618118988798
elst(2)_Rate,1.6301957802520664
tkhd_Width,1.5461113301581868
tkhd_Height,1.5461113301581868
ftyp_Minor Version,1.5285326311811076
elst(2)_Media Time,1.3627443839224953
soct,1.2684225530093522
elst_Rate,1.1620087626613704
elst_Media Time,1.0091981697212253
mdhd(2)_Timescale,0.9944550595077285
ftyp_Compatible Brands,0.9700430248882429
tref,0.9218382724044659
tkhd(2)_Height,0.8935784962519324
tkhd(2)_Width,0.8935784962519324
stco,0.7589375177400693
mvhd_Modify Time,0.7083575078476005
free,0.6907683463121623
ctts,0.6829782028671747
dinf(2),0.6551915243757642
smhd,0.6551915243757642
tkhd_Track ID,0.6551915243757642
tkhd(2)_Track ID,0.6551915243757642
stsz_Sample Size,0.6551915243757642
dinf,0.6551915243757642
auth,0.643641081957316
stss,0.6372230539299765
stsz(2)_Sample Size,0.5833117076792247
vhdr,0.5787143546814225
mdhd_Language Code,0.526263543806314
hdlr,0.5245124864889524
tkhd(2)_Modify Time,0.5237045256613622
mdhd(2)_Modify Time,0.5237045256613622
tkhd_Modify Time,0.5237045256613622
mdhd_Modify Time,0.5237045256613622
meta,0.5188599007237069
smta,0.5178620185868693
mvhd_Create Time,0.471901482106875
sbgp,0.43250812540784317
sgpd,0.43250812540784317
mdhd(2)_Language Code,0.41638371905217064
stco(2),0.36781374060759464
hdlr(2),0.3550544074843643
tkhd(2)_Create Time,0.2872484999206368
mdhd_Create Time,0.2872484999206368
mdhd(2)_Create Time,0.2872484999206368
tkhd_Create Time,0.2872484999206368
skip,0.24089814980187613
smme,0.24089814980187496
type,0.17250014697767105
ftyp_Major Brand,0.11166404462515454
mdhd_Timescale,0.07376429658028175
SDLN,0.03282544189673698
smrd,0.0301667514272294
vmhd,0.014907312329131074
meta(2),0.008049642091237328
sgpd(2),0.008049642091234882
sbgp(2),0.008049642091234882
stsd(5)_Entry Count,0.0
hdlr(10),0.0
dinf(5),0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
hdlr(9),0.0
stsz(5)_Sample Size,0.0
stsz(5)_Sample Count,0.0
stco(5),0.0
elst_Entries,0.0
cslg,0.0
gmhd(3),0.0
mdhd(2)_Duration,0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Create Time,0.0
mdhd(5)_Timescale,0.0
csgm,0.0
sgpd(3),0.0
tgas,0.0
0,0.0
wide,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
mvhd_Next Track ID,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
tkhd_Duration,0.0
free(2),0.0
elst_Entry Count,0.0
stco(4),0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
csgm(2),0.0
tkhd(5)_Track ID,0.0
stsz(4)_Sample Size,0.0
stsz(4)_Sample Count,0.0
hdlr(5),0.0
mdhd(3)_Duration,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Create Time,0.0
mdhd_Duration,0.0
elst(3)_Rate,0.0
elst(3)_Media Time,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Height,0.0
tkhd(3)_Width,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Track ID,0.0
sdtp,0.0
tapt,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz(2)_Sample Count,0.0
stsz_Sample Count,0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
tkhd(2)_Duration,0.0
hdlr(4),0.0
elst(2)_Entry Count,0.0
hdlr(3),0.0
mdhd(3)_Language Code,0.0
gmhd,0.0
elst(2)_Entries,0.0
hdlr(6),0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
dinf(4),0.0
hdlr(8),0.0
gmhd(2),0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Create Time,0.0
tref(2),0.0
elst(4)_Rate,0.0
elst(4)_Media Time,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Height,0.0
tkhd(4)_Width,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Track ID,0.0
stco(3),0.0
stsz(3)_Sample Size,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
dinf(3),0.0
stsz(3)_Sample Count,0.0
