Feature,Importance
mvhd_Timescale,1.9916093100522123
elst(2)_Rate,1.6280836880363185
tkhd_Height,1.5489967785211878
tkhd_Width,1.5489967785211878
ftyp_Minor Version,1.5282517922476206
elst(2)_Media Time,1.361740028525236
soct,1.2827196899952589
elst_Rate,1.142391915360071
mdhd(2)_Timescale,1.0205564259240216
elst_Media Time,0.9938609624325613
ftyp_Compatible Brands,0.9828560957500829
tref,0.9389752931860733
tkhd(2)_Height,0.8697543752571937
tkhd(2)_Width,0.8697543752571937
ctts,0.7051430004963772
stco,0.7008526826732184
sequence,0.689774403969262
mvhd_Modify Time,0.6891083948502459
dinf,0.6813834034685258
dinf(2),0.6813834034685258
tkhd(2)_Track ID,0.6813834034685257
tkhd_Track ID,0.6813834034685257
stsz_Sample Size,0.6813834034685257
smhd,0.6813834034685257
stss,0.6498375475616796
auth,0.6344285507450583
free,0.622313230837586
stsz(2)_Sample Size,0.6065128845404352
vhdr,0.5829070705331685
mdhd_Language Code,0.5488055698543213
hdlr,0.526390020235109
smta,0.5087251821756171
mdhd_Modify Time,0.4964497673502569
tkhd(2)_Modify Time,0.4964497673502569
tkhd_Modify Time,0.4964497673502569
mdhd(2)_Modify Time,0.4964497673502569
meta,0.4893016302010216
mvhd_Create Time,0.4610699523771944
mdhd(2)_Language Code,0.4466600244735629
sbgp,0.40926497617805463
sgpd,0.40926497617805463
hdlr(2),0.4014496467195245
mdhd(2)_Create Time,0.2684113248772065
mdhd_Create Time,0.2684113248772065
tkhd(2)_Create Time,0.2684113248772065
tkhd_Create Time,0.2684113248772065
stco(2),0.2595877489424106
smme,0.2177026840478487
skip,0.21770268404784773
type,0.18501256150913978
GOP,0.1710765291533183
ftyp_Major Brand,0.1358658438252793
mdhd_Timescale,0.09127540593658193
SDLN,0.07107783990052091
smrd,0.06893683969598739
vmhd,0.0483288348713417
sgpd(2),0.005047438447076845
sbgp(2),0.005047438447076164
meta(2),0.005047438447076164
stco(5),0.0
stsz(5)_Sample Count,0.0
stsz(5)_Sample Size,0.0
hdlr(9),0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
dinf(5),0.0
hdlr(10),0.0
cslg,0.0
gmhd(3),0.0
hdlr(3),0.0
mdhd(5)_Language Code,0.0
sgpd(3),0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Create Time,0.0
mdhd(5)_Duration,0.0
csgm(2),0.0
csgm,0.0
free(2),0.0
wide,0.0
0,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
mvhd_Next Track ID,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
tkhd_Duration,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
elst_Entry Count,0.0
tgas,0.0
stco(4),0.0
elst_Entries,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
tkhd(5)_Track ID,0.0
stsz(4)_Sample Count,0.0
mdhd(2)_Duration,0.0
gmhd,0.0
mdhd(3)_Language Code,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Create Time,0.0
elst(3)_Rate,0.0
elst(3)_Media Time,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Height,0.0
tkhd(3)_Width,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Track ID,0.0
sdtp,0.0
tapt,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
tkhd(2)_Duration,0.0
stsz(2)_Sample Count,0.0
elst(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
elst(2)_Entries,0.0
hdlr(4),0.0
hdlr(5),0.0
hdlr(6),0.0
stsz(4)_Sample Size,0.0
dinf(3),0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
dinf(4),0.0
hdlr(8),0.0
gmhd(2),0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Create Time,0.0
tref(2),0.0
elst(4)_Rate,0.0
elst(4)_Media Time,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Height,0.0
tkhd(4)_Width,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Track ID,0.0
stco(3),0.0
mdhd_Duration,0.0
stsz(3)_Sample Size,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
