Feature,Importance
ftyp_Minor Version,0.08635303175583116
mdhd(2)_Create Time,0.07803439091554404
elst(2)_Rate,0.06466093989871885
ftyp_Major Brand,0.05769419287463071
mdhd(2)_Timescale,0.05096841965623309
tkhd_Width,0.04862847550544445
mdhd_Modify Time,0.04708316192735874
tkhd(2)_Width,0.038727707504545544
elst(2)_Media Time,0.03627775123091112
tkhd_Height,0.03554593237918412
mvhd_Modify Time,0.03443432599689635
tkhd(2)_Height,0.030828931988149955
tkhd_Modify Time,0.03002626610206354
mdhd_Create Time,0.027535202671917957
GOP,0.026131562935455092
mdhd(2)_Modify Time,0.0250818348041421
mvhd_Create Time,0.024658657816949932
tkhd(2)_Modify Time,0.024344105575545845
sequence,0.023357175678782767
tkhd_Create Time,0.022527428534393542
mdhd(2)_Language Code,0.020387528955051918
mdhd_Timescale,0.019644056252858633
stco,0.014526133331050097
tkhd(2)_Create Time,0.011631387561732383
mvhd_Timescale,0.011609574034914208
ftyp_Compatible Brands,0.010280625734914197
ctts,0.009094787025226392
hdlr,0.008724114796886588
SDLN,0.0075543710039225305
smta,0.006582472876942227
auth,0.0064866360807347735
mdhd_Language Code,0.006405067900682198
elst_Rate,0.005465340705411869
elst_Media Time,0.00517034006336796
soct,0.0050071815837957655
stsz_Sample Size,0.004690143125394065
tref,0.0046595677854333415
hdlr(2),0.004260172466980384
meta,0.004251271840974924
smhd,0.003326783545824982
stco(2),0.0023729046461371753
smme,0.0019162028643890847
tkhd(2)_Track ID,0.0018087370139026281
vmhd,0.0017657533109299095
smrd,0.0015528389235572048
free,0.0014438696034975837
stss,0.001350148023384547
skip,0.001311752982236237
sbgp,0.0011746263034851769
dinf,0.0011531515552843776
tkhd_Track ID,0.0006574205828451825
type,0.0005100966177632933
vhdr,0.0003060353672612613
dinf(2),1.9409780528007546e-05
dinf(5),0.0
mdhd(5)_Create Time,0.0
hdlr(10),0.0
gmhd(3),0.0
hdlr(9),0.0
mdhd(5)_Language Code,0.0
stsd(5)_Entry Count,0.0
stsc(4)_Entry Count,0.0
mdhd(5)_Duration,0.0
stts(5)_Entry Count,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Modify Time,0.0
stsz(4)_Sample Count,0.0
tref(3),0.0
stco(4),0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
tkhd(5)_Track ID,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
stsz(5)_Sample Size,0.0
stsz(4)_Sample Size,0.0
stsc(5)_Entry Count,0.0
tkhd_Duration,0.0
stsz(5)_Sample Count,0.0
sdtp(2),0.0
0,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
free(2),0.0
tgas,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
stsd(4)_Entry Count,0.0
stco(5),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
csgm(2),0.0
csgm,0.0
sgpd(3),0.0
sbgp(2),0.0
sgpd(2),0.0
cslg,0.0
meta(2),0.0
stts(4)_Entry Count,0.0
elst(4)_Entry Count,0.0
dinf(4),0.0
tapt,0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Size,0.0
stsz(2)_Sample Count,0.0
sgpd,0.0
sdtp,0.0
hdlr(3),0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
hdlr(4),0.0
mdhd(2)_Duration,0.0
hdlr(8),0.0
stsc_Entry Count,0.0
elst_Entry Count,0.0
elst_Entries,0.0
mvhd_Next Track ID,0.0
mdhd_Duration,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsz_Sample Count,0.0
wide,0.0
tkhd(2)_Duration,0.0
mvhd_Preferred Volume,0.0
mvhd_Preferred Rate,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
mvhd_Duration,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
tref(2),0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
mdhd(4)_Create Time,0.0
elst(3)_Rate,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
hdlr(7),0.0
gmhd(2),0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Track ID,0.0
stco(3),0.0
stsz(3)_Sample Size,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
dinf(3),0.0
hdlr(6),0.0
gmhd,0.0
hdlr(5),0.0
mdhd(3)_Language Code,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Create Time,0.0
stsz(3)_Sample Count,0.0
