Feature,Importance
tref(2),0.11930732802443561
tref,0.05664532398472787
hdlr(5),0.04916511922874701
mdhd(4)_Modify Time,0.04648985435692962
tkhd(4)_Height,0.045948768744429956
tkhd(4)_Width,0.041548881076582
tkhd(4)_Modify Time,0.033942043784325124
mdhd(4)_Language Code,0.032942483996430474
tkhd(4)_Track ID,0.03075608266994878
mdhd(4)_Timescale,0.030447179020088894
elst(3)_Media Time,0.02967181785968189
stsz(4)_Sample Size,0.029473989839601585
gmhd(2),0.02912744801578624
sequence,0.026530774961328323
sgpd(3),0.020450034372832243
mvhd_Next Track ID,0.0192862962244386
tkhd(5)_Modify Time,0.018524114180353348
stsz(5)_Sample Size,0.018322307248364866
tkhd(5)_Track ID,0.018001512465233984
hdlr(7),0.016815973376796883
hdlr(6),0.01620655662939577
mdhd(4)_Create Time,0.01611333569324456
tkhd(4)_Create Time,0.015339708994079842
gmhd,0.014641169642786134
mdhd(3)_Timescale,0.014555254149071772
mdhd(3)_Modify Time,0.014114719891300958
dinf(4),0.013819684508798556
tkhd(3)_Create Time,0.013724805282383375
SPS_qpprime_y_zero_transform_bypass_flag,0.009576197707298558
stco(5),0.009444589932696656
stco,0.008022694249804318
stco(2),0.007721203809257124
sgpd(2),0.0074102944883153495
tref(3),0.006540833960428761
stco(4),0.005467260806300511
gmhd(3),0.005180397771830956
tkhd(5)_Create Time,0.004683661518130083
sbgp(2),0.00449795336235166
GOP,0.004223224558596245
SPS_frame_crop_top_offset,0.004137916667899839
sgpd,0.00396613497852354
SPS_frame_cropping_flag,0.003666726478245475
hdlr(9),0.00341574740242955
SPS_constraint_set3_flag,0.00341423885294636
elst(2)_Media Time,0.003322255818878968
stsz(2)_Sample Size,0.0032557087110665923
tkhd(5)_Height,0.0032553529142302245
stco(3),0.0029221624358498014
SPS_vui.colour_primaries,0.0026730162649688137
SPS_constraint_set5_flag,0.0026408389937335893
SPS_vui.nal_hrd_parameters_present_flag,0.0025295572200351134
elst(5)_Rate,0.002436858656632519
SPS_vui.aspect_ratio_info_present_flag,0.0023220345468087343
SPS_vui.matrix_coefficients,0.0022256493506525284
mdhd(5)_Timescale,0.0022061012191777465
SPS_vui.video_signal_type_present_flag,0.0021942837590757094
SPS_frame_crop_right_offset,0.0021717949097530766
SPS_num_ref_frames,0.0021491382661293066
csgm(2),0.0019496852677438003
