Feature,Importance
stsz(4)_Sample Size,1.6834534689884213
sgpd(3),1.364370109959981
tref(2),1.3035629972995795
tref,1.303309585516061
GOP,1.0521710613040103
stsz(2)_Sample Size,0.7037326972699064
sbgp,0.6905812820089243
sgpd,0.6905790431397656
stsz(3)_Sample Size,0.6518980418512696
stco(4),0.6449701310137343
sdtp,0.6229501332402703
cslg,0.6047791769413431
ctts,0.580378108275384
stco(3),0.5765381741837268
sgpd(2),0.5373271353149025
stsz(5)_Sample Size,0.4834111798003165
meta(2),0.30657877558974617
csgm(2),0.21002551858807988
stco,0.18429377057441212
mdhd(4)_Modify Time,0.17486144872051096
mdhd(4)_Create Time,0.17486144872051096
tkhd(4)_Modify Time,0.17486144872051096
tkhd(4)_Height,0.17486144872051096
tkhd(4)_Width,0.17486144872051096
tkhd(4)_Create Time,0.17486144872051096
mdhd(3)_Create Time,0.15381819405358557
tkhd(3)_Height,0.15381819405358557
tkhd(3)_Width,0.15381819405358557
tkhd(3)_Modify Time,0.15381819405358557
tkhd(3)_Create Time,0.15381819405358557
tkhd(3)_Track ID,0.15381819405358557
mdhd(3)_Modify Time,0.15381819405358557
tkhd(2)_Height,0.14347315588302173
tkhd(2)_Width,0.14347315588302173
elst(2)_Media Time,0.1367512244875387
tkhd(5)_Height,0.13410939553616458
mdhd(5)_Modify Time,0.13410939553616458
mdhd(5)_Create Time,0.13410939553616458
tkhd(5)_Width,0.13410939553616458
tkhd(5)_Modify Time,0.13410939553616458
tkhd(5)_Create Time,0.13410939553616458
tkhd(5)_Track ID,0.13410939553616458
sgpd(4),0.1284582999775744
stco(5),0.12287957291831886
stss,0.12196929469872037
sdtp(2),0.11582657772701897
vmhd(2),0.11582657772701895
stco(2),0.11520683708016198
dinf(4),0.10478299533773033
hdlr(7),0.10478299533773033
tkhd(4)_Track ID,0.10478299533773007
mdhd(4)_Timescale,0.10478299533773007
mdhd(4)_Language Code,0.10478299533773007
hdlr(8),0.10478299533773007
hdlr,0.10183170776817518
tkhd_Height,0.09977941044443327
tkhd_Width,0.09977941044443327
ftyp_Compatible Brands,0.09563645034542032
csgm,0.09419891889265289
ftyp_Major Brand,0.09004935041837842
dinf(3),0.08373974067080395
gmhd,0.08373974067080395
elst(3)_Rate,0.08373974067080395
mdhd(3)_Language Code,0.08373974067080389
hdlr(6),0.08373974067080389
hdlr(5),0.08298441163156142
mvhd_Next Track ID,0.08200068349913531
tkhd(2)_Create Time,0.07818511214429633
tkhd(2)_Modify Time,0.07818511214429633
mdhd(2)_Create Time,0.07818511214429633
mdhd(2)_Modify Time,0.07818511214429633
sbgp(2),0.07688130468648564
mvhd_Timescale,0.07631487964217173
name(2),0.0749577326276811
free,0.0749577326276809
tgas,0.07128992518149534
elst(3)_Media Time,0.06860389435698518
dinf(5),0.06403094215338337
tref(3),0.06403094215338337
hdlr(9),0.06403094215338337
gmhd(3),0.06403094215338337
mdhd(5)_Language Code,0.06403094215338312
mdhd(5)_Timescale,0.06403094215338312
hdlr(10),0.06403094215338312
tagc(2),0.04574812434423783
stss(2),0.0457481243442378
tapt(2),0.04574812434423714
cslg(2),0.04574812434423674
ctts(2),0.04574812434423674
sbgp(3),0.04574812434423674
sgpd(5),0.04574812434423674
tagc,0.04574812434423651
tagc(3),0.04574812434423651
mdhd(2)_Language Code,0.04288470239802567
meta,0.03565015385470296
elst(4)_Media Time,0.03258805185357836
hdlr(3),0.029189090113218175
hdlr(4),0.029181063102468437
tapt,0.028117160084821277
hdlr(2),0.028117092218197682
ftyp_Minor Version,0.02711203594322104
elst(5)_Media Time,0.023053876282763907
elst(5)_Rate,0.023053876282763133
tkhd_Create Time,0.018773681729221347
tkhd_Modify Time,0.018773681729221347
mdhd_Modify Time,0.018773681729221347
mdhd_Create Time,0.018773681729221347
elst(4)_Rate,0.017698176901583856
mdhd_Timescale,0.015654527496710157
gmhd(2),0.01104358238928872
elst(2)_Rate,0.006933658150548469
mdhd_Language Code,0.005869687268408904
elst_Rate,0.004879279244900081
mvhd_Create Time,0.004869166537295879
mvhd_Modify Time,0.004869166537295879
mdhd(3)_Timescale,0.004447416145343467
mdhd(2)_Timescale,0.003300558464946931
dinf(2),0.0020543789056483943
smhd,0.0020543789056483926
tkhd(2)_Track ID,0.0020543789056483926
elst_Media Time,0.001276994964423238
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
soct,0.0
0,0.0
skip,0.0
free(2),0.0
wide,0.0
smme,0.0
vhdr,0.0
tkhd_Track ID,0.0
auth,0.0
elst(2)_'Duration,0.0
mvhd_Preferred Volume,0.0
SDLN,0.0
smrd,0.0
elst_'Duration,0.0
type,0.0
mvhd_Preferred Rate,0.0
tkhd_Duration,0.0
smta,0.0
mvhd_Duration,0.0
stsz(5)_Sample Count,0.0
stsz(2)_Sample Count,0.0
stsc(5)_Entry Count,0.0
stsz_Sample Size,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Duration,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
mdhd(3)_Duration,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
mdhd(2)_Duration,0.0
tkhd(3)_Duration,0.0
SPS,0.0
