Feature,Importance
tref,0.10208770034446762
stsz(4)_Sample Size,0.0794890002067312
mdhd(4)_Timescale,0.061083326205771026
hdlr(7),0.04916356366270314
mdhd(4)_Modify Time,0.04729741918693874
mdhd(4)_Create Time,0.04679040052119905
tkhd(4)_Modify Time,0.0466665359634842
tkhd(4)_Create Time,0.046334741374339974
tkhd(3)_Height,0.04381570499313712
tref(2),0.0363211209692137
dinf(4),0.03357833620372098
mdhd(4)_Language Code,0.031266584339671805
hdlr(9),0.030332958432894963
elst(4)_Media Time,0.02969045343381274
mdhd(5)_Modify Time,0.027508080526729595
tkhd(5)_Modify Time,0.022370483752613156
tkhd(4)_Height,0.021694905813847986
gmhd(3),0.017634238060480638
sgpd(3),0.017130421434196196
dinf(3),0.01650439534373599
tkhd(3)_Width,0.01621978655617379
gmhd,0.01562771009907168
sgpd(2),0.014752845699172646
elst(4)_Rate,0.014474989832509966
elst(3)_Rate,0.014440292510709154
sdtp,0.009985359185369247
GOP,0.009497448307459057
ctts,0.009445254856346265
stco,0.007485975760082328
stco(2),0.007426860655436871
cslg,0.006466511978407214
stco(4),0.006013187518179585
stco(5),0.005608315164855159
stsz(5)_Sample Size,0.005552708187073695
sbgp(2),0.0044545396305194366
stss,0.00416738970291027
tref(3),0.0038609390292063672
tkhd(4)_Track ID,0.0038067232063477563
tkhd(5)_Height,0.0036762066602613118
stsz(3)_Sample Size,0.0033224079476290914
sgpd(4),0.0032436235664786662
csgm,0.0029070539771491343
stco(3),0.0026914878421463685
stsz(2)_Sample Size,0.0020638942142427903
elst_Media Time,0.0018922938910025686
mdhd(5)_Language Code,0.0014199841148822593
tkhd(5)_Width,0.001338674606237917
elst(5)_Media Time,0.0012942426321811574
mvhd_Next Track ID,0.0012723462739496435
sgpd,0.0011564820877531063
hdlr(10),0.0010810651052987333
tkhd(5)_Track ID,0.0009759102232170182
elst(2)_Media Time,0.0007730259383142222
gmhd(2),0.0007378934771716042
tagc,0.0006210191876785902
tagc(3),0.0004838263696076285
mdhd(5)_Create Time,0.00045937670834509704
mdhd(3)_Timescale,0.00044086668027358257
tkhd(5)_Create Time,0.0003789137465234518
vmhd(2),0.00027774169254477725
tkhd(2)_Height,0.0002365624727984822
tapt(2),0.00015464037414383974
stss(2),0.00013225971430495616
csgm(2),0.00013122254561162412
sbgp(3),0.0001100510299465511
elst(5)_Rate,0.00010972131943911678
sbgp,9.484137339092177e-05
hdlr(3),8.670452780920776e-05
ctts(2),7.477845638644225e-05
meta(2),7.471585233774677e-05
elst(3)_Media Time,5.964057912213677e-05
tkhd(2)_Width,5.350343225596438e-05
sgpd(5),4.492363059060129e-05
tkhd(3)_Track ID,2.4563298145430997e-05
mdhd(2)_Timescale,2.040388096967209e-05
cslg(2),1.548443110630555e-05
tkhd_Height,1.1982466371325622e-05
hdlr,5.548765074265082e-06
dinf(5),2.906257786369657e-06
type,0.0
stsz(4)_Sample Count,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
