Feature,Importance
stsz(4)_Sample Size,1.677245342726335
sgpd(3),1.3595819946679304
tref(2),1.301383698317744
tref,1.3011331524985132
GOP,1.0436195286883372
stsz(2)_Sample Size,0.7039227419313383
sbgp,0.6932249128943786
sgpd,0.6932226727577745
stsz(3)_Sample Size,0.653027398526509
stco(4),0.6438700181263345
sdtp,0.6187982377189302
cslg,0.6011059633074809
stco(3),0.5791262329426493
ctts,0.5765253268387732
sgpd(2),0.5352005521011013
stsz(5)_Sample Size,0.480312211930827
meta(2),0.2993637910548222
csgm(2),0.20244925401564545
stco,0.1806501880884973
tkhd(4)_Modify Time,0.17449560684614726
tkhd(4)_Height,0.17449560684614726
mdhd(4)_Create Time,0.17449560684614726
mdhd(4)_Modify Time,0.17449560684614726
tkhd(4)_Create Time,0.17449560684614726
tkhd(4)_Width,0.17449560684614726
tkhd(3)_Modify Time,0.15367296498078692
tkhd(3)_Height,0.15367296498078692
tkhd(3)_Width,0.15367296498078692
tkhd(3)_Create Time,0.15367296498078692
tkhd(3)_Track ID,0.15367296498078692
mdhd(3)_Modify Time,0.15367296498078692
mdhd(3)_Create Time,0.15367296498078692
tkhd(2)_Width,0.14092956195514197
tkhd(2)_Height,0.14092956195514197
elst(2)_Media Time,0.1362950505173171
tkhd(5)_Track ID,0.13244324357571727
tkhd(5)_Create Time,0.13244324357571727
tkhd(5)_Modify Time,0.13244324357571727
tkhd(5)_Width,0.13244324357571727
mdhd(5)_Create Time,0.13244324357571727
mdhd(5)_Modify Time,0.13244324357571727
tkhd(5)_Height,0.13244324357571727
stss,0.12254292475143948
stco(5),0.12244556726683974
sgpd(4),0.1215731679473465
sdtp(2),0.11451663534461398
vmhd(2),0.11451663534461397
stco(2),0.1129256499518778
tkhd(4)_Track ID,0.1050162356319881
mdhd(4)_Timescale,0.1050162356319881
hdlr(7),0.1050162356319881
hdlr(8),0.1050162356319881
dinf(4),0.1050162356319881
mdhd(4)_Language Code,0.1050162356319881
hdlr,0.10009433385341292
tkhd_Height,0.09802439228964793
tkhd_Width,0.09802439228964793
ftyp_Compatible Brands,0.09516993997471507
ftyp_Major Brand,0.0895632086415676
csgm,0.08793259736006583
dinf(3),0.08419359376662698
hdlr(6),0.08419359376662698
mdhd(3)_Language Code,0.08419359376662698
gmhd,0.08419359376662698
elst(3)_Rate,0.08419359376662698
hdlr(5),0.0834468071322503
mvhd_Next Track ID,0.08272227475045989
sequence,0.08261677408560512
sbgp(2),0.07801114605595103
tkhd(2)_Modify Time,0.07766432867109783
tkhd(2)_Create Time,0.07766432867109783
mdhd(2)_Create Time,0.07766432867109783
mdhd(2)_Modify Time,0.07766432867109783
mvhd_Timescale,0.07607526833391066
name(2),0.07447264257166683
free,0.07447264257166546
tgas,0.07068738421369701
elst(3)_Media Time,0.06877201773104084
gmhd(3),0.06296387236155562
tref(3),0.06296387236155562
dinf(5),0.06296387236155562
hdlr(9),0.06296387236155562
mdhd(5)_Timescale,0.06296387236155544
hdlr(10),0.06296387236155544
mdhd(5)_Language Code,0.06296387236155544
cslg(2),0.04503726413045469
ctts(2),0.04503726413045469
sbgp(3),0.04503726413045469
sgpd(5),0.04503726413045469
tagc(2),0.045037264130454606
tagc,0.045037264130454044
tagc(3),0.045037264130454044
tapt(2),0.045037264130452864
stss(2),0.045037264130452614
mdhd(2)_Language Code,0.04254889441941154
meta,0.03586267561835787
elst(4)_Media Time,0.03262211683137454
hdlr(3),0.029435842287730034
hdlr(4),0.02942799889946015
tapt,0.028276993112889035
hdlr(2),0.028276925784081308
ftyp_Minor Version,0.02684394962326767
elst(5)_Rate,0.024322665799068968
elst(5)_Media Time,0.024322665799068843
tkhd_Create Time,0.01863411546276028
mdhd_Modify Time,0.01863411546276028
mdhd_Create Time,0.01863411546276028
tkhd_Modify Time,0.01863411546276028
elst(4)_Rate,0.017729697471362882
mdhd_Timescale,0.014946000836138408
gmhd(2),0.009500399712626156
elst(2)_Rate,0.007125365822466136
mdhd_Language Code,0.0059742927091981915
elst_Rate,0.004993271357506139
mvhd_Create Time,0.004863332705360985
mvhd_Modify Time,0.004863332705360985
mdhd(3)_Timescale,0.002996209103955381
mdhd(2)_Timescale,0.0029246833526360696
dinf(2),0.0021320944649600177
smhd,0.0021320944649600177
tkhd(2)_Track ID,0.0021320944649600177
elst_Media Time,0.0013052355096449847
type,0.0
SDLN,0.0
soct,0.0
0,0.0
free(2),0.0
skip,0.0
wide,0.0
smme,0.0
tkhd_Track ID,0.0
vhdr,0.0
mvhd_Preferred Volume,0.0
co64(2)_Entry Count,0.0
auth,0.0
elst(2)_'Duration,0.0
smrd,0.0
mvhd_Preferred Rate,0.0
smta,0.0
mvhd_Duration,0.0
co64_Entry Count,0.0
elst_'Duration,0.0
stsz(5)_Sample Count,0.0
stsc(2)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stts(3)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
stsz_Sample Count,0.0
tkhd(4)_Duration,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
stsc(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
stts(5)_Entry Count,0.0
mdhd(3)_Duration,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
mdhd(2)_Duration,0.0
tkhd(3)_Duration,0.0
SPS,0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsz_Sample Size,0.0
stsc_Entry Count,0.0
stts_Entry Count,0.0
stsd_Entry Count,0.0
stsd(5)_Entry Count,0.0
mdhd(5)_Duration,0.0
tkhd_Duration,0.0
elst_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
elst_Entries,0.0
tkhd(5)_Duration,0.0
stsz(2)_Sample Count,0.0
stsz(4)_Sample Count,0.0
mdhd_Duration,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
vmhd,0.0
dinf,0.0
mdhd(4)_Duration,0.0
stsz(3)_Sample Count,0.0
