Feature,Importance
stsz(4)_Sample Size,1.7751737835441352
tref(2),1.185743040478408
tref,1.1854781294745071
GOP,1.074716416857921
sgpd(3),0.9927280339839671
stsz(3)_Sample Size,0.7499393895494746
stco(4),0.6501524666256296
stco(3),0.6232957076713467
stsz(2)_Sample Size,0.5534839658194647
SPS_frame_crop_left_offset,0.5114264751395072
SPS_frame_crop_top_offset,0.5114264751395072
SPS_vui.matrix_coefficients,0.509644834888083
SPS_vui.colour_primaries,0.5023286363814787
sbgp,0.46611246281428054
sgpd,0.4661103087842873
stsz(5)_Sample Size,0.4479568128498765
csgm(2),0.39668438646251686
SPS_vui.video_full_range_flag,0.3360085750740952
sbgp(2),0.33532478920310743
SPS_frame_crop_right_offset,0.32028118711419024
sgpd(4),0.2977110280886237
SPS_frame_cropping_flag,0.28705150185314016
csgm,0.2756018193084174
stco,0.19964528551969457
meta(2),0.19023606665820697
tkhd(2)_Height,0.1696973701750662
tkhd(2)_Width,0.1696973701750662
mdhd(5)_Language Code,0.16527552205484802
hdlr(9),0.16527552205484702
gmhd(3),0.16527552205484702
dinf(5),0.16527552205484702
tref(3),0.16527552205484702
hdlr(10),0.16527552205484627
mdhd(5)_Timescale,0.16527552205484627
stss,0.1518463365089457
stco(5),0.15112302590519947
tkhd(5)_Modify Time,0.14608237040088434
tkhd(5)_Create Time,0.14608237040088434
tkhd(5)_Track ID,0.14608237040088434
mdhd(5)_Modify Time,0.14608237040088434
mdhd(5)_Create Time,0.14608237040088434
tkhd(5)_Width,0.1460823704008828
tkhd(5)_Height,0.1460823704008828
mdhd(4)_Language Code,0.1431579943899479
mdhd(4)_Timescale,0.1431579943899479
hdlr(8),0.1431579943899479
hdlr(7),0.14315799438994786
dinf(4),0.14315799438994786
tkhd(4)_Track ID,0.14315799438994742
tagc(2),0.14027566233414762
tagc,0.14027566233414696
sbgp(3),0.14027566233414696
sgpd(5),0.14027566233414696
tagc(3),0.14027566233414696
tapt(2),0.14027566233414696
stss(2),0.14027566233414673
ctts(2),0.14027566233414643
cslg(2),0.14027566233414643
mdhd(4)_Create Time,0.12396484273598482
tkhd(4)_Create Time,0.12396484273598482
tkhd(4)_Height,0.12396484273598429
mdhd(4)_Modify Time,0.12396484273598429
tkhd(4)_Width,0.12396484273598429
tkhd(4)_Modify Time,0.12396484273598429
sdtp(2),0.1210825106801841
vmhd(2),0.1210825106801841
stco(2),0.11737450504759045
gmhd,0.10895797155628342
hdlr(6),0.10895797155628308
mdhd(3)_Language Code,0.10895797155628308
elst(3)_Rate,0.10895797155628228
dinf(3),0.10895797155628228
SPS_pic_height_in_map_units_minus1,0.10848202691254247
hdlr(5),0.10816836749255318
