Feature,Importance
tref,0.10477832664993311
mdhd(4)_Timescale,0.065247545016787
elst(4)_Media Time,0.06458943089032669
mdhd(4)_Create Time,0.04714864234453013
hdlr(8),0.04652160697894191
dinf(4),0.045447619430109006
stsz(4)_Sample Size,0.04366494276459008
tref(2),0.04122004793528303
elst(4)_Rate,0.03224931359603298
mdhd(4)_Language Code,0.03154674959680045
hdlr(6),0.03115317119640629
hdlr(7),0.030658752887020527
tkhd(4)_Height,0.03013248376931691
stsz(3)_Sample Size,0.023647729079647135
sgpd(3),0.02359067616769226
mdhd(5)_Modify Time,0.019265170755085267
dinf(5),0.01820437221751873
tkhd(4)_Track ID,0.01790530124085975
tkhd(5)_Width,0.016760331698372002
tkhd(4)_Create Time,0.015745836979908796
mvhd_Next Track ID,0.015629674676524687
sequence,0.015551255598767457
tkhd(4)_Width,0.015516398817560567
gmhd(2),0.014900952496979415
sbgp(2),0.014371585738026776
meta(2),0.014357176763828396
mdhd(4)_Modify Time,0.014346713866348015
tkhd(4)_Modify Time,0.013649785618059693
sgpd(4),0.012891146014579058
sgpd(2),0.012764999383495956
stco(4),0.0077179954780936325
stco(5),0.007178847073924795
ctts,0.006824299640951497
stco,0.006561998003626467
stsz(2)_Sample Size,0.0060909140263365
cslg,0.006089899808979148
stco(2),0.005385265254187682
sdtp,0.005071454293001244
sgpd,0.0049815020079476986
stss,0.004251671666632146
GOP,0.004132791338356764
hdlr(9),0.004004869569570771
elst(2)_Media Time,0.003991864980986786
csgm,0.0038183108483390783
stco(3),0.003708544504509044
stsz(5)_Sample Size,0.003682809469805156
tkhd(5)_Track ID,0.0027962436996955015
gmhd(3),0.002642301382062899
tref(3),0.002056986819889376
mdhd(5)_Language Code,0.002030106515582989
mdhd(5)_Create Time,0.0019750599834366463
elst(5)_Media Time,0.0018649162363977806
csgm(2),0.0018269252973340843
mdhd(3)_Timescale,0.0015559411301658238
hdlr(10),0.0011533501498366269
tkhd(5)_Height,0.0010067032566486278
mdhd(5)_Timescale,0.0007537135296871028
hdlr(3),0.0005321388227496592
tkhd(5)_Modify Time,0.0005169646388439122
tkhd(3)_Track ID,0.00045865009371609853
tkhd(5)_Create Time,0.0004487573876906937
vmhd(2),0.0002555513084223675
tkhd(2)_Width,0.0002271859470642019
mdhd(2)_Timescale,0.00018524063877776325
tkhd_Width,0.00017993041936691464
hdlr(5),0.00017511554959409616
sgpd(5),0.0001130605222057799
elst(5)_Rate,8.22854122377052e-05
sbgp,6.480576357135525e-05
cslg(2),6.231192420312712e-05
tkhd(2)_Height,5.2119974472910425e-05
tagc(3),2.544685268246639e-05
elst(3)_Media Time,3.764676110898589e-06
sdtp(2),3.6439329720811188e-06
stsd(4)_Entry Count,0.0
tagc,0.0
tagc(2),0.0
sbgp(3),0.0
elst_'Duration,0.0
free,0.0
co64_Entry Count,0.0
stts(4)_Entry Count,0.0
auth,0.0
tgas,0.0
vhdr,0.0
smme,0.0
skip,0.0
0,0.0
free(2),0.0
soct,0.0
elst(2)_'Duration,0.0
type,0.0
stsc(4)_Entry Count,0.0
mdhd(5)_Duration,0.0
SDLN,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Count,0.0
co64(2)_Entry Count,0.0
tkhd(5)_Duration,0.0
smta,0.0
tapt(2),0.0
ctts(2),0.0
stss(2),0.0
name(2),0.0
stsz(4)_Sample Count,0.0
smrd,0.0
ftyp_Major Brand,0.0
mdhd(4)_Duration,0.0
mdhd_Create Time,0.0
mdhd_Timescale,0.0
mdhd_Duration,0.0
mdhd_Language Code,0.0
hdlr,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
mdhd_Modify Time,0.0
elst_Rate,0.0
elst(2)_Entry Count,0.0
elst_Media Time,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Timescale,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
tkhd_Track ID,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Height,0.0
elst_Entry Count,0.0
elst_Entries,0.0
tkhd(2)_Duration,0.0
elst(2)_Entries,0.0
elst(4)_Entries,0.0
tkhd(3)_Width,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
gmhd,0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
ftyp_Minor Version,0.0
tkhd(4)_Duration,0.0
elst(4)_Entry Count,0.0
tkhd(3)_Height,0.0
tkhd(3)_Duration,0.0
elst(2)_Rate,0.0
tkhd(3)_Modify Time,0.0
mdhd(2)_Create Time,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Duration,0.0
mdhd(2)_Language Code,0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
meta,0.0
SPS,0.0
tapt,0.0
tkhd(3)_Create Time,0.0
stsz(3)_Sample Count,0.0
