Feature,Importance
elst(2)_Rate,2.3266494085924108
mvhd_Timescale,2.100936392654354
tref(2),1.8292884313061308
ftyp_Compatible Brands,1.6353685625518655
elst(2)_Media Time,1.5624133258385504
mdhd(2)_Timescale,1.4458379267965082
sequence,1.37741417734302
soct,1.344649363270611
tkhd_Height,1.2597934069581702
tkhd_Width,1.2597934069581702
stsz(2)_Sample Size,1.2432701050634996
meta,1.2193123222188211
cslg,1.166538245462603
elst_Rate,1.1432160564158373
sgpd(2),1.1046552002765204
stsz(3)_Sample Size,1.0861331071948774
sdtp,1.079731703479161
sgpd(3),1.0150332017706352
dinf,0.9885748790150377
stsz_Sample Size,0.988574879015037
tkhd_Track ID,0.988574879015037
ftyp_Minor Version,0.9838498926182262
free,0.9715325725006511
sbgp,0.9125548746395361
sgpd,0.9125524460040718
elst_Media Time,0.8824653494991292
auth,0.8718933960289112
stsz(5)_Sample Size,0.8606872252637157
vhdr,0.839831760016573
tkhd(2)_Height,0.8299536427020366
tkhd(2)_Width,0.8299536427020366
hdlr,0.7860176381892173
stco(5),0.7467385534156489
stss,0.7323005435692276
ftyp_Major Brand,0.7256979329821606
hdlr(2),0.6637356570147833
meta(2),0.6292718821050968
tapt,0.6175279304283023
sgpd(4),0.5868560062660562
csgm,0.5839768154330227
stsz(4)_Sample Size,0.5626444131581148
ctts,0.5215810220606747
mdhd_Language Code,0.5165238296414867
SDLN,0.49105305542569944
csgm(2),0.49094642923132237
tref,0.4475433157794327
tkhd(2)_Modify Time,0.44293446197076997
mdhd(2)_Modify Time,0.44293446197076997
type,0.44283315979941423
smrd,0.428084420749788
tkhd(2)_Track ID,0.39422863124998647
smhd,0.39422863124998647
dinf(2),0.39422863124998625
stco(4),0.3927596541867655
sbgp(2),0.39044054657362853
mvhd_Modify Time,0.3848766411473066
smta,0.3802051766265892
stco(2),0.37575427532986144
mdhd(2)_Create Time,0.3715935318109406
tkhd(2)_Create Time,0.3715935318109406
mvhd_Create Time,0.31353571098747635
skip,0.2944146012459704
smme,0.29441460124597013
mdhd_Modify Time,0.2730177495841016
tkhd_Modify Time,0.2730177495841016
name(2),0.26143140556257216
mdhd(4)_Modify Time,0.24308628140130406
tkhd(4)_Width,0.24308628140130406
tkhd(4)_Height,0.24308628140130406
tkhd(4)_Modify Time,0.24308628140130406
tkhd(4)_Create Time,0.24308628140130406
mdhd(4)_Create Time,0.24308628140130406
stco,0.23483455828882593
GOP,0.23345435697307848
mdhd(2)_Language Code,0.21791680795748136
tkhd_Create Time,0.20167681942427204
mdhd_Create Time,0.20167681942427204
mdhd_Timescale,0.19143599775210748
stco(3),0.18321071941008396
dinf(4),0.1801176467253925
hdlr(7),0.1801176467253925
hdlr(8),0.1801176467253923
mdhd(4)_Language Code,0.1801176467253923
mdhd(4)_Timescale,0.1801176467253923
tkhd(4)_Track ID,0.1801176467253923
elst(4)_Rate,0.17422953250385284
elst(4)_Media Time,0.1681468508403025
tkhd(3)_Height,0.1449342346593153
tkhd(3)_Modify Time,0.1449342346593153
tkhd(3)_Create Time,0.1449342346593153
tkhd(3)_Track ID,0.1449342346593153
mdhd(3)_Modify Time,0.1449342346593153
tkhd(3)_Width,0.1449342346593153
mdhd(3)_Create Time,0.1449342346593153
tkhd(5)_Create Time,0.1378287517541002
tkhd(5)_Modify Time,0.1378287517541002
tkhd(5)_Width,0.1378287517541002
tkhd(5)_Height,0.1378287517541002
tkhd(5)_Track ID,0.1378287517541002
mdhd(5)_Create Time,0.1378287517541002
mdhd(5)_Modify Time,0.1378287517541002
mvhd_Next Track ID,0.13767589409474149
sdtp(2),0.09857976768205742
vmhd(2),0.09857976768205694
vmhd,0.0915532331494453
mdhd(3)_Language Code,0.08196559998340347
hdlr(6),0.08196559998340347
elst(3)_Rate,0.08196559998340333
dinf(3),0.08196559998340333
gmhd,0.08196559998340333
gmhd(2),0.0815378790433355
hdlr(5),0.08132274095507651
elst(3)_Media Time,0.0749106604285038
dinf(5),0.07486011707818879
tref(3),0.07486011707818879
gmhd(3),0.07486011707818879
hdlr(9),0.07486011707818879
mdhd(5)_Language Code,0.0748601170781884
hdlr(10),0.0748601170781884
mdhd(5)_Timescale,0.0748601170781884
elst(5)_Media Time,0.06897200285664878
elst(5)_Rate,0.0689720028566486
tgas,0.0645102247262504
hdlr(4),0.03879845631581093
hdlr(3),0.03875311772209474
stss(2),0.03561113300614578
ctts(2),0.03561113300614555
cslg(2),0.03561113300614555
sgpd(5),0.03561113300614555
sbgp(3),0.03561113300614555
tagc,0.03561113300614543
tagc(3),0.03561113300614543
tapt(2),0.03561113300614515
tagc(2),0.035611133006145115
mdhd(3)_Timescale,0.006909687928695709
elst(3)_Entries,0.0
stsc(3)_Entry Count,0.0
wide,0.0
0,0.0
mvhd_Duration,0.0
stts(3)_Entry Count,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
elst(2)_'Duration,0.0
tkhd_Duration,0.0
stsd(3)_Entry Count,0.0
elst_'Duration,0.0
free(2),0.0
mdhd(3)_Duration,0.0
mdhd_Duration,0.0
elst_Entry Count,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
elst_Entries,0.0
tkhd(3)_Duration,0.0
stsz(4)_Sample Count,0.0
elst(4)_Entry Count,0.0
tkhd(5)_Duration,0.0
stsc(4)_Entry Count,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
stts(4)_Entry Count,0.0
elst(3)_Entry Count,0.0
stsd(4)_Entry Count,0.0
mdhd(4)_Duration,0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
mdhd(5)_Duration,0.0
stsc(2)_Entry Count,0.0
elst(4)_Entries,0.0
stsz(2)_Sample Count,0.0
stsd_Entry Count,0.0
SPS,0.0
