Feature,Importance
elst(2)_Media Time,0.06096774376925373
tref,0.05691128887776742
SPS_level_idc,0.04161875811866271
elst(2)_Rate,0.04032925449728522
tkhd(4)_Width,0.03333860538856102
hdlr(7),0.029685412031098334
SPS_vui.log2_max_mv_length_horizontal,0.025630941064218614
tref(2),0.025450750065332643
sbgp,0.023058482542042187
SPS_frame_crop_right_offset,0.021724482460954316
sgpd,0.020345747873781003
mdhd(4)_Create Time,0.01912861794559443
tkhd(3)_Modify Time,0.01722213329636719
auth,0.01710828764586478
SPS_log2_max_frame_num_minus4,0.015695928425492868
SPS_log2_max_pic_order_cnt_lsb_minus4,0.015602965332444967
smrd,0.015144306699151244
mdhd(4)_Timescale,0.014433781700078821
SPS_pic_width_in_mbs_minus1,0.01420962684618659
mdhd(2)_Timescale,0.014070817676650154
mvhd_Next Track ID,0.013864269822211554
mdhd(5)_Language Code,0.013818282935257838
ftyp_Major Brand,0.012776925432224317
mdhd_Language Code,0.012699485958588221
tkhd_Height,0.012636308937220364
elst(4)_Media Time,0.012564055771010985
gmhd(2),0.012449632106118887
tkhd(4)_Create Time,0.012411426943774893
SDLN,0.011603445737878207
SPS_vui.max_bytes_per_pic_denom,0.011253027461567571
mdhd(4)_Language Code,0.011036972940433059
SPS_pic_order_cnt_type,0.01012820101841888
tkhd(2)_Create Time,0.010111982277955033
tkhd(4)_Height,0.009530142056451734
SPS_vui.video_format,0.00876764278938057
tkhd(5)_Modify Time,0.008405895398770229
SPS_vui.max_dec_frame_buffering,0.007820976331563912
tkhd(4)_Track ID,0.0075929653974146204
hdlr(8),0.00711016609522955
mdhd(3)_Timescale,0.0068672098390052195
elst(3)_Rate,0.006757443034973075
tkhd_Create Time,0.0065153406154264204
mvhd_Modify Time,0.0063649422219157654
tkhd(3)_Create Time,0.006350925351988286
SPS_vui.num_reorder_frames,0.006316346691621637
SPS_frame_crop_left_offset,0.006237668762505512
mdhd(2)_Language Code,0.005850588060833352
tkhd_Width,0.005649714610527493
meta(2),0.00554871211479941
hdlr(5),0.0055475838800125325
mdhd(3)_Modify Time,0.005523315371388943
SPS_frame_crop_bottom_offset,0.00549643943701918
elst_Media Time,0.005484329199683075
tkhd(3)_Track ID,0.005429046832296404
mdhd_Timescale,0.005309840500610964
ftyp_Compatible Brands,0.005140405191252869
ftyp_Minor Version,0.005130901204286147
SPS_bit_depth_luma_minus8,0.005118090729793954
tkhd(2)_Width,0.004906840155815213
stco(2),0.004635456433919553
SPS_pic_height_in_map_units_minus1,0.004461187936788786
mdhd_Create Time,0.0043419653809290484
sgpd(2),0.00418674125943588
stco,0.0041234053465042395
SPS_vui.log2_max_mv_length_vertical,0.004073764992047667
stsz(2)_Sample Size,0.004001917162392517
SPS_vui.max_bits_per_mb_denom,0.003996591534141133
elst_Rate,0.003941630548712253
hdlr,0.0036771148165984997
mvhd_Timescale,0.003552229161900974
dinf,0.0035278266482827603
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.003462981878768673
SPS_frame_crop_top_offset,0.003428927611542596
SPS_vui.colour_primaries,0.0034142547005996853
stsz_Sample Size,0.0033554365482719854
stsz(3)_Sample Size,0.0032272331964119344
free,0.0030951394638245133
ctts,0.003024511254461032
tkhd(4)_Modify Time,0.0029309357787106138
tkhd_Modify Time,0.002908505521995444
sdtp,0.002874493904673844
SPS_frame_cropping_flag,0.002869486949210795
vmhd,0.002817560822470793
SPS_gaps_in_frame_num_value_allowed_flag,0.002777433019107902
sgpd(3),0.0027737307530010307
SPS_bit_depth_chroma_minus8,0.0026734379376317564
dinf(2),0.002585484488388572
vhdr,0.002299978318492038
tkhd_Track ID,0.0022114638948283953
SPS_constraint_set1_flag,0.002148276552346479
hdlr(3),0.002064326971130974
mvhd_Create Time,0.0020439871161598076
SPS_vui.video_signal_type_present_flag,0.00202974417407003
SPS_seq_parameter_set_id,0.0019907942212418124
sbgp(2),0.0019503569369760533
tkhd(2)_Height,0.0018757770283370579
stco(5),0.0018713633109201805
stss,0.0018166288228113647
stco(3),0.0017773588385616788
SPS_vui.video_full_range_flag,0.0017303972552446761
SPS_vui.num_units_in_tick,0.001716171159433549
SPS_constraint_set4_flag,0.0016683277843216205
smta,0.00152874406122825
SPS_vui.bitstream_restriction_flag,0.0014829488187391936
SPS_vui.fixed_frame_rate_flag,0.0013919739336247757
mdhd(2)_Modify Time,0.0013868095213226356
SPS_vui.matrix_coefficients,0.0012638533761028033
SPS_vui.chroma_loc_info_present_flag,0.0012350413263767397
soct,0.0011734704141382467
gmhd(3),0.0011159301332210251
SPS_qpprime_y_zero_transform_bypass_flag,0.001115564526927707
SPS_vui.vcl_hrd_parameters_present_flag,0.0010745936635319655
SPS_vui.pic_struct_present_flag,0.001001245933612873
SPS_vui.transfer_characteristics,0.0009977778158969705
stsz(4)_Sample Size,0.0009612440830911644
SPS_num_ref_frames,0.000957673398301967
hdlr(9),0.0008573372537658358
stco(4),0.0008480866796238532
SPS_chroma_format_idc,0.0008204668925130381
dinf(4),0.0006889249844411946
skip,0.000670765455623791
SPS_profile_idc,0.0006594208461448975
stsz(5)_Sample Size,0.0006516576496347412
meta,0.0006278534797883496
SPS_constraint_set0_flag,0.0006150551730212915
SPS_direct_8x8_inference_flag,0.0006081218888401394
mdhd(5)_Create Time,0.0005660076667235836
SPS_vui.overscan_info_present_flag,0.0005427386865007794
elst(5)_Media Time,0.0005010484291187525
SPS_vui.nal_hrd_parameters_present_flag,0.00048486278031524164
SPS_vui.colour_description_present_flag,0.000427468272221394
hdlr(10),0.00037704578444009465
tkhd(5)_Height,0.0003342086471112217
SPS_vui.timing_info_present_flag,0.0003254259073074737
dinf(3),0.00032061611690352237
mdhd(5)_Modify Time,0.00031600863698680944
cslg,0.0002964900672632783
elst(4)_Rate,0.00026750739109949513
SPS_constraint_set2_flag,0.00026351583285024913
tkhd(5)_Track ID,0.00021908049119757415
csgm(2),0.00021004399057432787
