Feature,Importance
stco,438
stco(2),416
stco(5),189
stss,125
SPS_pic_width_in_mbs_minus1,116
SPS_vui.video_format,101
SPS_vui.log2_max_mv_length_horizontal,88
tref(2),82
stco(4),61
mvhd_Timescale,60
tref,59
SPS_vui.colour_primaries,57
SPS_frame_crop_right_offset,55
stco(3),51
GOP,50
sgpd(3),48
SPS_level_idc,42
ftyp_Major Brand,42
tkhd_Width,42
elst_Media Time,37
mvhd_Next Track ID,33
auth,33
SPS_log2_max_pic_order_cnt_lsb_minus4,32
elst(2)_Rate,31
ftyp_Minor Version,31
stsz(3)_Sample Size,30
SPS_profile_idc,29
stsz(4)_Sample Size,25
smta,23
elst(2)_Media Time,23
hdlr,21
meta,20
SPS_pic_height_in_map_units_minus1,20
SPS_frame_cropping_flag,18
stsz(5)_Sample Size,18
mdhd_Timescale,18
SPS_vui.bitstream_restriction_flag,17
SPS_pic_order_cnt_type,16
stsz(2)_Sample Size,16
mdhd(2)_Timescale,16
tkhd_Track ID,15
SPS_vui.video_full_range_flag,14
SPS_vui.max_bytes_per_pic_denom,14
ftyp_Compatible Brands,14
sgpd(2),12
sdtp,11
SPS_constraint_set0_flag,9
elst_Rate,8
SPS_vui.matrix_coefficients,8
SPS_vui.transfer_characteristics,8
free,6
tkhd(5)_Track ID,5
mdhd(2)_Language Code,5
hdlr(2),4
elst(3)_Rate,4
SDLN,3
tkhd(2)_Width,3
SPS_log2_max_frame_num_minus4,3
SPS_chroma_format_idc,3
SPS_frame_crop_bottom_offset,3
sgpd,2
sbgp(2),2
csgm,2
SPS_vui.aspect_ratio_idc,2
SPS_vui.video_signal_type_present_flag,2
mdhd_Language Code,2
smrd,2
cslg,2
tref(3),1
tkhd_Create Time,1
SPS_vui_parameters_present_flag,1
SPS_vui.aspect_ratio_info_present_flag,1
ctts,1
tkhd(2)_Track ID,1
mvhd_Modify Time,1
vmhd,1
csgm(2),1
elst(3)_Media Time,1
stsz(5)_Sample Count,0
meta(2),0
stsc(5)_Entry Count,0
mvhd_Create Time,0
elst_Entries,0
stts(5)_Entry Count,0
elst(5)_Entry Count,0
dinf(4),0
stsd(4)_Entry Count,0
stts(4)_Entry Count,0
stsc(4)_Entry Count,0
stsz(4)_Sample Count,0
tkhd(5)_Create Time,0
tkhd(5)_Modify Time,0
tkhd(5)_Duration,0
tkhd(5)_Width,0
tkhd(5)_Height,0
elst(5)_Entries,0
stsd(5)_Entry Count,0
elst(5)_Media Time,0
elst(5)_Rate,0
mdhd(5)_Create Time,0
mdhd(5)_Modify Time,0
mdhd(5)_Timescale,0
mdhd(5)_Language Code,0
hdlr(9),0
gmhd(3),0
hdlr(10),0
dinf(5),0
mdhd(5)_Duration,0
tagc,0
wide,0
SPS_hrd.bit_rate_scale,0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0
SPS_hrd.cpb_removal_delay_length_minus1,0
SPS_hrd.dpb_output_delay_length_minus1,0
SPS_hrd.time_offset_length,0
SPS_vui.low_delay_hrd_flag,0
SPS_vui.chroma_sample_loc_type_top_field,0
SPS_vui.chroma_sample_loc_type_bottom_field,0
free(2),0
co64_Entry Count,0
co64(2)_Entry Count,0
name(2),0
type,0
elst_'Duration,0
elst(2)_'Duration,0
vhdr,0
smme,0
skip,0
0,0
soct,0
SPS_hrd.cpb_size_scale,0
SPS_hrd.cpb_cnt_minus1,0
sgpd(4),0
tgas,0
tapt(2),0
vmhd(2),0
ctts(2),0
cslg(2),0
stss(2),0
sdtp(2),0
gmhd(2),0
tagc(2),0
tagc(3),0
sgpd(5),0
sbgp(3),0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0
SPS_vui.max_bits_per_mb_denom,0
SPS_vui.log2_max_mv_length_vertical,0
SPS_vui.num_reorder_frames,0
SPS_vui.max_dec_frame_buffering,0
SPS_vui.num_units_in_tick,0
SPS_vui.time_scale,0
SPS_vui.fixed_frame_rate_flag,0
hdlr(8),0
stsc(3)_Entry Count,0
hdlr(7),0
SPS_constraint_set3_flag,0
stsd(2)_Entry Count,0
stts(2)_Entry Count,0
stsc(2)_Entry Count,0
stsz(2)_Sample Count,0
sbgp,0
SPS,0
tapt,0
SPS_constraint_set1_flag,0
SPS_constraint_set2_flag,0
SPS_constraint_set4_flag,0
hdlr(4),0
SPS_constraint_set5_flag,0
tkhd_Duration,0
SPS_seq_parameter_set_id,0
SPS_bit_depth_luma_minus8,0
SPS_bit_depth_chroma_minus8,0
SPS_qpprime_y_zero_transform_bypass_flag,0
SPS_seq_scaling_matrix_present_flag,0
SPS_num_ref_frames,0
SPS_gaps_in_frame_num_value_allowed_flag,0
dinf(2),0
smhd,0
SPS_frame_mbs_only_flag,0
stsz_Sample Count,0
mdhd_Create Time,0
mdhd_Modify Time,0
mdhd_Duration,0
dinf,0
stsd_Entry Count,0
stts_Entry Count,0
elst_Entry Count,0
stsc_Entry Count,0
stsz_Sample Size,0
tkhd_Height,0
hdlr(3),0
tkhd(2)_Create Time,0
tkhd(2)_Modify Time,0
tkhd(2)_Duration,0
tkhd(2)_Height,0
elst(2)_Entry Count,0
elst(2)_Entries,0
mdhd(2)_Create Time,0
mdhd(2)_Modify Time,0
mdhd(2)_Duration,0
tkhd_Modify Time,0
SPS_direct_8x8_inference_flag,0
mdhd(4)_Language Code,0
tkhd(4)_Width,0
dinf(3),0
stsd(3)_Entry Count,0
stts(3)_Entry Count,0
stsz(3)_Sample Count,0
mvhd_Preferred Rate,0
tkhd(4)_Track ID,0
tkhd(4)_Create Time,0
tkhd(4)_Modify Time,0
tkhd(4)_Duration,0
tkhd(4)_Height,0
gmhd,0
elst(4)_Entry Count,0
elst(4)_Entries,0
elst(4)_Media Time,0
elst(4)_Rate,0
mvhd_Duration,0
mdhd(4)_Create Time,0
mdhd(4)_Modify Time,0
mdhd(4)_Timescale,0
mdhd(4)_Duration,0
hdlr(6),0
hdlr(5),0
SPS_frame_crop_left_offset,0
tkhd(3)_Create Time,0
SPS_frame_crop_top_offset,0
SPS_vui.overscan_info_present_flag,0
SPS_vui.colour_description_present_flag,0
SPS_vui.chroma_loc_info_present_flag,0
SPS_vui.timing_info_present_flag,0
SPS_vui.nal_hrd_parameters_present_flag,0
SPS_vui.vcl_hrd_parameters_present_flag,0
SPS_vui.pic_struct_present_flag,0
tkhd(3)_Track ID,0
tkhd(3)_Modify Time,0
mdhd(3)_Language Code,0
tkhd(3)_Duration,0
tkhd(3)_Width,0
tkhd(3)_Height,0
elst(3)_Entry Count,0
elst(3)_Entries,0
mvhd_Preferred Volume,0
