Feature,Importance
stco(2),10101
stco,9078
SPS_pic_width_in_mbs_minus1,7441
GOP,5287
SPS_pic_height_in_map_units_minus1,4726
mdhd_Timescale,4299
elst_Media Time,3483
SPS_level_idc,3387
mvhd_Timescale,2495
elst(2)_Media Time,2403
hdlr,2224
sdtp,2143
SPS_vui.colour_primaries,1820
stco(4),1684
SPS_frame_crop_bottom_offset,1638
auth,1628
SPS_vui.matrix_coefficients,1612
mdhd(2)_Timescale,1542
ftyp_Major Brand,1535
SPS_profile_idc,1437
tkhd_Width,1245
meta,1229
stco(5),1216
SPS_frame_crop_right_offset,1096
mvhd_Next Track ID,1088
SPS_vui_parameters_present_flag,1071
cslg,998
SPS_frame_cropping_flag,985
SPS_pic_order_cnt_type,952
ftyp_Minor Version,925
hdlr(2),881
SPS_log2_max_pic_order_cnt_lsb_minus4,864
stss,829
SPS_vui.video_format,762
SPS_vui.chroma_sample_loc_type_top_field,691
sbgp(2),674
mdhd_Language Code,632
ctts,614
sgpd,512
SPS_vui.log2_max_mv_length_horizontal,509
SPS_vui.video_full_range_flag,492
SPS_num_ref_frames,489
mvhd_Create Time,469
stsz(4)_Sample Size,468
SPS_vui.time_scale,441
vmhd,429
sgpd(3),398
mdhd(2)_Language Code,374
SPS_chroma_format_idc,370
stsz(3)_Sample Size,364
elst_Rate,342
SPS_vui.max_bytes_per_pic_denom,311
hdlr(3),306
SPS_vui.video_signal_type_present_flag,302
smta,293
SPS_frame_crop_left_offset,290
sgpd(2),277
SPS_vui.transfer_characteristics,268
SPS_constraint_set0_flag,245
free,221
stsz(2)_Sample Size,218
SPS_vui.fixed_frame_rate_flag,212
tkhd_Create Time,202
stco(3),200
tref,179
meta(2),169
stsz(5)_Sample Size,166
csgm(2),160
tkhd(2)_Width,158
SPS_vui.aspect_ratio_info_present_flag,139
tkhd_Track ID,138
SPS_log2_max_frame_num_minus4,137
SDLN,133
name(2),121
SPS_vui.aspect_ratio_idc,105
SPS_vui.num_units_in_tick,92
SPS_vui.timing_info_present_flag,88
SPS_seq_scaling_matrix_present_flag,88
SPS_vui.bitstream_restriction_flag,80
ftyp_Compatible Brands,69
SPS_vui.num_reorder_frames,54
SPS_vui.chroma_loc_info_present_flag,53
tkhd(2)_Create Time,51
gmhd(2),50
elst(3)_Media Time,49
elst(2)_Rate,44
tapt,44
tkhd(5)_Track ID,41
csgm,26
tkhd(4)_Track ID,20
hdlr(4),17
tref(2),17
SPS_vui.log2_max_mv_length_vertical,13
mvhd_Modify Time,12
elst(4)_Media Time,12
smrd,12
elst(5)_Media Time,9
tkhd(2)_Track ID,9
SPS_constraint_set1_flag,8
sbgp,7
SPS_vui.nal_hrd_parameters_present_flag,6
mdhd(3)_Timescale,5
tkhd(4)_Create Time,5
tkhd(3)_Track ID,3
SPS_vui.motion_vectors_over_pic_boundaries_flag,2
elst(3)_Rate,2
tkhd(2)_Modify Time,1
tkhd_Modify Time,1
hdlr(9),0
0,0
dinf(5),0
hdlr(10),0
stsd(5)_Entry Count,0
stts(5)_Entry Count,0
gmhd(3),0
mdhd(5)_Timescale,0
mdhd(5)_Language Code,0
mdhd(5)_Duration,0
skip,0
mdhd(5)_Modify Time,0
mdhd(5)_Create Time,0
tref(3),0
elst(5)_Rate,0
elst(5)_Entries,0
elst(5)_Entry Count,0
sbgp(3),0
tkhd(5)_Height,0
tkhd(5)_Width,0
tkhd(5)_Duration,0
tkhd(5)_Modify Time,0
tkhd(5)_Create Time,0
stsc(5)_Entry Count,0
tgas,0
stsz(5)_Sample Count,0
stss(2),0
tagc(3),0
tagc(2),0
SPS_hrd.cpb_cnt_minus1,0
SPS_hrd.bit_rate_scale,0
SPS_hrd.cpb_size_scale,0
tagc,0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0
sgpd(5),0
SPS_hrd.cpb_removal_delay_length_minus1,0
sdtp(2),0
SPS_hrd.dpb_output_delay_length_minus1,0
SPS_hrd.time_offset_length,0
SPS_vui.low_delay_hrd_flag,0
SPS_vui.max_dec_frame_buffering,0
smme,0
SPS_vui.chroma_sample_loc_type_bottom_field,0
cslg(2),0
ctts(2),0
vmhd(2),0
tapt(2),0
sgpd(4),0
free(2),0
co64_Entry Count,0
co64(2)_Entry Count,0
type,0
elst_'Duration,0
elst(2)_'Duration,0
vhdr,0
SPS_vui.max_bits_per_mb_denom,0
mdhd(3)_Modify Time,0
stsz(4)_Sample Count,0
stsz(2)_Sample Count,0
mdhd(2)_Create Time,0
mdhd(2)_Modify Time,0
mdhd(2)_Duration,0
smhd,0
dinf(2),0
stsd(2)_Entry Count,0
stts(2)_Entry Count,0
stsc(2)_Entry Count,0
SPS,0
SPS_frame_mbs_only_flag,0
SPS_constraint_set2_flag,0
SPS_constraint_set3_flag,0
SPS_constraint_set4_flag,0
SPS_constraint_set5_flag,0
SPS_seq_parameter_set_id,0
SPS_bit_depth_luma_minus8,0
SPS_bit_depth_chroma_minus8,0
SPS_qpprime_y_zero_transform_bypass_flag,0
elst(2)_Entries,0
elst(2)_Entry Count,0
tkhd(2)_Height,0
tkhd(2)_Duration,0
wide,0
mvhd_Duration,0
mvhd_Preferred Rate,0
mvhd_Preferred Volume,0
tkhd_Duration,0
tkhd_Height,0
elst_Entry Count,0
elst_Entries,0
mdhd_Create Time,0
mdhd_Modify Time,0
mdhd_Duration,0
dinf,0
stsd_Entry Count,0
stts_Entry Count,0
stsc_Entry Count,0
stsz_Sample Size,0
stsz_Sample Count,0
SPS_gaps_in_frame_num_value_allowed_flag,0
SPS_direct_8x8_inference_flag,0
stsc(4)_Entry Count,0
mdhd(4)_Create Time,0
stsz(3)_Sample Count,0
tkhd(4)_Modify Time,0
tkhd(4)_Duration,0
tkhd(4)_Width,0
tkhd(4)_Height,0
elst(4)_Entry Count,0
elst(4)_Entries,0
elst(4)_Rate,0
mdhd(4)_Modify Time,0
SPS_frame_crop_top_offset,0
mdhd(4)_Timescale,0
mdhd(4)_Duration,0
mdhd(4)_Language Code,0
hdlr(7),0
hdlr(8),0
dinf(4),0
stsd(4)_Entry Count,0
stts(4)_Entry Count,0
stsc(3)_Entry Count,0
stts(3)_Entry Count,0
stsd(3)_Entry Count,0
dinf(3),0
SPS_vui.overscan_info_present_flag,0
SPS_vui.colour_description_present_flag,0
SPS_vui.vcl_hrd_parameters_present_flag,0
SPS_vui.pic_struct_present_flag,0
tkhd(3)_Create Time,0
tkhd(3)_Modify Time,0
tkhd(3)_Duration,0
tkhd(3)_Width,0
tkhd(3)_Height,0
elst(3)_Entry Count,0
elst(3)_Entries,0
mdhd(3)_Create Time,0
mdhd(3)_Duration,0
mdhd(3)_Language Code,0
hdlr(5),0
gmhd,0
hdlr(6),0
soct,0
