Feature,Importance
auth,6147
stco(2),4682
GOP,4640
stco,4428
ftyp_Major Brand,3971
mdhd(2)_Timescale,3436
mdhd_Timescale,3361
free,3341
elst(2)_Media Time,2789
meta,2741
elst_Media Time,2165
sdtp,2136
mvhd_Timescale,1962
ftyp_Minor Version,1490
smta,1330
hdlr,1247
vmhd,1050
tkhd_Width,940
mvhd_Create Time,915
stss,871
ctts,832
elst_Rate,731
mdhd(2)_Language Code,627
stco(4),584
tkhd_Create Time,525
cslg,498
hdlr(3),480
SDLN,473
mvhd_Next Track ID,439
mdhd_Language Code,419
hdlr(2),405
meta(2),382
stsz(4)_Sample Size,329
sgpd(2),328
name(2),317
tkhd_Modify Time,275
sgpd,268
tkhd(2)_Create Time,255
stco(5),238
tkhd_Track ID,199
sgpd(3),189
tkhd(2)_Width,182
ftyp_Compatible Brands,160
csgm(2),156
stsz(3)_Sample Size,116
tref,105
tapt,101
gmhd(2),89
stsz(5)_Sample Size,76
smrd,71
tkhd(4)_Track ID,53
stsz(2)_Sample Size,43
stco(3),36
elst(5)_Media Time,32
tkhd(4)_Create Time,23
tkhd(5)_Track ID,20
sbgp(2),9
elst(3)_Media Time,9
elst(4)_Media Time,9
elst(2)_Rate,9
tref(2),4
vhdr,3
csgm,2
mvhd_Modify Time,1
tkhd(3)_Track ID,1
gmhd(3),0
stts(5)_Entry Count,0
stsd(5)_Entry Count,0
stsc(5)_Entry Count,0
stsz(5)_Sample Count,0
dinf(5),0
hdlr(10),0
mdhd(5)_Duration,0
hdlr(9),0
mdhd(5)_Language Code,0
mdhd_Modify Time,0
mdhd(5)_Timescale,0
mdhd(5)_Modify Time,0
mdhd(5)_Create Time,0
tref(3),0
elst(5)_Rate,0
elst(5)_Entries,0
elst(5)_Entry Count,0
tkhd(5)_Height,0
tkhd(5)_Width,0
tkhd(5)_Duration,0
tkhd(5)_Modify Time,0
mdhd_Duration,0
elst(2)_Entries,0
mdhd_Create Time,0
sbgp(3),0
0,0
skip,0
smme,0
wide,0
elst(2)_'Duration,0
elst_'Duration,0
type,0
co64(2)_Entry Count,0
co64_Entry Count,0
mvhd_Duration,0
mvhd_Preferred Rate,0
free(2),0
mvhd_Preferred Volume,0
sgpd(5),0
elst_Entries,0
tagc(3),0
tagc(2),0
tagc,0
sdtp(2),0
stss(2),0
cslg(2),0
ctts(2),0
vmhd(2),0
tapt(2),0
sgpd(4),0
tkhd_Duration,0
tkhd_Height,0
elst_Entry Count,0
tkhd(5)_Create Time,0
dinf(4),0
dinf,0
stsz_Sample Count,0
mdhd(3)_Create Time,0
elst(3)_Rate,0
elst(3)_Entries,0
elst(3)_Entry Count,0
tkhd(3)_Height,0
tkhd(3)_Width,0
tkhd(3)_Duration,0
tkhd(3)_Modify Time,0
tkhd(3)_Create Time,0
stsc_Entry Count,0
SPS,0
stsz_Sample Size,0
sbgp,0
tkhd(2)_Track ID,0
mdhd(3)_Timescale,0
stsz(2)_Sample Count,0
stsc(2)_Entry Count,0
stts(2)_Entry Count,0
stsd(2)_Entry Count,0
dinf(2),0
hdlr(4),0
smhd,0
tkhd(2)_Modify Time,0
tkhd(2)_Duration,0
mdhd(2)_Duration,0
tkhd(2)_Height,0
mdhd(2)_Modify Time,0
mdhd(2)_Create Time,0
mdhd(3)_Modify Time,0
mdhd(3)_Duration,0
stsz(4)_Sample Count,0
elst(4)_Entries,0
stsd_Entry Count,0
stsc(4)_Entry Count,0
stts(4)_Entry Count,0
stsd(4)_Entry Count,0
elst(2)_Entry Count,0
hdlr(8),0
hdlr(7),0
mdhd(4)_Language Code,0
mdhd(4)_Duration,0
mdhd(4)_Timescale,0
mdhd(4)_Modify Time,0
mdhd(4)_Create Time,0
elst(4)_Rate,0
elst(4)_Entry Count,0
mdhd(3)_Language Code,0
tkhd(4)_Height,0
tkhd(4)_Width,0
tkhd(4)_Duration,0
tkhd(4)_Modify Time,0
stsz(3)_Sample Count,0
stts_Entry Count,0
stsc(3)_Entry Count,0
stts(3)_Entry Count,0
stsd(3)_Entry Count,0
dinf(3),0
hdlr(6),0
gmhd,0
hdlr(5),0
soct,0
