Feature,Importance
GOP,2.996462792931193
meta,2.0685193980388763
mdhd_Timescale,1.4158506607034924
ctts,1.0761620748034022
stss,1.0243105507813417
elst(2)_Media Time,0.8944247915427547
mdhd(2)_Timescale,0.7090782466146447
sgpd,0.6112705193953736
sbgp,0.6112704839480099
mvhd_Create Time,0.4098167928191786
tkhd_Create Time,0.4095104815677169
mdhd_Create Time,0.4095104815677169
tkhd(2)_Create Time,0.4092428082683826
mdhd(2)_Create Time,0.4092428082683826
mvhd_Modify Time,0.38192260253519
mdhd_Modify Time,0.3816162912837298
tkhd_Modify Time,0.3816162912837298
mdhd(2)_Modify Time,0.3813486179843931
tkhd(2)_Modify Time,0.3813486179843931
mvhd_Timescale,0.3014036248102367
mdhd(2)_Language Code,0.2686939594219364
mdhd_Language Code,0.2667289561274247
ftyp_Minor Version,0.25971583076293664
ftyp_Major Brand,0.24389833644676473
ftyp_Compatible Brands,0.18066922687673356
hdlr(4),0.1570314020596029
hdlr(3),0.1570217443005319
tapt,0.14009388196936196
tkhd_Height,0.13632166464925277
tkhd_Width,0.13632166464925277
tkhd(2)_Width,0.13604746714662416
tkhd(2)_Height,0.13604746714662416
sdtp,0.07730791431516257
free,0.07505370979059604
elst(2)_Rate,0.07227403545616283
elst_Rate,0.05294493863680741
cslg,0.04891548714882278
SDLN,0.04854074425221403
stco,0.046320514860795546
stco(2),0.03836068966820154
smrd,0.03762609331067568
sgpd(2),0.028288037211129772
smta,0.027540567267714786
sbgp(2),0.025953489169114573
elst_Media Time,0.024593431753636295
meta(2),0.016846727417737913
hdlr,0.01493471473828432
hdlr(2),0.011281539057740679
tagc(2),0.01084023236994967
ctts(2),0.010840232369949602
tapt(2),0.010840232369949602
cslg(2),0.010840232369949602
sbgp(3),0.010840232369949602
sgpd(5),0.010840232369949602
tagc,0.010840232369949573
tagc(3),0.010840232369949573
stss(2),0.01084023236994954
tkhd(2)_Track ID,0.010566034867320806
dinf(2),0.010566034867320806
smhd,0.010566034867320806
stsz(2)_Sample Size,0.010334579933342563
stsz_Sample Size,0.009629748972578964
tkhd_Track ID,0.009629748972578964
dinf,0.009629748972578936
soct,0.009501463753909289
csgm(2),0.009347799241666873
sgpd(4),0.009291021671364473
csgm,0.009287324846986142
mdhd(3)_Create Time,0.00928012254132718
tkhd(3)_Track ID,0.00928012254132718
