Feature,Importance
mdhd_Timescale,0.050774784206740406
auth,0.04743494134054056
elst_Media Time,0.04126796259458643
mdhd(2)_Timescale,0.033662715266326214
GOP,0.032088781483764095
mdhd_Language Code,0.03125816449915339
sequence,0.030307972126331344
ctts,0.0291062408691726
mvhd_Timescale,0.02635389176686301
sgpd,0.025292390319664137
elst(2)_Media Time,0.024324841172655695
stco(2),0.02388966531924357
meta,0.02364627626743537
mdhd(2)_Language Code,0.023191429748396653
tkhd_Height,0.02083190470965128
tkhd_Width,0.02018263288072941
elst_Rate,0.019872013966910438
ftyp_Major Brand,0.018207699064377983
stco,0.017438524837589377
free,0.016581346134442745
tkhd(2)_Create Time,0.015813282501632296
type,0.01563081929314933
smta,0.015461877554826024
sbgp,0.01439320684085894
tkhd_Create Time,0.014228822116692026
hdlr,0.013519293827879924
mdhd(2)_Modify Time,0.013482630460043372
mdhd(2)_Create Time,0.012940874934326036
tkhd_Modify Time,0.01247077224122799
tkhd(2)_Width,0.012207541843698079
mdhd_Create Time,0.01106429931134587
tkhd(2)_Height,0.011016133394150923
cslg,0.010794281629182443
sgpd(2),0.01047597596111032
tkhd(2)_Modify Time,0.010457365856410989
mdhd_Modify Time,0.01031650608464977
ftyp_Compatible Brands,0.01026185736170264
SDLN,0.010175884300303067
ftyp_Minor Version,0.010026445125679491
name(2),0.009361702122887793
sdtp,0.008913761086101151
smrd,0.008760334838142798
stss,0.008589683784409146
elst(2)_Rate,0.008249753863640777
mvhd_Create Time,0.008229636042394168
hdlr(2),0.00781939992713695
sbgp(2),0.007518741913379299
mvhd_Modify Time,0.007432097466242037
stsz_Sample Size,0.007326836191524534
smme,0.006726542383454175
vhdr,0.006683749742052917
vmhd,0.006311331639916194
skip,0.006311294745733862
tkhd(3)_Width,0.005027820093363746
csgm,0.004687799398537464
sgpd(3),0.004601894705335932
hdlr(3),0.00456649517430179
mdhd(3)_Create Time,0.004334188122143951
dinf,0.004115685081362307
tkhd(3)_Modify Time,0.0038242278340423937
tkhd_Track ID,0.00367127189415082
stsz(2)_Sample Size,0.0036650654233393574
dinf(2),0.0034427848115036706
tkhd(3)_Track ID,0.0031871767488922107
mdhd(3)_Language Code,0.003044104708999505
mvhd_Next Track ID,0.00302532501786236
stsz(3)_Sample Size,0.00279456795178876
smhd,0.002751631713431973
csgm(2),0.002548519047954937
stco(4),0.0023055018732981132
elst(3)_Rate,0.0022660072308109715
gmhd,0.0021749493452372735
tkhd(4)_Track ID,0.0019094374571262667
mdhd(4)_Modify Time,0.0019059926853595578
sgpd(4),0.0018728951309993109
elst(4)_Rate,0.001614320713240501
elst(3)_Media Time,0.0015725223345283612
hdlr(4),0.0015582813587931438
hdlr(5),0.0015276597573578934
tapt,0.0015012493571839442
stco(3),0.0014854883207852639
tref,0.0013807527735982467
tkhd(5)_Width,0.0012884421325566372
stco(5),0.0010378334543943997
dinf(3),0.0009958344228352756
mdhd(3)_Modify Time,0.0008897129999685665
mdhd(3)_Timescale,0.0008829360951658244
stsz(5)_Sample Size,0.0008766951126243671
tkhd(4)_Height,0.0008490632602276927
meta(2),0.0007888904610083799
tkhd(2)_Track ID,0.0007802130180190527
tkhd(5)_Create Time,0.0007740579761959078
mdhd(4)_Timescale,0.0007661428315903893
hdlr(6),0.0007328194747184474
tkhd(4)_Modify Time,0.000704456029417652
tkhd(3)_Create Time,0.0006958625588219164
gmhd(3),0.0006861414544069826
hdlr(9),0.0006547178714443592
elst(5)_Rate,0.0006302118446449285
soct,0.0005714795119320427
hdlr(10),0.0004730477642123114
mdhd(5)_Modify Time,0.00047038671364108247
tref(2),0.00044684656219186894
stsz(4)_Sample Size,0.00037630403937268257
tkhd(5)_Height,0.0003215532721734459
tref(3),0.00027910287579781745
tkhd(5)_Track ID,0.0002728048449980844
dinf(5),0.00024208896094590507
hdlr(7),0.00021960627322863032
vmhd(2),0.00021959764685018152
mdhd(5)_Timescale,0.00020579963499074442
elst(4)_Media Time,0.0001638960263557846
tkhd(4)_Width,0.0001573390641996008
mdhd(5)_Create Time,0.00011374696189697763
mdhd(4)_Language Code,8.875200259383067e-05
ctts(2),8.836922112508029e-05
mdhd(4)_Create Time,8.239026833301033e-05
mdhd(5)_Language Code,5.473254260073745e-05
tagc(2),4.588573113693671e-05
tkhd(4)_Create Time,8.704263059615425e-06
elst(5)_Media Time,7.63676770687988e-06
sdtp(2),5.3670268259096116e-06
stss(2),0.0
tapt(2),0.0
tagc,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
cslg(2),0.0
stts_Entry Count,0.0
tagc(3),0.0
sgpd(5),0.0
0,0.0
wide,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
tkhd_Duration,0.0
elst_Entry Count,0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
elst_Entries,0.0
mdhd_Duration,0.0
stsd_Entry Count,0.0
free(2),0.0
mdhd(2)_Duration,0.0
sbgp(3),0.0
elst(2)_Entries,0.0
stsd(5)_Entry Count,0.0
stsd(2)_Entry Count,0.0
tkhd(5)_Modify Time,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
stsz(3)_Sample Count,0.0
