Feature,Importance
csgm(2),0.08367158
ftyp_Major Brand,0.0529205
tkhd_Track ID,0.04259447
name(2),0.041975517
type,0.040637072
vmhd,0.04023129
mvhd_Next Track ID,0.03628947
hdlr(3),0.034173265
gmhd(2),0.030710328
sgpd(2),0.028513385
mdhd_Timescale,0.027888337
stco(4),0.02758974
elst_Media Time,0.02751106
auth,0.026903104
sgpd(3),0.0257384
cslg,0.025711775
mdhd_Language Code,0.025611052
mdhd(2)_Language Code,0.025077576
tkhd_Create Time,0.025021244
sequence,0.02444615
sdtp,0.022061659
smta,0.019739404
tkhd_Width,0.019319935
elst(2)_Media Time,0.018873477
ftyp_Minor Version,0.018784052
stsz(4)_Sample Size,0.016272442
mvhd_Timescale,0.015896143
elst_Rate,0.015838312
mvhd_Create Time,0.014204239
GOP,0.012825575
stco(3),0.011930219
tkhd(2)_Width,0.011689647
mdhd(2)_Timescale,0.0114348
mdhd(3)_Timescale,0.011233626
meta,0.011158285
hdlr,0.010412707
sgpd,0.010389345
sbgp(2),0.008817207
free,0.00834583
meta(2),0.0074667623
ctts,0.0072834655
stco(2),0.003229398
stsz(2)_Sample Size,0.0031940746
csgm,0.0028723585
SDLN,0.0026134911
stss,0.0023716455
stco,0.0020231283
elst(5)_Media Time,0.0015534312
stco(5),0.0012451826
elst(4)_Media Time,0.0012135241
stsz(5)_Sample Size,0.0010487884
stsz(3)_Sample Size,0.0007835102
tkhd(2)_Create Time,0.0006590684
tkhd(5)_Track ID,0.0
elst(5)_Rate,0.0
elst(2)_'Duration,0.0
elst(5)_Entries,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Width,0.0
elst_'Duration,0.0
tkhd(5)_Height,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Create Time,0.0
sdtp(2),0.0
mdhd(5)_Create Time,0.0
vhdr,0.0
smme,0.0
stsz(4)_Sample Count,0.0
skip,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
dinf(4),0.0
hdlr(8),0.0
0,0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
tref(3),0.0
gmhd(3),0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Timescale,0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
tagc,0.0
sgpd(4),0.0
tagc(2),0.0
tagc(3),0.0
sgpd(5),0.0
sbgp(3),0.0
mdhd(4)_Timescale,0.0
free(2),0.0
stsz(5)_Sample Count,0.0
smrd,0.0
stsc(5)_Entry Count,0.0
co64_Entry Count,0.0
stts(5)_Entry Count,0.0
co64(2)_Entry Count,0.0
stsd(5)_Entry Count,0.0
dinf(5),0.0
hdlr(10),0.0
hdlr(9),0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
mdhd(4)_Duration,0.0
stsc(3)_Entry Count,0.0
mdhd(4)_Modify Time,0.0
elst(2)_Entries,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Height,0.0
elst(2)_Entry Count,0.0
elst(2)_Rate,0.0
mdhd(4)_Create Time,0.0
mdhd(2)_Create Time,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Duration,0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stsc_Entry Count,0.0
stts_Entry Count,0.0
stsd_Entry Count,0.0
dinf,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Modify Time,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Height,0.0
elst_Entry Count,0.0
elst_Entries,0.0
mdhd_Create Time,0.0
mdhd_Modify Time,0.0
mdhd_Duration,0.0
hdlr(2),0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
hdlr(5),0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Rate,0.0
tref(2),0.0
gmhd,0.0
mdhd(3)_Language Code,0.0
sbgp,0.0
mdhd(3)_Duration,0.0
SPS,0.0
tapt,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
tref,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
soct,0.0
