Feature,Importance
SPS_vui.aspect_ratio_info_present_flag,0.08610612
csgm(2),0.0675706
SPS_vui.aspect_ratio_idc,0.03876181
SPS_vui.fixed_frame_rate_flag,0.038266312
name(2),0.027805477
vmhd,0.027745279
type,0.027683878
tkhd_Track ID,0.027630482
SPS_vui.chroma_sample_loc_type_top_field,0.0247708
SPS_vui.time_scale,0.024619343
SPS_log2_max_pic_order_cnt_lsb_minus4,0.022664854
sgpd(2),0.021176321
hdlr(3),0.021002488
auth,0.020775756
sgpd,0.018873865
SPS_profile_idc,0.018225787
SPS_num_ref_frames,0.017810281
SPS_vui.max_bytes_per_pic_denom,0.017584413
SPS_vui_parameters_present_flag,0.016412102
gmhd(2),0.016058844
mvhd_Create Time,0.015860347
mdhd_Timescale,0.015810952
mvhd_Timescale,0.01561105
sequence,0.015568656
stco(4),0.01478986
mdhd_Language Code,0.014651621
mvhd_Next Track ID,0.014614043
SPS_vui.log2_max_mv_length_horizontal,0.014465886
SPS_vui.transfer_characteristics,0.013698394
SPS_pic_width_in_mbs_minus1,0.013663821
ftyp_Minor Version,0.0127268
SPS_vui.colour_primaries,0.012456101
elst(2)_Media Time,0.012421462
elst_Media Time,0.01203656
ftyp_Major Brand,0.011686479
SPS_constraint_set0_flag,0.011083358
SPS_vui.video_format,0.010943937
mdhd(2)_Timescale,0.010564177
elst_Rate,0.010504828
sgpd(3),0.010496936
tkhd_Width,0.010226334
SPS_pic_height_in_map_units_minus1,0.009494602
stsz(4)_Sample Size,0.0091484375
ctts,0.009094267
SPS_level_idc,0.0088985525
stsz(2)_Sample Size,0.008796929
mdhd(2)_Language Code,0.008413465
cslg,0.008249691
stco(3),0.007856107
sdtp,0.0073394016
smta,0.0072952914
mdhd(3)_Timescale,0.006841689
meta,0.006767231
SPS_frame_crop_bottom_offset,0.0067001334
hdlr,0.006316813
meta(2),0.005514359
SPS_frame_cropping_flag,0.0041571585
sbgp(2),0.0035316956
SPS_vui.bitstream_restriction_flag,0.002868514
tkhd_Create Time,0.0026123577
tref,0.002451896
SPS_frame_crop_left_offset,0.0019703072
tkhd(2)_Track ID,0.0019624196
csgm,0.0018081133
SPS_frame_crop_right_offset,0.0016044843
SPS_seq_scaling_matrix_present_flag,0.0010581358
stco,0.0009909394
stss,0.00081060827
stco(5),0.00064962887
stco(2),0.00054552325
stsz(5)_Sample Size,0.00043359227
SPS_vui.matrix_coefficients,0.0002762142
stsz(3)_Sample Size,0.00011500443
tkhd(5)_Track ID,0.0
tkhd(5)_Modify Time,0.0
hdlr(8),0.0
mdhd(4)_Duration,0.0
hdlr(7),0.0
stts(5)_Entry Count,0.0
tkhd(5)_Create Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Language Code,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Duration,0.0
stsd(5)_Entry Count,0.0
stts(4)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Media Time,0.0
elst(5)_Rate,0.0
stsc(4)_Entry Count,0.0
tref(3),0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
stsd(4)_Entry Count,0.0
mdhd(5)_Timescale,0.0
stsz(4)_Sample Count,0.0
dinf(4),0.0
tkhd(5)_Height,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Language Code,0.0
hdlr(9),0.0
gmhd(3),0.0
tkhd(5)_Width,0.0
dinf(5),0.0
hdlr(10),0.0
cslg(2),0.0
stsc(5)_Entry Count,0.0
SDLN,0.0
SPS_hrd.cpb_size_scale,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
SPS_hrd.time_offset_length,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
free(2),0.0
smrd,0.0
SPS_hrd.cpb_cnt_minus1,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
vhdr,0.0
smme,0.0
skip,0.0
0,0.0
SPS_hrd.bit_rate_scale,0.0
tgas,0.0
stsz(5)_Sample Count,0.0
tagc(2),0.0
sgpd(4),0.0
tapt(2),0.0
vmhd(2),0.0
ctts(2),0.0
mdhd(4)_Create Time,0.0
stss(2),0.0
sdtp(2),0.0
tagc,0.0
tagc(3),0.0
SPS_vui.num_units_in_tick,0.0
sgpd(5),0.0
sbgp(3),0.0
free,0.0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0
SPS_vui.max_bits_per_mb_denom,0.0
SPS_vui.log2_max_mv_length_vertical,0.0
SPS_vui.num_reorder_frames,0.0
SPS_vui.max_dec_frame_buffering,0.0
mdhd(4)_Modify Time,0.0
mdhd(3)_Modify Time,0.0
tref(2),0.0
stsd(2)_Entry Count,0.0
tkhd(2)_Height,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Duration,0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stts(2)_Entry Count,0.0
elst(4)_Rate,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
sbgp,0.0
SPS,0.0
tapt,0.0
SPS_constraint_set1_flag,0.0
SPS_constraint_set2_flag,0.0
SPS_constraint_set3_flag,0.0
SPS_constraint_set4_flag,0.0
SPS_constraint_set5_flag,0.0
tkhd(2)_Width,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Create Time,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Modify Time,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Height,0.0
elst_Entry Count,0.0
elst_Entries,0.0
mdhd_Create Time,0.0
mdhd_Modify Time,0.0
mdhd_Duration,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
SPS_seq_parameter_set_id,0.0
SPS_chroma_format_idc,0.0
SPS_bit_depth_luma_minus8,0.0
elst(3)_Entries,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(3)_Media Time,0.0
elst(3)_Entry Count,0.0
SPS_bit_depth_chroma_minus8,0.0
tkhd(3)_Height,0.0
SPS_qpprime_y_zero_transform_bypass_flag,0.0
SPS_log2_max_frame_num_minus4,0.0
