Feature,Importance
auth,5254
stco(2),5068
stco,4880
mdhd_Timescale,4401
sequence,4299
ftyp_Major Brand,2981
elst_Media Time,2715
mdhd(2)_Timescale,2652
sdtp,2479
SPS_vui.motion_vectors_over_pic_boundaries_flag,2256
elst(2)_Media Time,2055
smta,1968
ftyp_Minor Version,1712
mvhd_Timescale,1626
hdlr,1367
hdlr(2),1285
meta,1274
vmhd,1245
stss,1011
elst_Rate,936
tkhd_Width,866
ctts,826
mvhd_Create Time,794
hdlr(3),673
mdhd(2)_Language Code,628
stco(4),597
mvhd_Next Track ID,503
cslg,489
mdhd_Language Code,441
sgpd(2),409
SDLN,396
free,337
tkhd_Create Time,317
tkhd_Modify Time,306
ftyp_Compatible Brands,285
stsz(4)_Sample Size,275
sgpd(3),245
tkhd_Track ID,235
stco(5),218
sgpd,214
tkhd(2)_Width,178
name(2),161
csgm(2),148
meta(2),139
tkhd(2)_Create Time,117
tref,115
gmhd(2),93
sbgp(2),92
stsz(5)_Sample Size,74
tkhd(2)_Track ID,74
stsz(3)_Sample Size,62
elst(3)_Media Time,57
tapt,57
elst(2)_Rate,53
smrd,51
stsz(2)_Sample Size,44
stco(3),42
tkhd(4)_Track ID,41
elst(5)_Media Time,31
csgm,31
tkhd(5)_Track ID,22
tkhd(4)_Create Time,11
mvhd_Modify Time,3
elst(4)_Media Time,3
elst(3)_Rate,3
tref(2),1
vhdr,1
mdhd(5)_Modify Time,0
mdhd(5)_Duration,0
mdhd(5)_Create Time,0
mdhd(5)_Timescale,0
tref(3),0
tkhd(5)_Width,0
elst(5)_Rate,0
elst(5)_Entries,0
elst(5)_Entry Count,0
tkhd(5)_Height,0
hdlr(9),0
tkhd(5)_Duration,0
tkhd(5)_Modify Time,0
tkhd(5)_Create Time,0
stsz(4)_Sample Count,0
stsc(4)_Entry Count,0
mdhd(5)_Language Code,0
sgpd(4),0
gmhd(3),0
hdlr(10),0
0,0
skip,0
smme,0
elst(2)_'Duration,0
elst_'Duration,0
type,0
co64(2)_Entry Count,0
co64_Entry Count,0
free(2),0
tgas,0
sbgp(3),0
sgpd(5),0
tagc(3),0
tagc(2),0
tagc,0
sdtp(2),0
stss(2),0
cslg(2),0
ctts(2),0
vmhd(2),0
tapt(2),0
stsd(4)_Entry Count,0
stsz(5)_Sample Count,0
stsc(5)_Entry Count,0
stts(5)_Entry Count,0
stsd(5)_Entry Count,0
dinf(5),0
stts(4)_Entry Count,0
stsz(3)_Sample Count,0
dinf(4),0
mdhd(2)_Duration,0
tkhd(2)_Duration,0
tkhd(2)_Height,0
elst(2)_Entry Count,0
elst(2)_Entries,0
mdhd(2)_Create Time,0
mdhd(2)_Modify Time,0
smhd,0
stsz_Sample Count,0
hdlr(4),0
dinf(2),0
stsd(2)_Entry Count,0
stts(2)_Entry Count,0
stsc(2)_Entry Count,0
stsz(2)_Sample Count,0
tkhd(2)_Modify Time,0
stsz_Sample Size,0
hdlr(8),0
elst_Entry Count,0
wide,0
mvhd_Duration,0
mvhd_Preferred Rate,0
mvhd_Preferred Volume,0
tkhd_Duration,0
tkhd_Height,0
elst_Entries,0
stsc_Entry Count,0
mdhd_Create Time,0
mdhd_Modify Time,0
mdhd_Duration,0
dinf,0
stsd_Entry Count,0
stts_Entry Count,0
sbgp,0
SPS,0
tkhd(3)_Track ID,0
elst(4)_Entries,0
stsc(3)_Entry Count,0
tkhd(4)_Modify Time,0
tkhd(4)_Duration,0
tkhd(4)_Width,0
tkhd(4)_Height,0
elst(4)_Entry Count,0
elst(4)_Rate,0
tkhd(3)_Create Time,0
mdhd(4)_Create Time,0
mdhd(4)_Modify Time,0
mdhd(4)_Timescale,0
mdhd(4)_Duration,0
mdhd(4)_Language Code,0
hdlr(7),0
stts(3)_Entry Count,0
stsd(3)_Entry Count,0
dinf(3),0
hdlr(6),0
gmhd,0
hdlr(5),0
mdhd(3)_Language Code,0
mdhd(3)_Duration,0
mdhd(3)_Timescale,0
mdhd(3)_Modify Time,0
mdhd(3)_Create Time,0
elst(3)_Entries,0
elst(3)_Entry Count,0
tkhd(3)_Height,0
tkhd(3)_Width,0
tkhd(3)_Duration,0
tkhd(3)_Modify Time,0
soct,0
