Feature,Importance
mdhd_Timescale,0.05091985374326694
mdhd(2)_Timescale,0.044597756621179464
elst_Media Time,0.040667447595384265
auth,0.039907843373277
ctts,0.03539390714899786
elst(2)_Media Time,0.031224283789129458
stco(2),0.028612064895063082
mdhd_Language Code,0.025727487939378034
sequence,0.025618543429446423
meta,0.023401330745113937
mvhd_Timescale,0.021165995992081372
type,0.021074008634065514
mdhd(2)_Language Code,0.020954182910590008
stco,0.01945208657695683
tkhd_Height,0.0183035424408336
free,0.017443856457136555
ftyp_Major Brand,0.017063539495986692
sbgp,0.016834134676091097
tkhd_Width,0.016821805890939148
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.016706829888612273
mdhd_Create Time,0.016619785752787344
ftyp_Compatible Brands,0.016429072420159018
mdhd(2)_Create Time,0.014464016078462299
ftyp_Minor Version,0.014460838863083357
elst_Rate,0.014210520307396033
sgpd(2),0.013623447157895778
smta,0.012976890728245434
tkhd(2)_Width,0.012776757086455936
mvhd_Modify Time,0.012514327682577058
sdtp,0.012188474247159586
tkhd_Create Time,0.012050530339173509
tkhd(2)_Height,0.011967969431620772
tkhd(2)_Modify Time,0.011718283293349207
cslg,0.011239528477759535
mdhd_Modify Time,0.011235925315189183
stss,0.010730217725640425
tkhd_Modify Time,0.010692519518805859
smrd,0.010466025451870946
tkhd(2)_Create Time,0.01013920266805086
sgpd,0.010126915052956618
skip,0.009732480091136789
name(2),0.009406382788771567
vmhd,0.009028662094430427
hdlr(3),0.008527228284120475
hdlr(2),0.008277192518377004
sbgp(2),0.008236599727925648
vhdr,0.008115923849744777
hdlr,0.007461150979795813
csgm(2),0.007307683797504672
smme,0.007017952239183095
mvhd_Create Time,0.006921337609252863
mdhd(3)_Timescale,0.006764689917487753
tapt,0.006727047859241997
dinf,0.006663225781493923
hdlr(4),0.006230801494565457
SDLN,0.006182819626241595
mdhd(2)_Modify Time,0.005939140713591934
elst(2)_Rate,0.005173949113545225
stsz(2)_Sample Size,0.004904260606528019
dinf(3),0.0047548188975270874
tkhd(3)_Create Time,0.0046022482924857975
csgm,0.0044041441207277625
sgpd(3),0.003895895192106987
tkhd_Track ID,0.0038304016953557224
sgpd(4),0.003592102632495724
stsz_Sample Size,0.0034665179507186814
mdhd(3)_Language Code,0.0033483149813874668
mvhd_Next Track ID,0.003016709470056506
stsz(3)_Sample Size,0.0027840923084355316
gmhd,0.0026482554607363397
tkhd(2)_Track ID,0.002621745244475109
elst(3)_Rate,0.002443901879902287
tref,0.0023267565816317694
dinf(2),0.002320365427041814
tkhd(3)_Width,0.00197029219336883
meta(2),0.0018970869880500505
tkhd(3)_Height,0.0015508212473135474
stco(4),0.0015237294208766713
stco(5),0.001332306425299911
hdlr(5),0.001223165147736728
stsz(4)_Sample Size,0.001157621695768459
stco(3),0.0011479929239362552
elst(3)_Media Time,0.0011209348437476899
mdhd(3)_Modify Time,0.0011103223394795388
hdlr(7),0.0010439271159833428
stsz(5)_Sample Size,0.0010381999978820327
tkhd(4)_Height,0.0009155625284909783
dinf(5),0.000915409142833315
mdhd(5)_Language Code,0.0008750535358905811
tkhd(3)_Track ID,0.0008300833179406508
hdlr(9),0.0007392744800543832
hdlr(8),0.0007151740662179354
mdhd(4)_Modify Time,0.0006578341827010092
tkhd(4)_Width,0.000539184271131667
mdhd(4)_Create Time,0.0005332210519064055
tgas,0.0004894752254384683
gmhd(3),0.0004376662940192269
hdlr(10),0.0003912472204610119
elst(5)_Rate,0.0003764162869464531
tref(3),0.00035324180375412935
tkhd(5)_Width,0.0003323090338968572
gmhd(2),0.00031316017485895874
hdlr(6),0.0003048038491786496
tref(2),0.00029495477235395
mdhd(5)_Timescale,0.0002803306758204016
elst(5)_Media Time,0.00026983006535919775
tkhd(5)_Height,0.0002577904213343404
tkhd(5)_Track ID,0.00025671656073485887
soct,0.00025026541500787524
mdhd(5)_Create Time,0.00018914121643367476
dinf(4),0.00017729497465289036
mdhd(4)_Timescale,0.0001617910569854897
tagc,0.0001425114991029457
tkhd(4)_Track ID,0.00013278853628763575
tkhd(5)_Modify Time,0.00011708805982047205
mdhd(4)_Language Code,0.00010101182315172456
tkhd(5)_Create Time,9.691119291685242e-05
elst(4)_Rate,7.259562970401398e-05
mdhd(5)_Modify Time,4.2524267291723173e-05
tkhd(4)_Modify Time,3.1252466534863406e-05
cslg(2),2.9163743971408773e-05
tkhd(4)_Create Time,2.537163907569299e-05
elst(4)_Media Time,1.8408085679703618e-05
tkhd(3)_Modify Time,1.6665979028334396e-05
ctts(2),3.5260433963321984e-06
sbgp(3),0.0
stsz_Sample Count,0.0
sgpd(5),0.0
tagc(3),0.0
mdhd(4)_Duration,0.0
tagc(2),0.0
stts_Entry Count,0.0
sdtp(2),0.0
stss(2),0.0
vmhd(2),0.0
tapt(2),0.0
stsc_Entry Count,0.0
elst_Entries,0.0
free(2),0.0
stsd_Entry Count,0.0
mdhd_Duration,0.0
elst(2)_Entry Count,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
elst_Entry Count,0.0
tkhd_Duration,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
mvhd_Preferred Volume,0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
wide,0.0
0,0.0
tkhd(2)_Duration,0.0
stsz(2)_Sample Count,0.0
elst(2)_Entries,0.0
mdhd(5)_Duration,0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
elst(4)_Entries,0.0
stsz(4)_Sample Count,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Duration,0.0
tkhd(5)_Duration,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
mdhd(3)_Duration,0.0
mdhd(2)_Duration,0.0
mdhd(3)_Create Time,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Duration,0.0
stsd(5)_Entry Count,0.0
