Feature,Importance
SPS_vui.aspect_ratio_info_present_flag,0.0872004
csgm(2),0.06843002
SPS_vui.aspect_ratio_idc,0.03947058
SPS_vui.fixed_frame_rate_flag,0.038752463
name(2),0.028166827
vmhd,0.028089538
type,0.02805618
tkhd_Track ID,0.027961921
SPS_vui.chroma_sample_loc_type_top_field,0.025095237
SPS_vui.time_scale,0.024938377
SPS_log2_max_pic_order_cnt_lsb_minus4,0.02296098
sgpd(2),0.021451997
hdlr(3),0.021315902
auth,0.02108373
sgpd,0.019569635
SPS_profile_idc,0.018463587
SPS_vui.max_bytes_per_pic_denom,0.017885508
SPS_num_ref_frames,0.017850388
SPS_vui_parameters_present_flag,0.016599635
gmhd(2),0.016272595
mdhd_Timescale,0.016132249
mvhd_Timescale,0.015765978
mdhd_Language Code,0.015184223
stco(4),0.015020223
mvhd_Next Track ID,0.014840565
SPS_vui.log2_max_mv_length_horizontal,0.014655522
mvhd_Create Time,0.013966757
SPS_vui.transfer_characteristics,0.013872471
SPS_pic_width_in_mbs_minus1,0.013591638
ftyp_Minor Version,0.012888978
SPS_vui.colour_primaries,0.012745687
elst(2)_Media Time,0.012564365
mdhd(2)_Timescale,0.012438869
smta,0.012369764
elst_Media Time,0.012225128
ftyp_Major Brand,0.011843502
SPS_constraint_set0_flag,0.011265026
SPS_vui.video_format,0.011071756
elst_Rate,0.010636215
sgpd(3),0.0106306
SPS_pic_height_in_map_units_minus1,0.0096622
tkhd_Width,0.009287061
stsz(4)_Sample Size,0.009226376
ctts,0.009111039
SPS_level_idc,0.008997966
stsz(2)_Sample Size,0.008908725
mdhd(2)_Language Code,0.008520487
cslg,0.008372696
stco(3),0.007969307
sdtp,0.0074255727
mdhd(3)_Timescale,0.0069286884
meta,0.006854404
SPS_frame_crop_bottom_offset,0.0067698294
hdlr,0.0063766427
meta(2),0.004337124
SPS_frame_cropping_flag,0.0042099888
sbgp(2),0.0035606266
SPS_vui.bitstream_restriction_flag,0.002887856
tkhd_Create Time,0.0026487235
tref,0.002483129
tkhd(2)_Track ID,0.0019876834
SPS_frame_crop_left_offset,0.001987122
csgm,0.0018307103
SPS_frame_crop_right_offset,0.001597113
SPS_seq_scaling_matrix_present_flag,0.0010712998
stco,0.00082267367
stss,0.0008171487
stco(5),0.00066196796
stco(2),0.00052922824
stsz(5)_Sample Size,0.00043727743
SPS_vui.matrix_coefficients,0.00027776926
stsz(3)_Sample Size,0.00011653147
tkhd(5)_Duration,0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
tkhd(5)_Width,0.0
elst(5)_Entry Count,0.0
mdhd(4)_Timescale,0.0
stsz(4)_Sample Count,0.0
hdlr(8),0.0
tkhd(5)_Height,0.0
stts(5)_Entry Count,0.0
mdhd(4)_Duration,0.0
stts(4)_Entry Count,0.0
elst(5)_Rate,0.0
tkhd(5)_Track ID,0.0
mdhd(5)_Duration,0.0
tref(3),0.0
stsd(4)_Entry Count,0.0
mdhd(5)_Create Time,0.0
tkhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Timescale,0.0
dinf(4),0.0
mdhd(5)_Language Code,0.0
elst(5)_Media Time,0.0
hdlr(9),0.0
elst(5)_Entries,0.0
gmhd(3),0.0
tkhd(5)_Modify Time,0.0
hdlr(10),0.0
dinf(5),0.0
stsd(5)_Entry Count,0.0
stsc(4)_Entry Count,0.0
ctts(2),0.0
stsc(5)_Entry Count,0.0
SDLN,0.0
SPS_hrd.cpb_size_scale,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
SPS_hrd.time_offset_length,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
free(2),0.0
smrd,0.0
SPS_hrd.cpb_cnt_minus1,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
vhdr,0.0
smme,0.0
skip,0.0
0,0.0
SPS_hrd.bit_rate_scale,0.0
tgas,0.0
