Feature,Importance
mdhd_Timescale,0.10115705057461724
mdhd(2)_Timescale,0.06119914002268659
elst_Media Time,0.05902155280292092
auth,0.05867735953773427
sequence,0.04931488265703259
elst(2)_Media Time,0.04104231250933227
ctts,0.0361294531915141
elst_Rate,0.0333588785384285
meta,0.031766123947185185
tkhd(2)_Height,0.030132053697237954
mdhd_Language Code,0.029404885776917803
tkhd_Width,0.026232723509665302
type,0.025960995275119508
mdhd(2)_Language Code,0.024312922885051345
sgpd,0.024267628731350493
tkhd_Height,0.02422127991644009
tkhd(2)_Width,0.02210713585883379
mvhd_Timescale,0.021093888652414218
stco(2),0.02100797812456854
stco,0.02039395773562542
mdhd_Create Time,0.019978358433384587
sbgp,0.019441575714109247
smta,0.017356020837892373
free,0.01692029185906171
ftyp_Major Brand,0.01353799569261931
stss,0.013259130209296118
tkhd(2)_Create Time,0.012722055817041038
mdhd_Modify Time,0.011943523776706466
mvhd_Create Time,0.011847519185211808
mdhd(2)_Create Time,0.010820034454746748
soct,0.009962902549152206
ftyp_Minor Version,0.0087191313707295
ftyp_Compatible Brands,0.008162424347944185
tkhd(2)_Modify Time,0.008150801512338214
tref,0.007574001570331048
skip,0.007498940411885423
smme,0.007498884923085147
mdhd(2)_Modify Time,0.007468258947245879
mvhd_Modify Time,0.00730471210705367
tkhd_Create Time,0.006975966515680641
elst(2)_Rate,0.006924437268045638
vmhd,0.005730557114586179
tkhd_Modify Time,0.005404741922684221
hdlr,0.0031950639160688043
SDLN,0.0031660291860003504
hdlr(2),0.0029893163331735813
smrd,0.002887678705887115
meta(2),0.0008215422629766858
sgpd(2),0.0003947394687992641
sbgp(2),0.00033256631645273377
stsz(2)_Sample Size,0.0002085933251339789
mdhd(5)_Modify Time,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
stts_Entry Count,0.0
hdlr(9),0.0
gmhd(3),0.0
hdlr(10),0.0
mdhd(5)_Create Time,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
dinf(5),0.0
elst(5)_Entry Count,0.0
tref(3),0.0
tkhd(5)_Create Time,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Size,0.0
stsz(4)_Sample Count,0.0
stco(4),0.0
tkhd(5)_Track ID,0.0
tkhd(5)_Modify Time,0.0
elst(5)_Rate,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Width,0.0
tkhd(5)_Height,0.0
stsz(5)_Sample Size,0.0
elst(5)_Entries,0.0
elst(5)_Media Time,0.0
stsc(5)_Entry Count,0.0
csgm,0.0
stsz(5)_Sample Count,0.0
tagc(3),0.0
0,0.0
vhdr,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
wide,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
free(2),0.0
tgas,0.0
mvhd_Duration,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(2),0.0
stco(5),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
csgm(2),0.0
dinf(4),0.0
sgpd(3),0.0
cslg,0.0
mvhd_Preferred Rate,0.0
stsd(4)_Entry Count,0.0
mdhd(4)_Timescale,0.0
hdlr(8),0.0
tapt,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
tkhd_Track ID,0.0
mvhd_Next Track ID,0.0
mvhd_Preferred Volume,0.0
sdtp,0.0
dinf(2),0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
stsd(2)_Entry Count,0.0
hdlr(4),0.0
gmhd(2),0.0
elst(2)_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
dinf,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Duration,0.0
elst(2)_Entries,0.0
smhd,0.0
mdhd_Duration,0.0
elst_Entries,0.0
elst_Entry Count,0.0
mdhd(2)_Duration,0.0
tkhd_Duration,0.0
hdlr(3),0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(4)_Rate,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
tref(2),0.0
elst(3)_Rate,0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
stsd_Entry Count,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
hdlr(7),0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Track ID,0.0
stco(3),0.0
stsz(3)_Sample Size,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
dinf(3),0.0
hdlr(6),0.0
gmhd,0.0
hdlr(5),0.0
mdhd(3)_Language Code,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Create Time,0.0
stsz(3)_Sample Count,0.0
