Feature,Importance
sgpd(3),1.383728906553589
tref(2),1.1844726164420203
tref,1.1842828831309846
stsz(4)_Sample Size,0.9881915124509001
GOP,0.9268747655873812
stsz(3)_Sample Size,0.8451364975535199
sbgp,0.6798154307026075
sgpd,0.6798134775190142
stsz(2)_Sample Size,0.6277273828211044
stsz(5)_Sample Size,0.5796897523810793
cslg,0.5773723483604922
sdtp,0.5618719079345972
sgpd(2),0.5442571863654156
ctts,0.5439775412385247
stco(4),0.4364860866693041
meta(2),0.4003334591191133
stco(3),0.37048439603617633
csgm(2),0.2683441537081514
sgpd(4),0.2555605223041398
stco(5),0.18661642297636724
csgm,0.18571461888111057
tkhd(4)_Create Time,0.17580831568350327
tkhd(4)_Modify Time,0.17580831568350327
tkhd(4)_Width,0.17580831568350327
tkhd(4)_Height,0.17580831568350327
mdhd(4)_Create Time,0.17580831568350327
mdhd(4)_Modify Time,0.17580831568350327
tkhd(3)_Track ID,0.155687699685056
mdhd(3)_Create Time,0.155687699685056
tkhd(3)_Modify Time,0.155687699685056
tkhd(3)_Create Time,0.155687699685056
tkhd(3)_Width,0.155687699685056
mdhd(3)_Modify Time,0.155687699685056
tkhd(3)_Height,0.155687699685056
sbgp(2),0.1544954650168513
dinf(4),0.13610104298295475
hdlr(8),0.13610104298295475
hdlr(7),0.13610104298295475
mdhd(4)_Language Code,0.13610104298295475
tkhd(4)_Track ID,0.13610104298295475
mdhd(4)_Timescale,0.13610104298295475
tkhd(5)_Height,0.1302860829071844
tkhd(5)_Create Time,0.1302860829071844
mdhd(5)_Modify Time,0.1302860829071844
mdhd(5)_Create Time,0.1302860829071844
tkhd(5)_Track ID,0.1302860829071844
tkhd(5)_Width,0.1302860829071844
tkhd(5)_Modify Time,0.1302860829071844
elst(2)_Media Time,0.11916380388759114
dinf(3),0.11598042698450808
elst(3)_Rate,0.11598042698450808
gmhd,0.11598042698450808
hdlr(6),0.11598042698450774
mdhd(3)_Language Code,0.11598042698450774
hdlr(5),0.11541490048232593
tkhd(2)_Width,0.11346901029410086
tkhd(2)_Height,0.11346901029410086
sequence,0.11069059521707494
elst(3)_Media Time,0.09072298047856851
hdlr(10),0.09057881020663512
dinf(5),0.0905788102066347
mdhd(5)_Timescale,0.09057881020663448
mdhd(5)_Language Code,0.09057881020663448
hdlr(9),0.09057881020663436
tref(3),0.09057881020663436
gmhd(3),0.09057881020663436
stco(2),0.09014366013783542
vmhd(2),0.08672114530016826
sdtp(2),0.08672114530016826
mvhd_Next Track ID,0.0849544188620079
ftyp_Compatible Brands,0.07435540689453718
hdlr,0.07322798787353428
mvhd_Timescale,0.07100170356901071
tkhd_Width,0.07051558840429435
tkhd_Height,0.07051558840429435
ftyp_Major Brand,0.0669873278050641
stco,0.06394415320957532
tkhd(2)_Modify Time,0.05158746599078359
tkhd(2)_Create Time,0.05158746599078359
mdhd(2)_Create Time,0.05158746599078359
