Feature,Importance
tref,0.0973378543282139
elst(4)_Media Time,0.0788025298240402
stsz(3)_Sample Size,0.05827329747418968
mdhd(4)_Create Time,0.04951324078018349
mdhd(4)_Timescale,0.04471799245124604
tref(2),0.03997301431381098
stsz(4)_Sample Size,0.03902193129623492
hdlr(7),0.032762749665812496
mdhd(4)_Language Code,0.03220956331950947
tkhd(4)_Width,0.03205884761763191
tkhd(4)_Height,0.031093878102859317
elst(4)_Rate,0.030700100543956978
gmhd(2),0.030374334384009525
hdlr(8),0.030136953540768216
hdlr(6),0.030027422799483058
dinf(4),0.02950934940921262
mvhd_Next Track ID,0.020878509347513233
sgpd(3),0.02032162632453628
tkhd(4)_Create Time,0.01729931085465684
tkhd(4)_Modify Time,0.016222058965909388
tkhd(3)_Width,0.016013428017722684
mdhd(4)_Modify Time,0.01561711415204285
tkhd(4)_Track ID,0.015484165647300345
mdhd(3)_Timescale,0.015208649298537396
meta(2),0.015050033754778598
tkhd(5)_Width,0.01343534162413996
ctts,0.012839241597002086
sbgp(2),0.01094239972076789
stco,0.010877651094899793
sdtp,0.010177167800223416
stsz(5)_Sample Size,0.008739638105175326
stco(2),0.008342710909481665
GOP,0.007882527551672604
stco(4),0.006530112044520924
tkhd(5)_Track ID,0.005833035824448836
stco(5),0.005530513713431444
cslg,0.005245452745692865
stss,0.005070101292882891
sgpd(2),0.004260040616685616
sgpd,0.003960476017027784
stsz(2)_Sample Size,0.003640244865859078
hdlr(9),0.003627196359869042
mdhd(5)_Language Code,0.003459185606452828
elst(3)_Media Time,0.003361496569365538
csgm,0.0027091542465232403
gmhd(3),0.002533232739486861
tkhd(5)_Modify Time,0.0024952418609835813
dinf(5),0.0022999248703517773
elst(2)_Media Time,0.0022991271545931198
sgpd(4),0.001976030306937378
csgm(2),0.0018423898814508791
mdhd(5)_Modify Time,0.001810336336786453
tref(3),0.0016413500273712673
mdhd(5)_Create Time,0.0013867566590193162
stco(3),0.0013196182715863492
