Feature,Importance
SPS_pic_order_cnt_type,0.21319973
ftyp_Minor Version,0.078457095
SPS_vui.num_units_in_tick,0.06494298
mdhd(2)_Timescale,0.053670865
sdtp,0.050424524
sgpd(2),0.045123003
SPS_log2_max_frame_num_minus4,0.04233403
mvhd_Timescale,0.040831957
mdhd_Language Code,0.031690188
ftyp_Compatible Brands,0.029056482
tref(2),0.026790902
SPS_frame_cropping_flag,0.026667558
tkhd_Width,0.024761254
SPS_level_idc,0.0212449
SPS_frame_crop_bottom_offset,0.016943403
stsz(3)_Sample Size,0.0162541
meta,0.015330805
SPS_profile_idc,0.014985366
elst(2)_Media Time,0.014250904
SPS_pic_height_in_map_units_minus1,0.012118122
SPS_vui.chroma_sample_loc_type_top_field,0.0118434895
SPS_vui.log2_max_mv_length_vertical,0.011094515
soct,0.010908478
SPS_vui.log2_max_mv_length_horizontal,0.008792107
SPS_vui.video_format,0.008377282
SPS_pic_width_in_mbs_minus1,0.007424303
SPS_vui.bitstream_restriction_flag,0.0069166757
SPS_vui.matrix_coefficients,0.0066270716
mvhd_Next Track ID,0.0065060435
mdhd_Timescale,0.005643628
elst_Media Time,0.0056300634
SPS_seq_scaling_matrix_present_flag,0.0052256337
auth,0.005111394
ctts,0.0046750284
smta,0.0039895107
elst(3)_Media Time,0.0035463755
sgpd(3),0.0035217414
tkhd_Track ID,0.0033127428
stsz(4)_Sample Size,0.00327671
free,0.003255017
SPS_frame_crop_right_offset,0.0030541574
ftyp_Major Brand,0.003034048
elst_Rate,0.0029235084
stco,0.0026677332
stco(2),0.0022219552
SPS_vui.max_bytes_per_pic_denom,0.0020174035
tref,0.0019667055
tkhd(5)_Track ID,0.001911331
stco(5),0.0017936814
elst(2)_Rate,0.0015994124
cslg,0.0015023783
stco(3),0.0013508291
stco(4),0.0011831557
hdlr,0.0010569915
SPS_vui_parameters_present_flag,0.0010568775
SPS_vui.chroma_loc_info_present_flag,0.0009868755
SPS_chroma_format_idc,0.0009426653
SPS_vui.colour_primaries,0.0008699208
SPS_constraint_set0_flag,0.0007559168
SPS_vui.transfer_characteristics,0.00064764236
stss,0.00063271425
SPS_num_ref_frames,0.00039184128
stsz(2)_Sample Size,0.0003480696
SPS_vui.video_full_range_flag,0.00029714816
tkhd_Create Time,3.1113894e-05
dinf(5),0.0
stsc(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
sgpd(4),0.0
stts(5)_Entry Count,0.0
csgm(2),0.0
csgm,0.0
stsz(5)_Sample Size,0.0
tkhd_Modify Time,0.0
stsz(5)_Sample Count,0.0
sbgp(2),0.0
tkhd_Duration,0.0
tkhd_Height,0.0
meta(2),0.0
tkhd(2)_Height,0.0
hdlr(10),0.0
tkhd(5)_Width,0.0
hdlr(8),0.0
dinf(4),0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
elst_Entry Count,0.0
stsz(4)_Sample Count,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Height,0.0
gmhd(3),0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Media Time,0.0
elst(5)_Rate,0.0
tref(3),0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Duration,0.0
hdlr(9),0.0
mdhd(5)_Language Code,0.0
cslg(2),0.0
tapt(2),0.0
vmhd(2),0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
SPS_hrd.time_offset_length,0.0
SPS_vui.low_delay_hrd_flag,0.0
mvhd_Modify Time,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
free(2),0.0
SDLN,0.0
smrd,0.0
mvhd_Create Time,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
type,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
wide,0.0
vhdr,0.0
smme,0.0
skip,0.0
0,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_hrd.cpb_size_scale,0.0
SPS_hrd.bit_rate_scale,0.0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0
ctts(2),0.0
hdlr(7),0.0
stss(2),0.0
sdtp(2),0.0
tagc,0.0
tagc(2),0.0
tagc(3),0.0
sgpd(5),0.0
sbgp(3),0.0
SPS_vui.max_bits_per_mb_denom,0.0
SPS_hrd.cpb_cnt_minus1,0.0
mvhd_Preferred Volume,0.0
mvhd_Preferred Rate,0.0
SPS_vui.num_reorder_frames,0.0
SPS_vui.max_dec_frame_buffering,0.0
mvhd_Duration,0.0
SPS_vui.time_scale,0.0
SPS_vui.fixed_frame_rate_flag,0.0
SPS_vui.aspect_ratio_idc,0.0
tgas,0.0
gmhd(2),0.0
elst(4)_Entries,0.0
mdhd(4)_Language Code,0.0
stsc_Entry Count,0.0
SPS_constraint_set3_flag,0.0
SPS_constraint_set4_flag,0.0
SPS_constraint_set5_flag,0.0
SPS_seq_parameter_set_id,0.0
SPS_bit_depth_luma_minus8,0.0
SPS_bit_depth_chroma_minus8,0.0
SPS_qpprime_y_zero_transform_bypass_flag,0.0
stsz_Sample Count,0.0
stsz_Sample Size,0.0
SPS_log2_max_pic_order_cnt_lsb_minus4,0.0
SPS_constraint_set1_flag,0.0
SPS_gaps_in_frame_num_value_allowed_flag,0.0
stts_Entry Count,0.0
SPS_frame_mbs_only_flag,0.0
SPS_direct_8x8_inference_flag,0.0
stsd_Entry Count,0.0
SPS_frame_crop_left_offset,0.0
dinf,0.0
SPS_frame_crop_top_offset,0.0
hdlr(2),0.0
SPS_constraint_set2_flag,0.0
tkhd(2)_Track ID,0.0
mdhd(4)_Duration,0.0
hdlr(4),0.0
elst(2)_Entries,0.0
tkhd(2)_Width,0.0
mdhd(2)_Create Time,0.0
mdhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
mdhd(2)_Duration,0.0
mdhd(2)_Language Code,0.0
hdlr(3),0.0
smhd,0.0
dinf(2),0.0
tkhd(2)_Create Time,0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
sgpd,0.0
sbgp,0.0
tkhd(2)_Modify Time,0.0
SPS,0.0
tapt,0.0
SPS_vui.aspect_ratio_info_present_flag,0.0
SPS_vui.overscan_info_present_flag,0.0
SPS_vui.video_signal_type_present_flag,0.0
tkhd(4)_Duration,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Width,0.0
vmhd,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(2)_Entry Count,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
elst_Entries,0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
gmhd,0.0
hdlr(5),0.0
mdhd(3)_Language Code,0.0
mdhd(3)_Duration,0.0
SPS_vui.colour_description_present_flag,0.0
SPS_vui.timing_info_present_flag,0.0
SPS_vui.nal_hrd_parameters_present_flag,0.0
SPS_vui.vcl_hrd_parameters_present_flag,0.0
SPS_vui.pic_struct_present_flag,0.0
mdhd_Duration,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
mdhd_Modify Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd_Create Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Modify Time,0.0
