Feature,Importance
SPS_log2_max_frame_num_minus4,0.08234980063162373
SPS_vui.max_dec_frame_buffering,0.07234264717017404
sgpd,0.0701185417318077
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.06702862550538154
sbgp,0.051935455494259146
sdtp,0.04587566303384396
ftyp_Major Brand,0.040707933991548186
SPS_vui.max_bits_per_mb_denom,0.04057300104239287
SPS_vui.log2_max_mv_length_horizontal,0.03982221756086545
SPS_vui.max_bytes_per_pic_denom,0.03807105525549815
ftyp_Compatible Brands,0.029122763591817598
SPS_vui.log2_max_mv_length_vertical,0.026555078584053603
SPS_vui.num_reorder_frames,0.023384898673328887
hdlr(4),0.021696150157024988
elst(2)_Rate,0.020915733753644198
SPS_log2_max_pic_order_cnt_lsb_minus4,0.019752521840427282
SPS_num_ref_frames,0.016883589563631986
hdlr(3),0.014858972528035386
elst(2)_Media Time,0.014641990528598903
cslg,0.012844283272186632
SPS_vui.bitstream_restriction_flag,0.011764261693424144
mvhd_Timescale,0.01060955554798006
smrd,0.009875299418362161
SPS_vui.colour_primaries,0.009352331590781476
SDLN,0.008786856382376182
SPS_vui.video_signal_type_present_flag,0.00872146176732415
sgpd(2),0.008343407665985984
SPS_level_idc,0.007986363854953115
ftyp_Minor Version,0.00792660079362399
SPS_pic_order_cnt_type,0.007846640608162104
SPS_vui.time_scale,0.007084235168240151
mdhd(2)_Create Time,0.007073321150151576
mdhd(2)_Timescale,0.006896961704264325
SPS_vui.transfer_characteristics,0.006704914495990619
tkhd(2)_Modify Time,0.006644547866302218
tapt,0.0063065980311403326
mdhd_Create Time,0.0057213047357142655
ctts,0.00551475624946535
GOP,0.005468702348064866
tkhd_Modify Time,0.0054647007110444155
SPS_vui.fixed_frame_rate_flag,0.0051766277629037745
elst_Media Time,0.00491017036437355
mdhd_Modify Time,0.00469391633854721
SPS_vui_parameters_present_flag,0.0042349859547962795
mdhd(2)_Modify Time,0.004203615475347414
SPS_vui.nal_hrd_parameters_present_flag,0.0038425601195942903
mdhd_Timescale,0.003682680457172618
SPS_frame_crop_bottom_offset,0.0033288240375885713
meta,0.003284506168432401
SPS_pic_height_in_map_units_minus1,0.0031928395936287064
tkhd(3)_Width,0.002776984623698405
SPS_vui.num_units_in_tick,0.0026624763238593287
SPS_profile_idc,0.0026431551879710453
mvhd_Modify Time,0.0024271076234754414
SPS_vui.aspect_ratio_info_present_flag,0.002421426912499192
SPS_constraint_set0_flag,0.0023568159756031633
SPS_vui.timing_info_present_flag,0.0023206282827478776
SPS_vui.video_format,0.0022199855025771213
stco(2),0.0021287041318022435
SPS_vui.overscan_info_present_flag,0.0017337730765224807
SPS_seq_parameter_set_id,0.0016548693010091957
SPS_vui.aspect_ratio_idc,0.0016288861315906394
sbgp(2),0.0015968933579235394
mdhd(2)_Language Code,0.0015916085775344174
tkhd_Width,0.0015803125254009957
SPS_pic_width_in_mbs_minus1,0.0015145352660369282
mvhd_Create Time,0.0014835733877077858
SPS_frame_mbs_only_flag,0.001380538251366535
SPS_vui.chroma_loc_info_present_flag,0.0013192065555190893
tkhd_Create Time,0.0012753576657584355
mdhd(4)_Language Code,0.0011218030989124273
SPS_frame_cropping_flag,0.001109363817123583
SPS_chroma_format_idc,0.0010222551434819558
SPS_vui.vcl_hrd_parameters_present_flag,0.0009589178660557039
SPS_direct_8x8_inference_flag,0.000958638689669525
tkhd(2)_Create Time,0.0009571591574863575
stco,0.0009545667115883115
SPS_hrd.dpb_output_delay_length_minus1,0.000948345634314418
SPS_constraint_set4_flag,0.0009245963011085921
SPS_constraint_set1_flag,0.0009178711578112155
tkhd(2)_Height,0.0009048691614394315
SPS_frame_crop_left_offset,0.0007929990798705244
SPS_hrd.cpb_size_scale,0.0006077744243814696
name(2),0.0005693705030417981
SPS_hrd.time_offset_length,0.0005657295036516043
SPS_qpprime_y_zero_transform_bypass_flag,0.0004481676483181281
mdhd_Language Code,0.0004101623094242433
SPS_vui.video_full_range_flag,0.0003980167520634954
tkhd(2)_Width,0.00033219573222489923
SPS_vui.colour_description_present_flag,0.00032116301430764867
free,0.0002926776666400346
SPS_frame_crop_right_offset,0.0002863356648444846
tref,0.000281136546751504
SPS_vui.pic_struct_present_flag,0.00020895594168740276
SPS_frame_crop_top_offset,0.00019297842920661018
cslg(2),0.00016774886677239448
SPS_vui.matrix_coefficients,0.00016448362705757515
tref(2),0.00015082182469997596
tkhd(3)_Create Time,0.00010121732084596253
SPS_vui.low_delay_hrd_flag,5.9423459505707664e-05
SPS_seq_scaling_matrix_present_flag,2.894431922862345e-05
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Size,0.0
stsz(5)_Sample Count,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
stco(5),0.0
stsd(5)_Entry Count,0.0
tkhd_Height,0.0
SPS_hrd.cpb_cnt_minus1,0.0
tkhd_Duration,0.0
soct,0.0
sgpd(3),0.0
csgm,0.0
meta(2),0.0
hdlr(10),0.0
dinf(5),0.0
mdhd(5)_Create Time,0.0
tkhd(5)_Height,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Media Time,0.0
elst(5)_Rate,0.0
tref(3),0.0
mdhd(5)_Modify Time,0.0
sgpd(4),0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Language Code,0.0
hdlr(9),0.0
SPS_hrd.bit_rate_scale,0.0
gmhd(3),0.0
csgm(2),0.0
stss(2),0.0
tapt(2),0.0
mvhd_Duration,0.0
free(2),0.0
wide,0.0
smta,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
tgas,0.0
tkhd(5)_Duration,0.0
type,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
auth,0.0
vhdr,0.0
smme,0.0
mvhd_Preferred Rate,0.0
vmhd(2),0.0
mvhd_Preferred Volume,0.0
mvhd_Next Track ID,0.0
tkhd_Track ID,0.0
skip,0.0
0,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
ctts(2),0.0
tkhd(5)_Width,0.0
elst(4)_Entry Count,0.0
tkhd(5)_Modify Time,0.0
hdlr(2),0.0
SPS_constraint_set3_flag,0.0
SPS_constraint_set5_flag,0.0
vmhd,0.0
SPS_bit_depth_luma_minus8,0.0
SPS_bit_depth_chroma_minus8,0.0
hdlr,0.0
mdhd_Duration,0.0
SPS_gaps_in_frame_num_value_allowed_flag,0.0
elst_Rate,0.0
elst_Entries,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
SPS_constraint_set2_flag,0.0
dinf,0.0
tkhd(5)_Create Time,0.0
SPS,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
tkhd(2)_Track ID,0.0
stsz_Sample Count,0.0
stsz_Sample Size,0.0
mdhd(2)_Duration,0.0
stsc_Entry Count,0.0
smhd,0.0
stss,0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Size,0.0
stsz(2)_Sample Count,0.0
stts_Entry Count,0.0
stsd_Entry Count,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
elst_Entry Count,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
hdlr(7),0.0
gmhd(2),0.0
hdlr(8),0.0
dinf(4),0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsz(4)_Sample Size,0.0
stsz(4)_Sample Count,0.0
stco(4),0.0
tkhd(5)_Track ID,0.0
elst(4)_Entries,0.0
tkhd(2)_Duration,0.0
tkhd(4)_Height,0.0
stts(3)_Entry Count,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
tkhd(4)_Width,0.0
stsz(3)_Sample Size,0.0
stsz(3)_Sample Count,0.0
stco(3),0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
mdhd(3)_Timescale,0.0
