Feature,Importance
vhdr,0.11129299063494681
mvhd_Timescale,0.10203454231717121
SDLN,0.08238861996271726
elst_Rate,0.0703391100394685
elst_Media Time,0.06220192525199111
smta,0.06087550485614779
free,0.051968071286388556
auth,0.044577231972329844
smrd,0.044087953922214
stco(2),0.043470580787622615
stco,0.03026630807211818
mdhd_Timescale,0.028002583766889518
tkhd(2)_Track ID,0.02453821490028869
hdlr(2),0.022306152474333037
tkhd_Track ID,0.020757074008087472
dinf,0.019643132001851103
smhd,0.018679133956102916
mdhd(2)_Create Time,0.016925539659987637
stsz_Sample Size,0.016898416710785798
stsz(2)_Sample Size,0.01605536783266967
mdhd(2)_Timescale,0.015994275314588708
stss,0.012586875538421407
hdlr,0.011696574486721442
mdhd(2)_Language Code,0.010351992359622477
tkhd(2)_Width,0.010196515005280873
tkhd(2)_Height,0.008527437305200874
mdhd_Language Code,0.008063821822949487
tkhd_Modify Time,0.00743323991190966
mdhd_Modify Time,0.006471216637258426
meta,0.0059410306007058
tkhd(2)_Create Time,0.005426629923161194
tkhd_Create Time,0.005096955720507231
dinf(2),0.0049049809595607214
stsz(4)_Sample Size,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
mdhd(5)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Language Code,0.0
hdlr(9),0.0
gmhd(3),0.0
hdlr(10),0.0
dinf(5),0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
elst(5)_Rate,0.0
tkhd(5)_Height,0.0
elst(5)_Media Time,0.0
mdhd(4)_Language Code,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
stsz(4)_Sample Count,0.0
dinf(4),0.0
stco(4),0.0
hdlr(8),0.0
tkhd(5)_Track ID,0.0
stsz(5)_Sample Size,0.0
tkhd(5)_Create Time,0.0
gmhd(2),0.0
hdlr(7),0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Width,0.0
stsc(4)_Entry Count,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
stsc(5)_Entry Count,0.0
ftyp_Major Brand,0.0
stsz(5)_Sample Count,0.0
stco(5),0.0
tagc(3),0.0
sgpd(5),0.0
sbgp(3),0.0
tgas,0.0
free(2),0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
type,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
smme,0.0
skip,0.0
0,0.0
soct,0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
csgm,0.0
meta(2),0.0
ctts,0.0
cslg,0.0
sgpd(2),0.0
sbgp(2),0.0
sgpd(3),0.0
csgm(2),0.0
stss(2),0.0
sgpd(4),0.0
mdhd(4)_Modify Time,0.0
tapt(2),0.0
vmhd(2),0.0
ctts(2),0.0
cslg(2),0.0
mdhd(4)_Timescale,0.0
stsz(3)_Sample Count,0.0
mdhd(4)_Create Time,0.0
mdhd(2)_Duration,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Media Time,0.0
elst(2)_Rate,0.0
mdhd(2)_Modify Time,0.0
hdlr(3),0.0
stsc_Entry Count,0.0
hdlr(4),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
sgpd,0.0
sbgp,0.0
stsz_Sample Count,0.0
stts_Entry Count,0.0
tref(2),0.0
mvhd_Next Track ID,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
tkhd_Duration,0.0
stsd_Entry Count,0.0
tkhd_Width,0.0
tkhd_Height,0.0
elst_Entry Count,0.0
elst_Entries,0.0
mdhd_Create Time,0.0
mdhd_Duration,0.0
vmhd,0.0
SPS,0.0
tapt,0.0
sdtp,0.0
tkhd(4)_Create Time,0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Size,0.0
ftyp_Minor Version,0.0
stco(3),0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Modify Time,0.0
tkhd(3)_Track ID,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
dinf(3),0.0
hdlr(6),0.0
gmhd,0.0
hdlr(5),0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
tref,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
GOP,0.0
