Feature,Importance
SPS_level_idc,0.14743636966417892
tkhd_Create Time,0.058083321640290016
ftyp_Minor Version,0.04927401992845556
SPS_frame_crop_right_offset,0.048652807405186224
mdhd_Modify Time,0.04532272286179923
mdhd(2)_Create Time,0.043356314479669464
SPS_pic_width_in_mbs_minus1,0.039815980892699616
mvhd_Modify Time,0.039481773145752644
elst(2)_Media Time,0.035271150785117104
tkhd_Width,0.03328646152604551
ftyp_Major Brand,0.029632866413527935
mdhd_Create Time,0.02468344768974789
tkhd(2)_Modify Time,0.02211719010962923
mdhd_Timescale,0.0202188869136786
tkhd_Height,0.020217634339394868
SPS_vui.video_format,0.020085989753158777
mdhd(2)_Modify Time,0.01866642570785093
stco(2),0.016440413416277187
SPS_pic_height_in_map_units_minus1,0.01472904112311202
mvhd_Create Time,0.014671638075807701
mdhd(2)_Language Code,0.013038244533991718
auth,0.012270800004022926
ftyp_Compatible Brands,0.011375811455656887
sequence,0.011356199811943895
mdhd(2)_Timescale,0.01121765120513832
vmhd,0.010295283376261349
tkhd(2)_Height,0.010247490580718008
elst_Rate,0.010085199312465874
tkhd_Modify Time,0.009403884938281237
SPS_vui.colour_primaries,0.008839919153570698
stco,0.00834523778535974
elst(2)_Rate,0.007842127765882048
SPS_frame_crop_left_offset,0.007476872224423802
soct,0.00727066603750653
elst_Media Time,0.007135456561368358
smrd,0.005917441237735991
SPS_frame_crop_top_offset,0.005714815540821276
SPS_frame_crop_bottom_offset,0.005713266344362787
SPS_vui.video_full_range_flag,0.005364348397107416
SPS_frame_cropping_flag,0.004933468833515711
SPS_vui.log2_max_mv_length_vertical,0.004512380359503833
dinf(2),0.0044126319466427965
SPS_bit_depth_chroma_minus8,0.004101972137849485
mvhd_Timescale,0.004076035548055811
smta,0.0040332134052241215
sgpd,0.003858923357869004
SPS_num_ref_frames,0.00348888562691708
SPS_vui.max_bytes_per_pic_denom,0.0034449473237617044
mdhd_Language Code,0.003417379104326612
stss,0.0032909267438988358
SPS_vui.max_bits_per_mb_denom,0.0031745333449943527
smme,0.002932215960808239
SPS_vui.transfer_characteristics,0.002764799572702817
tkhd(2)_Create Time,0.0027260980256228196
hdlr,0.0026154370875074986
SPS_vui.matrix_coefficients,0.0023668941921194723
SPS_vui.log2_max_mv_length_horizontal,0.0021199764393196674
SPS_vui.video_signal_type_present_flag,0.0020502621177019573
tkhd(2)_Width,0.001977603079078556
SPS_hrd.dpb_output_delay_length_minus1,0.0019235729112830322
skip,0.0017429973325304945
smhd,0.0016376631902769953
vhdr,0.001407108353088107
tref,0.0014006933478988436
SPS_hrd.cpb_size_scale,0.0013845137022546945
SPS_vui.nal_hrd_parameters_present_flag,0.0013114952366014784
tkhd(2)_Track ID,0.0012883790722379746
SPS_constraint_set0_flag,0.0012229482181264654
SPS_vui.low_delay_hrd_flag,0.0011028028910419747
SPS_seq_scaling_matrix_present_flag,0.0009180759027750126
type,0.0008883155776601329
stsz(2)_Sample Size,0.0008804435482013206
tkhd_Track ID,0.0008486218609563084
meta,0.0008165761369000257
SPS_vui.bitstream_restriction_flag,0.0007240038391202841
SPS_pic_order_cnt_type,0.0007231583623817698
free,0.0007179153900004396
SPS_chroma_format_idc,0.0006643890658960687
SPS_vui.aspect_ratio_info_present_flag,0.0006042871004850042
SPS_vui.pic_struct_present_flag,0.0004174757774728773
SPS_vui.num_reorder_frames,0.0002927505670980942
SPS_vui.time_scale,0.00017896058247552095
SPS_vui.colour_description_present_flag,0.0001483069697379459
SPS_vui.timing_info_present_flag,6.797385810835586e-05
hdlr(2),3.281485997196458e-05
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Size,0.0
dinf(5),0.0
stco(5),0.0
meta(2),0.0
ctts,0.0
cslg,0.0
stsd(5)_Entry Count,0.0
sgpd(2),0.0
stsz(5)_Sample Count,0.0
mdhd(5)_Language Code,0.0
hdlr(10),0.0
elst(5)_Entry Count,0.0
stsz(4)_Sample Size,0.0
stsz(4)_Sample Count,0.0
stco(4),0.0
tkhd(5)_Track ID,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Width,0.0
tkhd(5)_Height,0.0
elst(5)_Entries,0.0
gmhd(3),0.0
elst(5)_Media Time,0.0
elst(5)_Rate,0.0
tref(3),0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Duration,0.0
sgpd(3),0.0
hdlr(9),0.0
sbgp(2),0.0
stsz_Sample Size,0.0
csgm,0.0
free(2),0.0
SPS_hrd.cpb_cnt_minus1,0.0
SPS_hrd.bit_rate_scale,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_hrd.time_offset_length,0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
SDLN,0.0
csgm(2),0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
wide,0.0
0,0.0
tgas,0.0
SPS_vui.aspect_ratio_idc,0.0
SPS_vui.fixed_frame_rate_flag,0.0
SPS_vui.num_units_in_tick,0.0
sgpd(4),0.0
tapt(2),0.0
vmhd(2),0.0
ctts(2),0.0
cslg(2),0.0
stss(2),0.0
sdtp(2),0.0
tagc,0.0
tagc(2),0.0
tagc(3),0.0
sgpd(5),0.0
sbgp(3),0.0
stts(4)_Entry Count,0.0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0
SPS_vui.max_dec_frame_buffering,0.0
stsc(4)_Entry Count,0.0
tkhd(4)_Duration,0.0
stsd(4)_Entry Count,0.0
SPS_constraint_set1_flag,0.0
SPS_constraint_set3_flag,0.0
SPS_constraint_set4_flag,0.0
SPS_constraint_set5_flag,0.0
elst_Entry Count,0.0
SPS_seq_parameter_set_id,0.0
SPS_bit_depth_luma_minus8,0.0
SPS_qpprime_y_zero_transform_bypass_flag,0.0
SPS_log2_max_frame_num_minus4,0.0
SPS_log2_max_pic_order_cnt_lsb_minus4,0.0
SPS_gaps_in_frame_num_value_allowed_flag,0.0
tkhd_Duration,0.0
SPS_frame_mbs_only_flag,0.0
SPS_direct_8x8_inference_flag,0.0
mvhd_Next Track ID,0.0
mvhd_Preferred Volume,0.0
SPS_vui_parameters_present_flag,0.0
SPS_vui.overscan_info_present_flag,0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
SPS_constraint_set2_flag,0.0
SPS_profile_idc,0.0
dinf(4),0.0
sdtp,0.0
stsc_Entry Count,0.0
tkhd(2)_Duration,0.0
stts_Entry Count,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
stsd_Entry Count,0.0
dinf,0.0
mdhd(2)_Duration,0.0
mdhd_Duration,0.0
hdlr(3),0.0
hdlr(4),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
sbgp,0.0
SPS,0.0
elst_Entries,0.0
tapt,0.0
SPS_vui.chroma_loc_info_present_flag,0.0
SPS_vui.vcl_hrd_parameters_present_flag,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
stsz_Sample Count,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
tref(2),0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
hdlr(7),0.0
gmhd(2),0.0
hdlr(8),0.0
stco(3),0.0
stsz(3)_Sample Count,0.0
stsz(3)_Sample Size,0.0
mdhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Media Time,0.0
elst(3)_Rate,0.0
mdhd(3)_Timescale,0.0
stsc(3)_Entry Count,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
mdhd(3)_Modify Time,0.0
