Feature,Importance
mvhd_Timescale,1.9889692282660874
elst(2)_Rate,1.6288190378516356
tkhd_Width,1.5528810177178518
tkhd_Height,1.5528810177178518
ftyp_Minor Version,1.531506004544382
elst(2)_Media Time,1.361740466688904
soct,1.2806543632452054
elst_Rate,1.13824956104565
mdhd(2)_Timescale,1.0187199433053666
elst_Media Time,0.9900524393555888
ftyp_Compatible Brands,0.9840140938720405
tref,0.9385542850792851
tkhd(2)_Height,0.8711585014156764
tkhd(2)_Width,0.8711585014156764
ctts,0.7022203556555662
stco,0.696195280309314
mvhd_Modify Time,0.6902647527723501
sequence,0.6884051935638392
dinf,0.6815003181828457
dinf(2),0.6815003181828457
tkhd_Track ID,0.681500318182845
smhd,0.681500318182845
tkhd(2)_Track ID,0.681500318182845
stsz_Sample Size,0.681500318182845
stss,0.6492286316646768
auth,0.6330772432361464
free,0.6261296155263667
stsz(2)_Sample Size,0.6063252819998831
vhdr,0.5838878912415023
mdhd_Language Code,0.5515201325328276
hdlr,0.5282617846469043
smta,0.5077377040437061
tkhd_Modify Time,0.49520950238502187
mdhd_Modify Time,0.49520950238502187
mdhd(2)_Modify Time,0.49520950238502187
tkhd(2)_Modify Time,0.49520950238502187
meta,0.4895832983026166
mvhd_Create Time,0.4639087816830897
mdhd(2)_Language Code,0.44814619798233774
sbgp,0.41442460426635186
sgpd,0.41442460426635186
hdlr(2),0.40522859630715724
mdhd(2)_Create Time,0.2688535312957606
tkhd_Create Time,0.2688535312957606
tkhd(2)_Create Time,0.2688535312957606
mdhd_Create Time,0.2688535312957606
stco(2),0.2533603793490319
smme,0.21166640561171457
skip,0.21166640561171196
type,0.18216649608133323
ftyp_Major Brand,0.13837346642613885
mdhd_Timescale,0.0777429762418474
smrd,0.07213692718125056
SDLN,0.07191472906191841
vmhd,0.05441076014723725
sgpd(2),0.0033133631906834965
sbgp(2),0.0033133631906834965
meta(2),0.0033133631906824387
stsd(5)_Entry Count,0.0
hdlr(10),0.0
dinf(5),0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
hdlr(9),0.0
stsz(5)_Sample Size,0.0
stsz(5)_Sample Count,0.0
stco(5),0.0
elst_Entries,0.0
cslg,0.0
gmhd(3),0.0
mdhd(2)_Duration,0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Create Time,0.0
mdhd(5)_Timescale,0.0
csgm,0.0
sgpd(3),0.0
tgas,0.0
0,0.0
wide,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
mvhd_Next Track ID,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
tkhd_Duration,0.0
free(2),0.0
elst_Entry Count,0.0
stco(4),0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
sgpd(4),0.0
csgm(2),0.0
tkhd(5)_Track ID,0.0
stsz(4)_Sample Size,0.0
stsz(4)_Sample Count,0.0
hdlr(5),0.0
mdhd(3)_Duration,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Create Time,0.0
mdhd_Duration,0.0
elst(3)_Rate,0.0
elst(3)_Media Time,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Height,0.0
tkhd(3)_Width,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Track ID,0.0
sdtp,0.0
tapt,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
stsz(2)_Sample Count,0.0
tkhd(2)_Duration,0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
elst(2)_Entry Count,0.0
hdlr(4),0.0
elst(2)_Entries,0.0
mdhd(3)_Language Code,0.0
gmhd,0.0
hdlr(3),0.0
hdlr(6),0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
dinf(4),0.0
hdlr(8),0.0
gmhd(2),0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Create Time,0.0
tref(2),0.0
elst(4)_Rate,0.0
elst(4)_Media Time,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Height,0.0
tkhd(4)_Width,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Track ID,0.0
stco(3),0.0
stsz(3)_Sample Size,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
dinf(3),0.0
stsz(3)_Sample Count,0.0
