Feature,Importance
mvhd_Timescale,1.9914945764208345
elst(2)_Rate,1.61049496627321
tkhd_Width,1.5465318706669455
tkhd_Height,1.5465318706669455
ftyp_Minor Version,1.5105843357880706
elst(2)_Media Time,1.356151249273244
soct,1.2845259476784574
elst_Rate,1.1547659527521894
mdhd(2)_Timescale,1.0110771573099098
elst_Media Time,1.0055165952170468
ftyp_Compatible Brands,0.9496085242110177
tref,0.9066015555691219
tkhd(2)_Height,0.8657714014191018
tkhd(2)_Width,0.8657714014191018
mvhd_Modify Time,0.70389341070409
stco,0.6919144928195899
stsz_Sample Size,0.683884974315347
smhd,0.683884974315347
tkhd(2)_Track ID,0.683884974315347
dinf,0.683884974315347
tkhd_Track ID,0.683884974315347
dinf(2),0.683884974315347
ctts,0.6832623806766275
vhdr,0.6791442809754075
sequence,0.6627424694466136
auth,0.6602550160448969
stss,0.6499251675611163
stsz(2)_Sample Size,0.6087705807802994
free,0.5615925690702505
mdhd_Language Code,0.5261800544936021
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.5145071607024058
tkhd(2)_Modify Time,0.5115031179188764
tkhd_Modify Time,0.5115031179188764
mdhd_Modify Time,0.5115031179188764
mdhd(2)_Modify Time,0.5115031179188764
hdlr,0.4915259089032005
meta,0.45322807170401597
smta,0.4421366584446174
sgpd,0.43749190129675014
sbgp,0.43749190129675014
mdhd(2)_Language Code,0.43022869768670263
mvhd_Create Time,0.4284496508311859
hdlr(2),0.40320119951772293
stco(2),0.2513131653157135
tkhd(2)_Create Time,0.23605935804597097
tkhd_Create Time,0.23605935804597097
mdhd(2)_Create Time,0.23605935804597097
mdhd_Create Time,0.23605935804597097
smme,0.21919987701640062
skip,0.21919987701640006
type,0.17849387694248925
GOP,0.15214998261593035
SDLN,0.14407135506004948
smrd,0.1409468499925485
ftyp_Major Brand,0.11046272397947349
mdhd_Timescale,0.059744118160018886
vmhd,0.04780832652509746
sbgp(2),0.005589274342417233
sgpd(2),0.005589274342417233
meta(2),0.005589274342417233
stsc(5)_Entry Count,0.0
hdlr(10),0.0
dinf(5),0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
hdlr(4),0.0
stsz(5)_Sample Size,0.0
gmhd(3),0.0
stco(5),0.0
stsd_Entry Count,0.0
cslg,0.0
stsz(5)_Sample Count,0.0
hdlr(9),0.0
csgm,0.0
mdhd(5)_Language Code,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
tref(3),0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Height,0.0
tkhd(5)_Width,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Modify Time,0.0
sgpd(3),0.0
csgm(2),0.0
stsd(2)_Entry Count,0.0
elst_Entries,0.0
wide,0.0
0,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
mvhd_Next Track ID,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
tkhd_Duration,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
elst_Entry Count,0.0
free(2),0.0
sgpd(4),0.0
tgas,0.0
mdhd_Duration,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc(2),0.0
tagc,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
vmhd(2),0.0
tapt(2),0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Track ID,0.0
stco(4),0.0
hdlr(6),0.0
hdlr(5),0.0
mdhd(3)_Language Code,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Create Time,0.0
stsc_Entry Count,0.0
elst(3)_Rate,0.0
elst(3)_Media Time,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Height,0.0
tkhd(3)_Width,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Track ID,0.0
sdtp,0.0
tapt,0.0
stsz_Sample Count,0.0
SPS,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
mdhd(2)_Duration,0.0
stsz(2)_Sample Count,0.0
hdlr(3),0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
gmhd,0.0
dinf(3),0.0
stsz(4)_Sample Count,0.0
stsd(3)_Entry Count,0.0
stsz(4)_Sample Size,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
dinf(4),0.0
hdlr(8),0.0
gmhd(2),0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Create Time,0.0
tref(2),0.0
elst(4)_Rate,0.0
elst(4)_Media Time,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Height,0.0
tkhd(4)_Width,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Track ID,0.0
stco(3),0.0
stts_Entry Count,0.0
stsz(3)_Sample Size,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
