Feature,Importance
meta,0.9871078800205005
GOP,0.8781558228471131
SPS_vui.matrix_coefficients,0.6615846780508609
SPS_vui.colour_primaries,0.6615846780508609
SPS_vui.transfer_characteristics,0.6126290650882029
sbgp,0.5822437674527338
sgpd,0.5822437674527338
stss,0.4765376229726227
elst(2)_Media Time,0.46235111716749144
ctts,0.37968870537640154
SPS_log2_max_pic_order_cnt_lsb_minus4,0.3414785046558907
SPS_vui.fixed_frame_rate_flag,0.3336076341893282
SPS_vui.time_scale,0.3291760553988767
SPS_frame_crop_left_offset,0.31761235705493873
SPS_frame_crop_top_offset,0.31761235705493873
mdhd_Language Code,0.30970727624868655
SPS_constraint_set0_flag,0.2960878398360489
SPS_vui.log2_max_mv_length_horizontal,0.2827111158158176
SPS_vui.log2_max_mv_length_vertical,0.2577253122005084
SPS_vui.num_reorder_frames,0.2527959452236566
SPS_vui.timing_info_present_flag,0.24682568186437995
SPS_pic_order_cnt_type,0.20937309160339668
mdhd(2)_Language Code,0.1989018167571444
tkhd(2)_Create Time,0.18347018354264003
mdhd(2)_Create Time,0.18347018354264003
tkhd_Create Time,0.18347018354264003
mdhd_Create Time,0.18347018354264003
mvhd_Create Time,0.18347018354264003
SPS_frame_cropping_flag,0.17645274994852592
SPS_pic_width_in_mbs_minus1,0.1746689905679911
mdhd(2)_Timescale,0.15900682611595765
tkhd(2)_Modify Time,0.13712644778356922
mdhd(2)_Modify Time,0.13712644778356922
mvhd_Modify Time,0.13712644778356922
mdhd_Modify Time,0.13712644778356922
tkhd_Modify Time,0.13712644778356922
SPS_vui.num_units_in_tick,0.12286322943436155
SPS_vui.colour_description_present_flag,0.12194004268233617
SPS_level_idc,0.11649455602205715
SPS_vui.video_full_range_flag,0.11209420328386407
SPS_vui.video_signal_type_present_flag,0.1047505687773154
SPS_vui.max_bytes_per_pic_denom,0.10416524092296546
SPS_vui.max_bits_per_mb_denom,0.10413373949998028
SDLN,0.102059927726143
elst(2)_Rate,0.10205992772614289
smrd,0.10104065001089048
smta,0.09972630469054553
ftyp_Minor Version,0.0963762143638592
SPS_pic_height_in_map_units_minus1,0.0891752846384252
SPS_vui.max_dec_frame_buffering,0.08547457796169182
tkhd_Height,0.08183438762117232
tkhd_Width,0.08183438762117232
tkhd(2)_Width,0.08081510990591946
tkhd(2)_Height,0.08081510990591946
stco,0.07989319286409818
ftyp_Major Brand,0.0795226498350121
mdhd_Timescale,0.07780138790263154
elst_Rate,0.07609209938115764
SPS_frame_crop_bottom_offset,0.07108165544215836
free,0.06577895188217367
SPS_vui.aspect_ratio_info_present_flag,0.055735805851782484
mvhd_Timescale,0.05182869531023734
SPS_num_ref_frames,0.04905092898780704
SPS_profile_idc,0.045722991597674914
SPS_vui.aspect_ratio_idc,0.0453244580438194
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.04236222161138189
ftyp_Compatible Brands,0.03908150636773582
SPS_log2_max_frame_num_minus4,0.03726806101351875
SPS_vui.nal_hrd_parameters_present_flag,0.03649921776485519
SPS_vui.pic_struct_present_flag,0.03649921776485519
SPS_constraint_set1_flag,0.03649921776485519
hdlr,0.036085797772678056
tref,0.035066520057425346
SPS_bit_depth_luma_minus8,0.030326091731075512
SPS_chroma_format_idc,0.030326091731075512
SPS_bit_depth_chroma_minus8,0.030326091731075512
SPS_qpprime_y_zero_transform_bypass_flag,0.030326091731075512
SPS_seq_scaling_matrix_present_flag,0.030326091731075512
SPS_constraint_set4_flag,0.026087435588319365
SPS_vui.overscan_info_present_flag,0.026087435588319365
SPS_vui.chroma_loc_info_present_flag,0.026087435588319365
SPS_vui_parameters_present_flag,0.026087435588319365
SPS_vui.vcl_hrd_parameters_present_flag,0.026087435588319365
SPS_direct_8x8_inference_flag,0.026087435588319365
SPS_frame_mbs_only_flag,0.026087435588319365
SPS_constraint_set3_flag,0.026087435588319365
SPS_constraint_set2_flag,0.026087435588319365
SPS_seq_parameter_set_id,0.026087435588319365
SPS_constraint_set5_flag,0.026087435588319365
SPS_gaps_in_frame_num_value_allowed_flag,0.026087435588319365
elst_Media Time,0.02600233805957723
sgpd(2),0.02599980822294178
meta(2),0.02599980822294178
sbgp(2),0.02599980822294178
auth,0.02550221285511129
stco(2),0.023244386619861303
stsz(2)_Sample Size,0.017741189889748512
SPS_hrd.cpb_removal_delay_length_minus1,0.01627478602306248
SPS_hrd.dpb_output_delay_length_minus1,0.01627478602306248
SPS_hrd.time_offset_length,0.01627478602306248
