Feature,Importance
SPS_pic_width_in_mbs_minus1,0.04557177816153704
elst_Media Time,0.033883739394940146
mdhd_Timescale,0.033872993151256706
SPS_level_idc,0.031467015603530005
GOP,0.02887998616625525
SPS_pic_height_in_map_units_minus1,0.028610803682886553
auth,0.027122598682495575
elst(2)_Media Time,0.025179277847531056
SPS_frame_crop_right_offset,0.023822980170437207
SPS_frame_cropping_flag,0.02318492066543799
SPS_vui.transfer_characteristics,0.023037032133427716
tkhd(2)_Height,0.02119316677124885
mdhd(2)_Timescale,0.021144221330259363
SPS_vui.time_scale,0.019904600921796353
SPS_frame_crop_bottom_offset,0.019628183540981406
elst_Rate,0.018112774755890817
mdhd_Language Code,0.016676505863131703
tkhd_Width,0.016175383420360744
SPS_vui.matrix_coefficients,0.01578868995457826
SPS_log2_max_pic_order_cnt_lsb_minus4,0.015674380728047083
meta,0.015402415806350728
free,0.014619390556049739
type,0.013932003607963967
mdhd(2)_Language Code,0.013796792463507616
SPS_pic_order_cnt_type,0.012655369847674654
sgpd,0.012017425914494903
tkhd_Create Time,0.011546852245059297
ctts,0.011544339587294762
SPS_vui.log2_max_mv_length_horizontal,0.010787401464909615
tkhd_Modify Time,0.010619795021862865
SPS_vui.colour_primaries,0.010610433931652145
sbgp,0.010434689451659944
tkhd_Height,0.01032155425348105
tkhd(2)_Width,0.010295134252431693
SPS_vui.video_full_range_flag,0.010211658606935754
SPS_vui.fixed_frame_rate_flag,0.010143792631136263
SPS_constraint_set0_flag,0.010032367615474254
ftyp_Minor Version,0.00985268149542399
smrd,0.009602838658266886
mdhd_Create Time,0.00944712959326185
SPS_vui.log2_max_mv_length_vertical,0.008608329586391187
hdlr(2),0.008586377368584103
tkhd(2)_Create Time,0.008563058131867652
SPS_vui.video_format,0.008552784478853031
SPS_num_ref_frames,0.00843840851333437
smme,0.008261238032394659
SPS_frame_crop_top_offset,0.007999417282875494
mdhd(2)_Create Time,0.007463858133024872
hdlr,0.007306120656150953
SPS_chroma_format_idc,0.007209405433151448
smta,0.006773947293831859
SDLN,0.006649955533419188
SPS_vui.timing_info_present_flag,0.0065445341386792
stss,0.006531975036345722
SPS_frame_crop_left_offset,0.006515145838747973
SPS_vui.aspect_ratio_idc,0.006393575320029175
SPS_direct_8x8_inference_flag,0.006206066769344396
mdhd(2)_Modify Time,0.006197390081897461
elst(2)_Rate,0.0061713973587555395
stco(2),0.006060618694006827
SPS_vui.video_signal_type_present_flag,0.005808142085016382
mvhd_Create Time,0.005389105962503347
SPS_profile_idc,0.005184272955694607
SPS_seq_scaling_matrix_present_flag,0.005156069978599149
SPS_seq_parameter_set_id,0.005095425232476678
SPS_vui.bitstream_restriction_flag,0.004908325226717203
SPS_vui.colour_description_present_flag,0.00486026334055089
SPS_vui.aspect_ratio_info_present_flag,0.004817206410102181
SPS_vui.num_units_in_tick,0.004789153592691857
SPS_vui.vcl_hrd_parameters_present_flag,0.004628858943363346
mvhd_Modify Time,0.004612819385040686
SPS_frame_mbs_only_flag,0.004468807037076892
SPS_qpprime_y_zero_transform_bypass_flag,0.004365179884090942
SPS_log2_max_frame_num_minus4,0.004214003103444748
SPS_vui.max_bytes_per_pic_denom,0.004065534056942179
ftyp_Major Brand,0.003982669863220719
SPS_vui.overscan_info_present_flag,0.003771891335304656
SPS_vui.nal_hrd_parameters_present_flag,0.003543902732419021
ftyp_Compatible Brands,0.003495877175994812
SPS_constraint_set2_flag,0.0033500399615201595
SPS_vui.chroma_loc_info_present_flag,0.0028715856422951115
SPS_hrd.cpb_size_scale,0.002711406782748377
SPS_vui.max_bits_per_mb_denom,0.0026945890799299987
SPS_constraint_set5_flag,0.0026940072755862123
soct,0.0026832714888377187
SPS_vui.pic_struct_present_flag,0.0025213822028373346
SPS_constraint_set4_flag,0.0023494552608236104
mvhd_Timescale,0.0023358093293933905
SPS_vui_parameters_present_flag,0.0022134848224454806
skip,0.002205151079104737
SPS_vui.num_reorder_frames,0.0021009670154554113
tkhd(2)_Modify Time,0.0020780354320352194
SPS_vui.low_delay_hrd_flag,0.0019927940325013454
SPS_constraint_set1_flag,0.0019151815940200584
SPS_bit_depth_chroma_minus8,0.0018456776372340739
SPS_bit_depth_luma_minus8,0.0018091547340648778
SPS_hrd.cpb_cnt_minus1,0.0016274858692426344
tref,0.001614876385442828
vmhd,0.0015615691123747886
SPS_constraint_set3_flag,0.0012084293842011154
mdhd_Modify Time,0.0011664830189663982
SPS_gaps_in_frame_num_value_allowed_flag,0.0011199593553209686
stco,0.0010773803562838307
SPS_vui.max_dec_frame_buffering,0.0008321375671987842
meta(2),0.00042347364627833744
stsz(2)_Sample Size,7.924845562748862e-19
cslg,0.0
sgpd(2),0.0
sbgp(2),0.0
sgpd(4),0.0
cslg(2),0.0
ctts(2),0.0
csgm,0.0
vmhd(2),0.0
dinf,0.0
tapt(2),0.0
csgm(2),0.0
sgpd(3),0.0
elst(5)_Rate,0.0
stco(5),0.0
stsz(5)_Sample Count,0.0
tref(3),0.0
mdhd(5)_Create Time,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Language Code,0.0
hdlr(9),0.0
gmhd(3),0.0
hdlr(10),0.0
dinf(5),0.0
stsd(5)_Entry Count,0.0
sdtp(2),0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
stsz(5)_Sample Size,0.0
stss(2),0.0
elst_Entry Count,0.0
tagc,0.0
SPS_hrd.time_offset_length,0.0
0,0.0
vhdr,0.0
wide,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
free(2),0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
tagc(2),0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_hrd.bit_rate_scale,0.0
tgas,0.0
mvhd_Next Track ID,0.0
tkhd_Track ID,0.0
tkhd_Duration,0.0
elst(5)_Entries,0.0
elst_Entries,0.0
mdhd_Duration,0.0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
elst(5)_Media Time,0.0
stco(4),0.0
elst(5)_Entry Count,0.0
elst(3)_Entries,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Media Time,0.0
stsc_Entry Count,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
stsd_Entry Count,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
stts_Entry Count,0.0
stsz_Sample Size,0.0
tkhd(5)_Height,0.0
dinf(2),0.0
sdtp,0.0
tapt,0.0
SPS,0.0
stsz(2)_Sample Count,0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
hdlr(4),0.0
stsz_Sample Count,0.0
smhd,0.0
hdlr(3),0.0
mdhd(2)_Duration,0.0
elst(2)_Entries,0.0
elst(2)_Entry Count,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Track ID,0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stts(4)_Entry Count,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Language Code,0.0
hdlr(7),0.0
gmhd(2),0.0
hdlr(8),0.0
dinf(4),0.0
stsd(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsd(3)_Entry Count,0.0
stsz(4)_Sample Size,0.0
stsz(4)_Sample Count,0.0
tkhd(5)_Track ID,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Width,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Create Time,0.0
tref(2),0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Size,0.0
stsz(3)_Sample Count,0.0
stco(3),0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
mdhd(3)_Timescale,0.0
