Feature,Importance
sdtp,1.0649386331775257
cslg,1.057368284547295
ctts,1.057368284547295
sgpd(2),1.0051844595710042
sbgp(2),0.7417834675844288
sgpd(3),0.6315743368879354
sbgp,0.21129023012175852
sgpd,0.21129011775592577
csgm(2),0.19987220954284957
csgm,0.19903938801277712
sgpd(4),0.18015592637129013
stsz(5)_Sample Size,0.17994203409214837
stco(4),0.1633902099653486
stsz(3)_Sample Size,0.15689791026511501
stss,0.1284521076381179
stco,0.12582593598902464
elst(2)_Media Time,0.097671197197045
meta(2),0.09348397308969826
stco(5),0.08155689429400406
stco(2),0.07386261298625069
stsz(4)_Sample Size,0.06262473556318976
mdhd(2)_Timescale,0.05313457594148938
tkhd_Width,0.0521838249762909
tkhd_Height,0.0521838249762909
hdlr,0.0521838249762909
tkhd(2)_Width,0.045560435332227464
tkhd(2)_Height,0.045560435332227464
hdlr(3),0.0455604353322214
mdhd_Timescale,0.044609684367028994
elst(5)_Media Time,0.03443278260416005
elst(5)_Rate,0.03443278260416003
dinf(5),0.03239448074048147
tref(3),0.03239448074048147
mvhd_Next Track ID,0.03239448074048147
hdlr(9),0.03239448074048147
gmhd(3),0.03239448074048147
hdlr(10),0.032394480740481464
mdhd(5)_Timescale,0.032394480740481464
mdhd(5)_Language Code,0.032394480740481464
stsz(2)_Sample Size,0.031443729775282994
stco(3),0.029792466615464513
mdhd(5)_Create Time,0.0248203401312197
mdhd(5)_Modify Time,0.0248203401312197
tkhd(5)_Height,0.0248203401312197
tkhd(5)_Width,0.0248203401312197
tkhd(5)_Modify Time,0.0248203401312197
tkhd(5)_Create Time,0.0248203401312197
tkhd(5)_Track ID,0.0248203401312197
GOP,0.02295877824462514
stss(2),0.00662338964406342
tapt(2),0.006623389644063369
sbgp(3),0.006623389644063369
ctts(2),0.006623389644063369
cslg(2),0.006623389644063369
sgpd(5),0.006623389644063369
tagc(2),0.006623389644063365
mdhd(3)_Timescale,0.0066233896440632874
tagc,0.0066233896440632874
tagc(3),0.0066233896440632874
elst(4)_Media Time,0.005037372903854043
elst(4)_Rate,0.0020383018636785646
tref,0.0009507509651984608
hdlr(5),0.0009507509651984608
sdtp(2),0.0009507509651984608
vmhd(2),0.0009507509651984605
elst(3)_Media Time,0.0009507509651984605
gmhd(2),0.0009507509651984605
hdlr(8),0.0
dinf(4),0.0
stsd(4)_Entry Count,0.0
soct,0.0
stts(4)_Entry Count,0.0
0,0.0
stsc(4)_Entry Count,0.0
skip,0.0
stsz(4)_Sample Count,0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
smme,0.0
vhdr,0.0
mdhd(4)_Timescale,0.0
auth,0.0
elst(5)_Entry Count,0.0
elst(2)_'Duration,0.0
mdhd(5)_Duration,0.0
mdhd(4)_Create Time,0.0
stsz(5)_Sample Count,0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
free,0.0
tgas,0.0
free(2),0.0
SDLN,0.0
tkhd(5)_Duration,0.0
smrd,0.0
smta,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
elst(5)_Entries,0.0
type,0.0
elst_'Duration,0.0
mdhd(4)_Modify Time,0.0
ftyp_Major Brand,0.0
tref(2),0.0
stsz_Sample Count,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
tkhd(2)_Track ID,0.0
mdhd_Duration,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
mdhd_Language Code,0.0
mdhd_Modify Time,0.0
mdhd(2)_Duration,0.0
mvhd_Preferred Volume,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Timescale,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
tkhd_Track ID,0.0
mdhd_Create Time,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
elst_Entry Count,0.0
elst_Entries,0.0
elst_Media Time,0.0
elst_Rate,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Language Code,0.0
elst(4)_Entries,0.0
stsc(3)_Entry Count,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
ftyp_Minor Version,0.0
mdhd(3)_Create Time,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
mdhd(3)_Modify Time,0.0
elst(3)_Rate,0.0
smhd,0.0
SPS,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
meta,0.0
tapt,0.0
elst(3)_Entries,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
