Feature,Importance
sgpd(3),0.11041781062345211
ctts,0.08478600579508015
sgpd(4),0.07004003230021669
csgm,0.06652370540808693
sgpd(2),0.06065615494359224
csgm(2),0.05686914414324431
cslg,0.050103398867357124
sbgp(2),0.04254993789650854
stco,0.036116387689216725
sdtp,0.03288310741884974
GOP,0.030327758329020734
stsz(5)_Sample Size,0.02889822441697747
stco(5),0.02461785784027559
gmhd(3),0.02357539027033858
stsz(2)_Sample Size,0.02233268077501676
stco(2),0.022160000240515756
stss,0.02058266473759716
elst(5)_Media Time,0.018273982573848345
stco(4),0.01777217491852868
mdhd(5)_Modify Time,0.01693389802034342
tkhd(5)_Height,0.01614874522420611
tref(3),0.01577755923772069
tkhd(5)_Create Time,0.012699508651321002
stsz(3)_Sample Size,0.012663605852621038
mdhd(5)_Timescale,0.011284720349033344
mdhd(5)_Language Code,0.01128159130231847
hdlr(10),0.008662661255320392
mdhd(5)_Create Time,0.008202088391958302
hdlr(9),0.007818029834336871
meta(2),0.007610606046357306
tkhd(5)_Track ID,0.007456195734870068
mvhd_Next Track ID,0.006425583773690714
elst(2)_Media Time,0.0062407139327266496
dinf(5),0.005113890602093222
tkhd(5)_Modify Time,0.004271434192010976
tkhd(5)_Width,0.0039555780351849985
sbgp,0.003289126591757682
stsz(4)_Sample Size,0.0030922688835958905
elst(4)_Media Time,0.0016730439786569321
sgpd,0.0015326070532694805
stco(3),0.001480742028309702
tkhd(2)_Height,0.0008453380464890962
gmhd(2),0.0007205600699074072
tagc(3),0.0007064913026795232
sbgp(3),0.0006833531369788322
hdlr(3),0.000587806502416962
mdhd(2)_Timescale,0.000564349720721395
tkhd_Height,0.0005567547230191968
stss(2),0.0004378456260701806
hdlr(5),0.00035816518682815025
vmhd(2),0.00035454224637703006
tkhd_Width,0.00028156526028749696
sgpd(5),0.0002660003947531711
tkhd(2)_Width,0.00017140204747141983
elst(5)_Rate,0.0001491210707248878
hdlr,0.0001096724890799849
elst(4)_Rate,6.934137773073578e-05
mdhd(3)_Timescale,3.584595676234119e-05
tagc,8.336873397674648e-07
elst(3)_Media Time,3.9299493551633644e-07
sdtp(2),2.3162922419284135e-17
dinf(4),0.0
ctts(2),0.0
auth,0.0
stsz(4)_Sample Count,0.0
vhdr,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
smme,0.0
stsd(5)_Entry Count,0.0
elst(2)_'Duration,0.0
hdlr(8),0.0
0,0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Modify Time,0.0
mdhd(4)_Create Time,0.0
soct,0.0
skip,0.0
type,0.0
elst_'Duration,0.0
smrd,0.0
tagc(2),0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
free,0.0
tgas,0.0
free(2),0.0
mdhd(5)_Duration,0.0
SDLN,0.0
smta,0.0
tkhd(5)_Duration,0.0
cslg(2),0.0
tref(2),0.0
stsz(5)_Sample Count,0.0
co64_Entry Count,0.0
elst(5)_Entries,0.0
tapt(2),0.0
co64(2)_Entry Count,0.0
name(2),0.0
elst(5)_Entry Count,0.0
ftyp_Major Brand,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
mdhd_Language Code,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
mdhd_Duration,0.0
mdhd_Timescale,0.0
mdhd_Modify Time,0.0
mvhd_Preferred Volume,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Timescale,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
tkhd_Track ID,0.0
mdhd_Create Time,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
elst_Entry Count,0.0
elst_Entries,0.0
elst_Media Time,0.0
elst_Rate,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Duration,0.0
mdhd(2)_Language Code,0.0
stts(3)_Entry Count,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
tref,0.0
ftyp_Minor Version,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
mdhd(3)_Create Time,0.0
elst(3)_Rate,0.0
smhd,0.0
SPS,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
meta,0.0
tapt,0.0
elst(3)_Entries,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
