Feature,Importance
sdtp,1.0617711121255389
ctts,1.0527710680632654
cslg,1.0527710680632654
sgpd(2),1.0065792340244637
sbgp(2),0.7466979156428655
sgpd(3),0.6339066742187773
sbgp,0.21110925601530514
sgpd,0.2111091565518433
csgm(2),0.19656622279111824
csgm,0.1960222191776989
sgpd(4),0.1808900029437839
stsz(5)_Sample Size,0.17523093042254737
stco(4),0.16364783297844598
stsz(3)_Sample Size,0.15297224335439447
stss,0.128664828392943
stco,0.12523480035206583
elst(2)_Media Time,0.08718503258138804
sequence,0.08492499049764969
meta(2),0.08492499049764961
stco(5),0.08390692873964613
stco(2),0.07510809799000373
stsz(4)_Sample Size,0.057689377508295836
mdhd(2)_Timescale,0.047416793995988714
tkhd_Height,0.04619183403880454
tkhd_Width,0.04619183403880454
hdlr,0.04619183403880454
tkhd(2)_Height,0.0384129702150965
tkhd(2)_Width,0.0384129702150965
hdlr(3),0.03841297021508877
mdhd_Timescale,0.03718801025791224
elst(5)_Media Time,0.0352028685471174
elst(5)_Rate,0.03520286854711734
dinf(5),0.03309584515662599
mvhd_Next Track ID,0.03309584515662599
tref(3),0.03309584515662599
gmhd(3),0.03309584515662599
hdlr(9),0.03309584515662599
hdlr(10),0.03309584515662596
mdhd(5)_Language Code,0.03309584515662596
mdhd(5)_Timescale,0.03309584515662596
stsz(2)_Sample Size,0.03187088519944164
stco(3),0.027040158155373042
tkhd(5)_Create Time,0.024092021375733658
tkhd(5)_Modify Time,0.024092021375733658
mdhd(5)_Create Time,0.024092021375733658
mdhd(5)_Modify Time,0.024092021375733658
tkhd(5)_Width,0.024092021375733658
tkhd(5)_Height,0.024092021375733658
tkhd(5)_Track ID,0.024092021375733658
GOP,0.021466922801886962
tagc(2),0.007778863823708028
stss(2),0.007778863823707986
ctts(2),0.007778863823707947
cslg(2),0.007778863823707947
tapt(2),0.007778863823707947
sgpd(5),0.007778863823707947
sbgp(3),0.007778863823707947
mdhd(3)_Timescale,0.007778863823707909
tagc,0.007778863823707909
tagc(3),0.007778863823707909
elst(4)_Media Time,0.005130873649426249
elst(4)_Rate,0.0021070233904914148
tref,0.001224959957184253
hdlr(5),0.001224959957184253
sdtp(2),0.001224959957184252
gmhd(2),0.0012249599571842473
vmhd(2),0.0012249599571842473
elst(3)_Media Time,0.0012249599571842473
tkhd(5)_Duration,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
dinf(4),0.0
hdlr(8),0.0
hdlr(7),0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
stsz(4)_Sample Count,0.0
stsz(5)_Sample Count,0.0
elst(5)_Entry Count,0.0
elst(5)_Entries,0.0
soct,0.0
0,0.0
skip,0.0
smme,0.0
vhdr,0.0
auth,0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
type,0.0
name(2),0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
smta,0.0
smrd,0.0
SDLN,0.0
free(2),0.0
tgas,0.0
free,0.0
mdhd(4)_Create Time,0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
mdhd(5)_Duration,0.0
mdhd(4)_Modify Time,0.0
ftyp_Major Brand,0.0
tref(2),0.0
stsz_Sample Count,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
tkhd(2)_Track ID,0.0
mdhd_Duration,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
mdhd_Language Code,0.0
mdhd_Modify Time,0.0
mdhd(2)_Duration,0.0
mvhd_Preferred Volume,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Timescale,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
tkhd_Track ID,0.0
mdhd_Create Time,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
elst_Entry Count,0.0
elst_Entries,0.0
elst_Media Time,0.0
elst_Rate,0.0
mdhd(2)_Modify Time,0.0
mdhd(2)_Language Code,0.0
elst(4)_Entries,0.0
stsc(3)_Entry Count,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
ftyp_Minor Version,0.0
mdhd(3)_Create Time,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
mdhd(3)_Modify Time,0.0
elst(3)_Rate,0.0
smhd,0.0
SPS,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
meta,0.0
tapt,0.0
elst(3)_Entries,0.0
tkhd(3)_Track ID,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
