Feature,Importance
tref(2),0.0641381831056514
stsz(4)_Sample Size,0.058921855869142704
tkhd(4)_Width,0.048001667053366774
tkhd(4)_Track ID,0.04786558385111729
hdlr(5),0.04749934391644773
tref,0.036882301098587415
sgpd(3),0.03595238968405037
elst(3)_Media Time,0.033614987365832
mdhd(4)_Timescale,0.03268573676210436
elst(4)_Media Time,0.03259607867134516
dinf(4),0.03139988370234933
elst(4)_Rate,0.03069098057022606
tkhd(3)_Height,0.030146168182122735
stsz(3)_Sample Size,0.02956626956265878
mdhd(5)_Modify Time,0.027199893604405813
mdhd(4)_Modify Time,0.02694327452680841
stsz(5)_Sample Size,0.01944921974820013
hdlr(7),0.01784614780886133
elst(5)_Media Time,0.017737301452013347
tkhd(5)_Height,0.017631457298629083
mdhd(4)_Create Time,0.016780016948769745
tkhd(4)_Height,0.015737863325910113
gmhd(2),0.015456241027298596
mdhd(5)_Timescale,0.015330493626551749
mdhd(3)_Create Time,0.014985520981759854
tkhd(4)_Modify Time,0.014871113532226721
meta(2),0.01468357901074249
tkhd(5)_Width,0.013784845988068619
stco,0.010421952681768345
stco(2),0.009838304237146281
SPS_pic_order_cnt_type,0.00932106120490049
SPS_constraint_set5_flag,0.008708913883161517
tkhd(5)_Track ID,0.007800588269310735
stco(5),0.006939593190367426
elst(2)_Media Time,0.006880637494182445
gmhd(3),0.0058190607492081235
stco(4),0.0049646757747293805
hdlr(8),0.004490252970276722
mdhd(5)_Create Time,0.00444286099402467
sgpd(2),0.0044417742546854185
stco(3),0.004377299262640037
SPS_frame_crop_bottom_offset,0.004298086115402032
tkhd(5)_Create Time,0.0041411309392252425
hdlr(9),0.003959359001978234
sbgp(2),0.003938235201110375
SPS_log2_max_frame_num_minus4,0.0038709757935431774
SPS_direct_8x8_inference_flag,0.003782179049661922
SPS_profile_idc,0.0036493573806843835
SPS_vui.colour_primaries,0.003498353389670229
SPS_vui_parameters_present_flag,0.0031587937440499176
tkhd(5)_Modify Time,0.003003623541764519
mdhd(5)_Language Code,0.0028731975302755896
mdhd(4)_Language Code,0.0028473301694883282
dinf(5),0.0028356312406394506
SPS_chroma_format_idc,0.0028230902219085405
SPS_qpprime_y_zero_transform_bypass_flag,0.0027938079368512907
hdlr(10),0.0027743084586937176
SPS_log2_max_pic_order_cnt_lsb_minus4,0.002761486977817131
SPS_constraint_set1_flag,0.002435929910737896
SPS_vui.matrix_coefficients,0.0023704262803736814
SPS_constraint_set3_flag,0.002359813925576156
SPS_seq_parameter_set_id,0.002196062418514919
SPS_frame_crop_right_offset,0.002044760415215573
SPS_vui.video_full_range_flag,0.0020106553369652514
SPS_vui.overscan_info_present_flag,0.001893889354852253
SPS_frame_crop_top_offset,0.0017437657844826798
SPS_vui.video_signal_type_present_flag,0.001738761202314839
SPS_frame_mbs_only_flag,0.0017340807431444948
SPS_pic_height_in_map_units_minus1,0.0015659551240005407
tkhd(4)_Create Time,0.0015490926967012088
SPS_pic_width_in_mbs_minus1,0.0015115849735255315
SPS_bit_depth_luma_minus8,0.001497944519292211
mvhd_Next Track ID,0.0014055826073205587
elst(5)_Rate,0.0013639531579867441
stsz(2)_Sample Size,0.0013630912262944156
SPS_seq_scaling_matrix_present_flag,0.0013334637153874357
stss,0.0013309488747411827
sgpd,0.0013162400823653758
SPS_vui.chroma_loc_info_present_flag,0.0012032322189190615
SPS_vui.colour_description_present_flag,0.0009962041999228531
SPS_vui.nal_hrd_parameters_present_flag,0.0009743330913064414
SPS_frame_cropping_flag,0.000937898191409275
mdhd(3)_Language Code,0.0008350567059877303
SPS_constraint_set4_flag,0.0008329047207489497
csgm,0.0006962675891499005
SPS_gaps_in_frame_num_value_allowed_flag,0.0005212349997749035
sdtp(2),0.000506902139875679
cslg(2),0.0004635169632879764
sgpd(4),0.000355039182655673
sbgp,0.0003502715402794435
stss(2),0.0003459645148725448
csgm(2),0.00033056718666040895
hdlr,0.0003168111440681805
ctts(2),0.00028707910456161374
SPS_frame_crop_left_offset,0.00023571491810708467
sequence,0.00019896455668581007
tkhd(3)_Width,0.0001808440692748534
SPS_num_ref_frames,0.00014962728210232216
mdhd(2)_Timescale,0.00010104441799433748
SPS_vui.pic_struct_present_flag,9.463737550899171e-05
tapt(2),8.790189706194598e-05
tkhd(2)_Width,8.25567610326288e-05
cslg,6.692759171475726e-05
SPS_vui.video_format,4.930273535970777e-05
tagc(3),4.915494580382397e-05
vmhd(2),3.820882275764905e-05
SPS_vui.vcl_hrd_parameters_present_flag,2.6505002433011777e-05
ctts,2.082962520001516e-05
tagc,1.4027090493131443e-05
mdhd(3)_Timescale,1.2667413919672577e-05
SPS_level_idc,8.788836177475501e-06
tkhd(2)_Height,2.9888832921677293e-06
tkhd_Height,2.953794392013497e-06
hdlr(3),1.9357251214698038e-06
mdhd_Timescale,8.124778799355518e-07
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
free(2),0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
skip,0.0
0,0.0
SDLN,0.0
type,0.0
elst(5)_Entries,0.0
smrd,0.0
smta,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
elst(5)_Entry Count,0.0
smme,0.0
tkhd(5)_Duration,0.0
elst_'Duration,0.0
tref(3),0.0
elst(2)_'Duration,0.0
auth,0.0
vhdr,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_vui.max_bytes_per_pic_denom,0.0
SPS_hrd.time_offset_length,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
free,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(2),0.0
SPS_vui.max_bits_per_mb_denom,0.0
SPS_vui.log2_max_mv_length_horizontal,0.0
SPS_vui.log2_max_mv_length_vertical,0.0
SPS_vui.num_reorder_frames,0.0
SPS_vui.max_dec_frame_buffering,0.0
SPS_vui.num_units_in_tick,0.0
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.0
SPS_vui.time_scale,0.0
SPS_vui.fixed_frame_rate_flag,0.0
stsz(5)_Sample Count,0.0
SPS_vui.aspect_ratio_idc,0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
tgas,0.0
SPS_hrd.cpb_cnt_minus1,0.0
SPS_hrd.bit_rate_scale,0.0
SPS_hrd.cpb_size_scale,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
mdhd(5)_Duration,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
ftyp_Major Brand,0.0
mdhd(3)_Modify Time,0.0
stsz(4)_Sample Count,0.0
mdhd_Duration,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
elst(2)_Rate,0.0
mdhd(2)_Create Time,0.0
mdhd(2)_Modify Time,0.0
mdhd_Language Code,0.0
mdhd_Modify Time,0.0
mdhd(2)_Language Code,0.0
mdhd_Create Time,0.0
ftyp_Compatible Brands,0.0
wide,0.0
mvhd_Create Time,0.0
mvhd_Modify Time,0.0
mvhd_Timescale,0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
tkhd_Track ID,0.0
tkhd_Create Time,0.0
tkhd_Modify Time,0.0
tkhd_Duration,0.0
tkhd_Width,0.0
elst_Entry Count,0.0
elst_Entries,0.0
elst_Media Time,0.0
elst_Rate,0.0
mdhd(2)_Duration,0.0
smhd,0.0
stsc(4)_Entry Count,0.0
tkhd(3)_Duration,0.0
elst(3)_Entries,0.0
elst(3)_Rate,0.0
ftyp_Minor Version,0.0
mdhd(3)_Duration,0.0
gmhd,0.0
hdlr(6),0.0
dinf(3),0.0
stsd(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
tkhd(4)_Duration,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
mdhd(4)_Duration,0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Modify Time,0.0
hdlr(4),0.0
tkhd(3)_Create Time,0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
