Feature,Importance
stsz(4)_Sample Size,1.554224819027059
tref(2),0.95111419778772
tref,0.9511141977877186
stsz(3)_Sample Size,0.9057927852933855
sgpd(3),0.6892576694456656
stco(4),0.5633316478566028
sbgp(2),0.4869005534091132
sgpd(4),0.4851715405918186
csgm(2),0.4620951158694766
csgm,0.46203979281277774
GOP,0.43456043124693317
stsz(2)_Sample Size,0.4228407177245116
stco(3),0.40185897885708427
meta(2),0.31732879902647465
elst(5)_Media Time,0.255321640508892
hdlr(10),0.255321640508892
mdhd(5)_Timescale,0.255321640508892
elst(5)_Rate,0.2553216405088913
dinf(5),0.2553216405088913
tref(3),0.2553216405088913
hdlr(9),0.2553216405088913
gmhd(3),0.2553216405088913
mdhd(5)_Language Code,0.255321640508891
sgpd(2),0.2319663674840557
cslg,0.22710948170205159
stco(2),0.2237198893311278
SPS_vui.video_format,0.1815758584470825
tkhd(5)_Width,0.1717360953779459
tkhd(5)_Height,0.1717360953779459
tkhd(5)_Create Time,0.17173609537794582
tkhd(5)_Track ID,0.17173609537794582
mdhd(5)_Create Time,0.17173609537794582
mdhd(5)_Modify Time,0.17173609537794582
tkhd(5)_Modify Time,0.17173609537794582
ctts,0.17094625936386312
dinf(4),0.14859837643538082
hdlr(8),0.14859837643538082
gmhd(2),0.14859837643538082
hdlr(7),0.14859837643538082
mdhd(4)_Language Code,0.14859837643538082
elst(4)_Rate,0.14859837643538082
mdhd(4)_Timescale,0.14859837643538082
tkhd(4)_Track ID,0.14859837643538001
SPS_gaps_in_frame_num_value_allowed_flag,0.12431725509970641
SPS_constraint_set5_flag,0.12431725509970641
SPS_constraint_set4_flag,0.12431725509970641
SPS_constraint_set3_flag,0.1243172550997061
SPS_direct_8x8_inference_flag,0.1243172550997061
SPS_frame_mbs_only_flag,0.1243172550997061
SPS_seq_parameter_set_id,0.1243172550997061
SPS_constraint_set2_flag,0.1243172550997061
SPS_constraint_set0_flag,0.1243172550997061
SPS_constraint_set1_flag,0.12316723762612747
SPS_pic_order_cnt_type,0.12316665115540083
SPS_log2_max_pic_order_cnt_lsb_minus4,0.12251964850479653
SPS_qpprime_y_zero_transform_bypass_flag,0.1163964063522687
SPS_bit_depth_chroma_minus8,0.1163964063522687
SPS_bit_depth_luma_minus8,0.1163964063522687
SPS_chroma_format_idc,0.1163964063522687
dinf(3),0.11414417113874836
elst(3)_Rate,0.11414417113874836
mdhd(3)_Timescale,0.11414417113874832
hdlr(6),0.11414417113874832
mdhd(3)_Language Code,0.11414417113874832
hdlr(5),0.11414417113874825
gmhd,0.11414417113874825
tkhd(2)_Width,0.1082345729956545
tkhd(2)_Height,0.1082345729956545
SPS_vui.vcl_hrd_parameters_present_flag,0.10593533248211315
SPS_vui.overscan_info_present_flag,0.10593533248211315
SPS_vui.nal_hrd_parameters_present_flag,0.10478531500853333
SPS_vui.pic_struct_present_flag,0.1047853150085332
