Feature,Importance
stsz(4)_Sample Size,1.5151758691684236
tref(2),1.0347823281008517
tref,1.0347823281008517
sgpd(3),1.0027363022239473
cslg,0.8553811617547211
stsz(3)_Sample Size,0.8307024914973322
ctts,0.8258262336340442
sgpd(2),0.8098603231364694
sdtp,0.7764684826597168
stco(4),0.6094742239882771
stsz(2)_Sample Size,0.5403619347134555
meta(2),0.42006569692016127
GOP,0.4096596325198927
stco(3),0.36186815627956886
sgpd(4),0.33158521147951975
csgm,0.2963453358673557
csgm(2),0.29408659416513366
stco(2),0.19752742769050302
hdlr(9),0.16878104075196554
tref(3),0.16878104075196554
elst(5)_Rate,0.16878104075196554
gmhd(3),0.16878104075196554
dinf(5),0.16878104075196554
elst(5)_Media Time,0.16878104075196543
hdlr(10),0.16878104075196543
mdhd(5)_Timescale,0.16878104075196543
mdhd(5)_Language Code,0.16878104075196543
tkhd(5)_Create Time,0.15749821765071506
tkhd(5)_Modify Time,0.15749821765071506
tkhd(5)_Width,0.15749821765071506
tkhd(5)_Track ID,0.15749821765071506
tkhd(5)_Height,0.15749821765071506
mdhd(5)_Modify Time,0.15749821765071506
mdhd(5)_Create Time,0.15749821765071506
gmhd(2),0.13240810418665197
hdlr(8),0.13240810418665197
hdlr(7),0.13240810418665197
dinf(4),0.13240810418665197
mdhd(4)_Language Code,0.13240810418665197
elst(4)_Rate,0.13240810418665197
mdhd(4)_Timescale,0.13240810418665197
tkhd(4)_Track ID,0.13240810418665197
tkhd(4)_Width,0.1211252810854011
tkhd(4)_Height,0.1211252810854011
tkhd(4)_Modify Time,0.1211252810854011
tkhd(4)_Create Time,0.1211252810854011
mdhd(4)_Create Time,0.1211252810854011
mdhd(4)_Modify Time,0.1211252810854011
mdhd(3)_Language Code,0.11370147130859465
elst(3)_Rate,0.11370147130859465
hdlr(6),0.11370147130859465
dinf(3),0.11370147130859465
mdhd(3)_Timescale,0.11370147130859465
hdlr(5),0.11370147130859465
gmhd,0.11370147130859465
tkhd(3)_Create Time,0.10241864820734344
tkhd(3)_Track ID,0.10241864820734344
mdhd(3)_Modify Time,0.10241864820734344
mdhd(3)_Create Time,0.10241864820734344
tkhd(3)_Height,0.10241864820734344
tkhd(3)_Width,0.10241864820734344
tkhd(3)_Modify Time,0.10241864820734344
elst(2)_Media Time,0.0959754201396162
tkhd(2)_Height,0.09445010373964904
tkhd(2)_Width,0.09445010373964904
sbgp(2),0.0936359967644498
elst(3)_Media Time,0.0882049540428034
hdlr,0.08781471704455143
tkhd_Height,0.08513789754307363
tkhd_Width,0.08513789754307363
stco(5),0.07855882391252093
stss,0.07411577432629962
elst(4)_Media Time,0.06697571930490019
stco,0.06433616533588937
mdhd_Timescale,0.05485049066719891
meta,0.047260205146204826
mvhd_Timescale,0.042287515894734236
hdlr(3),0.03458114459077382
hdlr(4),0.03457680930521578
tapt,0.03371625737166211
hdlr(2),0.0337161551594782
stsz(5)_Sample Size,0.03127321954981199
mdhd(2)_Timescale,0.028031595189859804
ftyp_Compatible Brands,0.020147142668594454
mvhd_Next Track ID,0.015857284184542138
ftyp_Major Brand,0.012831344173900546
elst_Media Time,0.011410125279178063
tgas,0.01009138410068508
name(2),0.007624261944163946
free,0.0076242619441637335
tkhd_Modify Time,0.006616491406589647
tkhd_Create Time,0.006616491406589647
mdhd_Create Time,0.006616491406589647
mdhd_Modify Time,0.006616491406589647
mvhd_Modify Time,0.006192410808514117
mvhd_Create Time,0.006192410808514117
sgpd,0.005630782721531441
elst(2)_Rate,0.005629178061763659
sbgp,0.005629178061763654
mdhd_Language Code,0.004768523918414416
mdhd(2)_Language Code,0.0038601839170690237
elst_Rate,0.003658561157087679
mdhd(2)_Create Time,0.002539896820713938
mdhd(2)_Modify Time,0.002539896820713938
tkhd(2)_Modify Time,0.002539896820713938
tkhd(2)_Create Time,0.002539896820713938
ftyp_Minor Version,0.002313683232573913
dinf(2),0.001970616904675977
smhd,0.001970616904675977
tkhd(2)_Track ID,0.001970616904675977
wide,0.0
vmhd(2),0.0
tapt(2),0.0
auth,0.0
cslg(2),0.0
mvhd_Duration,0.0
mvhd_Preferred Rate,0.0
mvhd_Preferred Volume,0.0
smme,0.0
skip,0.0
tkhd_Track ID,0.0
0,0.0
soct,0.0
ctts(2),0.0
tagc(2),0.0
stss(2),0.0
sdtp(2),0.0
elst(2)_'Duration,0.0
elst_'Duration,0.0
type,0.0
vhdr,0.0
co64(2)_Entry Count,0.0
co64_Entry Count,0.0
smta,0.0
smrd,0.0
SDLN,0.0
free(2),0.0
stsz(5)_Sample Count,0.0
sbgp(3),0.0
sgpd(5),0.0
tagc(3),0.0
tagc,0.0
tkhd_Duration,0.0
mdhd(3)_Duration,0.0
elst_Entry Count,0.0
stts(4)_Entry Count,0.0
elst(2)_Entry Count,0.0
elst(2)_Entries,0.0
mdhd(4)_Duration,0.0
mdhd(2)_Duration,0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
tkhd(4)_Duration,0.0
SPS,0.0
tkhd(3)_Duration,0.0
elst(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
stsd(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
stsc(5)_Entry Count,0.0
tkhd(2)_Duration,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
elst_Entries,0.0
elst(3)_Entries,0.0
mdhd(5)_Duration,0.0
mdhd_Duration,0.0
vmhd,0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
tkhd(5)_Duration,0.0
stsz_Sample Count,0.0
stsz(4)_Sample Count,0.0
stsz(3)_Sample Count,0.0
