Feature,Importance
tref,0.13236063815168947
tkhd(4)_Width,0.0797112118482386
stsz(4)_Sample Size,0.06408582849476054
hdlr(7),0.046804720309847954
tkhd(4)_Create Time,0.045244851244112455
mdhd(4)_Create Time,0.03270984893390315
mdhd(4)_Timescale,0.03206101096579703
tkhd(4)_Track ID,0.03081121538541317
tkhd(3)_Modify Time,0.030190618249423384
tref(2),0.025211203228913678
dinf(5),0.01887633699930833
tkhd(5)_Modify Time,0.01842930449160113
mvhd_Next Track ID,0.017670145210989995
tkhd(3)_Track ID,0.017175246677851457
hdlr(8),0.01681962175437187
mdhd(5)_Create Time,0.016668672957890242
mdhd(4)_Modify Time,0.016452369246010214
dinf(4),0.016367086230660494
hdlr(6),0.016331396870807306
stsz(5)_Sample Size,0.016183744053089564
mdhd(3)_Modify Time,0.016165623722081583
gmhd(2),0.015363215359413276
elst(3)_Rate,0.01522562708144031
mdhd(4)_Language Code,0.015206866387693389
elst(4)_Rate,0.01480211333485698
mdhd(3)_Timescale,0.014622383465419306
tkhd(3)_Create Time,0.014308825891527654
meta(2),0.014204753581162593
tkhd(4)_Height,0.013982493763457702
stco,0.010525181601300617
stco(5),0.009962085102525317
stsz(3)_Sample Size,0.00931529241667696
stco(2),0.009230764021895647
sgpd(3),0.00712474959341012
sgpd,0.0065214291770407965
stco(4),0.005275112445737069
sgpd(2),0.004983450373642559
hdlr(9),0.004915492628700068
SPS_frame_crop_left_offset,0.0047707597051505155
SPS_frame_crop_top_offset,0.004469100015182404
tkhd(5)_Track ID,0.00421049685630943
mdhd(5)_Timescale,0.003642886410298297
sbgp(2),0.003612662382243053
tkhd(5)_Width,0.003580442133442038
SPS_seq_parameter_set_id,0.0035480875208401307
SPS_frame_crop_right_offset,0.0034899665355521857
stss,0.0033082284994670357
SPS_vui.overscan_info_present_flag,0.0032764452949194988
SPS_frame_crop_bottom_offset,0.0032321002091079605
stco(3),0.0031572412050080885
SPS_frame_cropping_flag,0.0029877106761928385
mdhd(5)_Language Code,0.002854709702884602
SPS_vui.pic_struct_present_flag,0.0026778124927475328
SPS_constraint_set1_flag,0.00246994339111256
gmhd(3),0.0022977727515264518
SPS_vui.colour_primaries,0.002200330457327516
SPS_qpprime_y_zero_transform_bypass_flag,0.0021506433533290447
hdlr(10),0.002145473441915903
elst(2)_Media Time,0.0021162762236561533
sdtp,0.0020741404857918724
elst(5)_Rate,0.0019640298427835434
SPS_profile_idc,0.0018276376222916217
SPS_vui_parameters_present_flag,0.0017901370977029827
mdhd(5)_Modify Time,0.001715487926165154
elst(4)_Media Time,0.001617717619187139
SPS_vui.video_format,0.001608739395129849
SPS_vui.nal_hrd_parameters_present_flag,0.0015972885550365973
tkhd(5)_Height,0.0015729133774149667
SPS_vui.video_full_range_flag,0.0015460400870533945
SPS_frame_mbs_only_flag,0.0015328414297754974
SPS_vui.transfer_characteristics,0.001530515500246295
SPS_seq_scaling_matrix_present_flag,0.0014924210868054086
SPS_constraint_set5_flag,0.0014738000151247928
csgm,0.00146721814172373
SPS_level_idc,0.0014594830786974194
SPS_bit_depth_luma_minus8,0.0013873770715190504
SPS_num_ref_frames,0.0012788828607989155
SPS_constraint_set2_flag,0.001195679541312381
stsz(2)_Sample Size,0.0010663805729577436
SPS_log2_max_frame_num_minus4,0.001037440574599225
tref(3),0.0010336481211748558
SPS_vui.colour_description_present_flag,0.0010303554555459976
SPS_chroma_format_idc,0.0010001541186744687
SPS_vui.chroma_loc_info_present_flag,0.0009982689847458535
sbgp(3),0.0007613457684806295
