Feature,Importance
tref(2),0.09659926389485674
tkhd(4)_Create Time,0.06417781414328995
sgpd(3),0.05210208822466846
stsz(3)_Sample Size,0.05171681651316201
stsz(4)_Sample Size,0.0484980973442599
dinf(5),0.04427185690645433
tkhd(5)_Height,0.04346422140407549
tkhd(5)_Width,0.03284121955221178
elst(4)_Media Time,0.03133850170813767
mdhd(4)_Create Time,0.030885467584781345
tkhd(4)_Height,0.030483005792056293
hdlr(8),0.0297016754684231
mdhd(5)_Timescale,0.029222102746060016
gmhd(3),0.027242867892355718
tkhd(5)_Create Time,0.025145049575243977
tref,0.019169548010114095
tkhd(4)_Track ID,0.0165958057623854
mdhd(3)_Language Code,0.016522704784305446
hdlr(6),0.016126481028331852
tref(3),0.015950190650359356
stsz(5)_Sample Size,0.01570417547586676
elst(5)_Media Time,0.015234345231473764
tkhd(3)_Width,0.015072843974242982
elst(3)_Media Time,0.014862346862881532
hdlr(5),0.014428595992635953
stco,0.01217634145334894
SPS_seq_parameter_set_id,0.011436823846320634
SPS_constraint_set0_flag,0.008732781914899186
stco(2),0.008531432544549418
stco(5),0.008210421413613523
stco(4),0.007702747721449546
elst(5)_Rate,0.006748249694123168
stco(3),0.006623052465390483
hdlr(9),0.005914541678949563
SPS_pic_order_cnt_type,0.004950086527996609
elst(4)_Rate,0.00480808036967056
GOP,0.0047375108337417175
dinf(4),0.004688323654207738
SPS_vui_parameters_present_flag,0.0043447515973108475
SPS_vui.chroma_loc_info_present_flag,0.004264299137198431
SPS_pic_width_in_mbs_minus1,0.004100009473374885
mdhd(4)_Language Code,0.00399984771040805
mdhd(5)_Modify Time,0.003949703906219594
sgpd,0.0038435007615493003
SPS_frame_crop_left_offset,0.003781376502575036
SPS_gaps_in_frame_num_value_allowed_flag,0.0036729445297191132
SPS_bit_depth_luma_minus8,0.0036496912025556143
SPS_pic_height_in_map_units_minus1,0.0031975229053943315
mvhd_Next Track ID,0.0031346614512811613
mdhd(5)_Language Code,0.0030700031842038128
sgpd(2),0.0029430230437208133
stss,0.0027791757043458174
