Feature,Importance
stco,9689
stco(2),9261
GOP,4719
sdtp,2848
mvhd_Timescale,1942
meta,1682
elst_Media Time,1167
stco(4),1159
hdlr,1000
elst(2)_Media Time,972
mdhd_Timescale,900
stss,838
sgpd(2),673
ctts,670
mvhd_Next Track ID,612
ftyp_Major Brand,596
ftyp_Minor Version,577
mdhd(2)_Language Code,462
tref,413
cslg,400
sequence,371
tkhd_Width,363
stsz(4)_Sample Size,333
sgpd,249
elst(3)_Media Time,227
stsz(2)_Sample Size,209
hdlr(2),200
mdhd(2)_Timescale,198
hdlr(3),188
hdlr(4),184
ftyp_Compatible Brands,147
tkhd_Create Time,146
tkhd(5)_Track ID,137
stco(3),128
tkhd(2)_Create Time,110
stsz(3)_Sample Size,101
tkhd(2)_Width,91
sbgp(2),82
mdhd_Language Code,81
tkhd(4)_Track ID,35
tapt,24
mvhd_Create Time,23
elst_Rate,22
elst(5)_Media Time,10
elst(2)_Rate,9
tkhd(4)_Create Time,9
elst(3)_Rate,2
meta(2),2
tkhd(3)_Track ID,1
hdlr(10),0
tkhd_Height,0
dinf(5),0
stsd(5)_Entry Count,0
stts(5)_Entry Count,0
hdlr(9),0
gmhd(3),0
tref(3),0
mdhd(5)_Language Code,0
mdhd(5)_Duration,0
stts(4)_Entry Count,0
stsc(4)_Entry Count,0
stsz(4)_Sample Count,0
tkhd(5)_Create Time,0
tkhd(5)_Modify Time,0
tkhd(5)_Duration,0
tkhd(5)_Width,0
tkhd(5)_Height,0
elst(5)_Entry Count,0
elst(5)_Entries,0
elst(5)_Rate,0
stsz(5)_Sample Size,0
mdhd(5)_Create Time,0
mdhd(5)_Modify Time,0
mdhd(5)_Timescale,0
stsc(5)_Entry Count,0
sgpd(3),0
stsz(5)_Sample Count,0
tgas,0
SDLN,0
smrd,0
smta,0
co64_Entry Count,0
co64(2)_Entry Count,0
name(2),0
type,0
elst_'Duration,0
elst(2)_'Duration,0
auth,0
vhdr,0
smme,0
skip,0
0,0
soct,0
free(2),0
free,0
stco(5),0
sbgp(3),0
wide,0
dinf(4),0
csgm,0
csgm(2),0
sgpd(4),0
tapt(2),0
vmhd(2),0
ctts(2),0
cslg(2),0
stss(2),0
sdtp(2),0
tagc,0
tagc(2),0
tagc(3),0
sgpd(5),0
stsd(4)_Entry Count,0
elst(4)_Entry Count,0
hdlr(8),0
gmhd(2),0
elst(2)_Entry Count,0
elst(2)_Entries,0
mvhd_Preferred Volume,0
mdhd(2)_Create Time,0
mdhd(2)_Modify Time,0
mdhd(2)_Duration,0
smhd,0
dinf(2),0
stsd(2)_Entry Count,0
stts(2)_Entry Count,0
stsc(2)_Entry Count,0
stsz(2)_Sample Count,0
mvhd_Preferred Rate,0
sbgp,0
mvhd_Duration,0
tkhd(2)_Height,0
tkhd(2)_Duration,0
tkhd(2)_Modify Time,0
vmhd,0
elst_Entries,0
mdhd_Create Time,0
mdhd_Modify Time,0
tkhd_Duration,0
mdhd_Duration,0
tkhd_Modify Time,0
dinf,0
tkhd(2)_Track ID,0
stsd_Entry Count,0
stts_Entry Count,0
stsc_Entry Count,0
stsz_Sample Size,0
stsz_Sample Count,0
tkhd_Track ID,0
SPS,0
mvhd_Modify Time,0
tkhd(3)_Create Time,0
elst(4)_Rate,0
tkhd(4)_Duration,0
tkhd(4)_Width,0
tkhd(4)_Height,0
elst_Entry Count,0
elst(4)_Entries,0
elst(4)_Media Time,0
tref(2),0
stsc(3)_Entry Count,0
mdhd(4)_Create Time,0
mdhd(4)_Modify Time,0
mdhd(4)_Timescale,0
mdhd(4)_Duration,0
mdhd(4)_Language Code,0
hdlr(7),0
tkhd(4)_Modify Time,0
stts(3)_Entry Count,0
tkhd(3)_Modify Time,0
mdhd(3)_Modify Time,0
tkhd(3)_Duration,0
tkhd(3)_Width,0
tkhd(3)_Height,0
elst(3)_Entry Count,0
elst(3)_Entries,0
mdhd(3)_Create Time,0
mdhd(3)_Timescale,0
stsd(3)_Entry Count,0
mdhd(3)_Duration,0
mdhd(3)_Language Code,0
hdlr(5),0
gmhd,0
hdlr(6),0
dinf(3),0
stsz(3)_Sample Count,0
