Feature,Importance
sgpd(3),0.19692165
tkhd_Create Time,0.087104544
stsz(4)_Sample Size,0.066069275
stsz(2)_Sample Size,0.06291101
mdhd(2)_Language Code,0.06017868
mdhd_Language Code,0.052933846
elst_Media Time,0.0452303
hdlr,0.045185808
sgpd(2),0.04397298
mdhd_Timescale,0.03808501
sbgp(2),0.030749002
stco(4),0.025063055
mvhd_Next Track ID,0.023178823
ftyp_Minor Version,0.02148389
sdtp,0.02070608
mvhd_Timescale,0.020580443
ftyp_Major Brand,0.019960642
meta,0.017306797
cslg,0.0157528
mdhd(2)_Timescale,0.012700019
tapt,0.012363569
elst(2)_Media Time,0.010685542
tkhd_Width,0.009981365
GOP,0.009724996
ctts,0.009227563
tref,0.008954033
sequence,0.007944266
sgpd,0.0074138204
tkhd(2)_Width,0.0046306252
stsz(3)_Sample Size,0.00387933
stss,0.0029645197
stco(2),0.001992625
stco,0.0017729931
elst(3)_Media Time,0.0015586786
stco(5),0.0006268317
stco(3),0.00020465278
dinf(5),0.0
stsd(5)_Entry Count,0.0
tref(3),0.0
hdlr(10),0.0
stts(5)_Entry Count,0.0
gmhd(3),0.0
stsc(5)_Entry Count,0.0
hdlr(9),0.0
mdhd(5)_Language Code,0.0
stsz(5)_Sample Size,0.0
mdhd(5)_Duration,0.0
mdhd(5)_Timescale,0.0
mdhd(5)_Modify Time,0.0
mdhd(5)_Create Time,0.0
mdhd_Duration,0.0
elst(5)_Rate,0.0
elst(5)_Media Time,0.0
gmhd(2),0.0
hdlr(8),0.0
dinf(4),0.0
stsd(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsc(4)_Entry Count,0.0
mvhd_Preferred Rate,0.0
stsz(4)_Sample Count,0.0
mvhd_Duration,0.0
tkhd(5)_Track ID,0.0
tkhd(5)_Create Time,0.0
tkhd(5)_Modify Time,0.0
tkhd(5)_Duration,0.0
tkhd(5)_Width,0.0
tkhd(5)_Height,0.0
elst(5)_Entry Count,0.0
stsz(5)_Sample Count,0.0
elst(5)_Entries,0.0
mvhd_Modify Time,0.0
meta(2),0.0
type,0.0
free(2),0.0
SDLN,0.0
smrd,0.0
smta,0.0
co64_Entry Count,0.0
co64(2)_Entry Count,0.0
name(2),0.0
elst_'Duration,0.0
mdhd(4)_Language Code,0.0
elst(2)_'Duration,0.0
auth,0.0
vhdr,0.0
smme,0.0
skip,0.0
0,0.0
soct,0.0
tgas,0.0
free,0.0
sbgp(3),0.0
sgpd(5),0.0
mvhd_Create Time,0.0
wide,0.0
ftyp_Compatible Brands,0.0
csgm,0.0
csgm(2),0.0
sgpd(4),0.0
tapt(2),0.0
vmhd(2),0.0
ctts(2),0.0
cslg(2),0.0
stss(2),0.0
sdtp(2),0.0
tagc,0.0
tagc(2),0.0
tagc(3),0.0
hdlr(7),0.0
tref(2),0.0
mdhd(4)_Duration,0.0
elst(2)_Rate,0.0
mdhd(2)_Modify Time,0.0
elst_Entries,0.0
mdhd(2)_Duration,0.0
elst_Entry Count,0.0
hdlr(3),0.0
smhd,0.0
hdlr(4),0.0
dinf(2),0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsc(2)_Entry Count,0.0
tkhd_Height,0.0
stsz(2)_Sample Count,0.0
sbgp,0.0
tkhd_Duration,0.0
mdhd(2)_Create Time,0.0
elst_Rate,0.0
tkhd_Modify Time,0.0
elst(2)_Entries,0.0
mdhd_Create Time,0.0
vmhd,0.0
hdlr(2),0.0
dinf,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
stsc_Entry Count,0.0
stsz_Sample Size,0.0
stsz_Sample Count,0.0
tkhd(2)_Track ID,0.0
tkhd(2)_Create Time,0.0
tkhd(2)_Modify Time,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Height,0.0
elst(2)_Entry Count,0.0
SPS,0.0
tkhd_Track ID,0.0
mdhd(4)_Timescale,0.0
stsd(3)_Entry Count,0.0
stsc(3)_Entry Count,0.0
mvhd_Preferred Volume,0.0
tkhd(4)_Track ID,0.0
tkhd(4)_Create Time,0.0
tkhd(4)_Modify Time,0.0
tkhd(4)_Duration,0.0
tkhd(4)_Width,0.0
tkhd(4)_Height,0.0
elst(4)_Entry Count,0.0
elst(4)_Entries,0.0
elst(4)_Media Time,0.0
elst(4)_Rate,0.0
mdhd_Modify Time,0.0
mdhd(4)_Create Time,0.0
mdhd(4)_Modify Time,0.0
stts(3)_Entry Count,0.0
dinf(3),0.0
tkhd(3)_Track ID,0.0
hdlr(6),0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Duration,0.0
tkhd(3)_Width,0.0
tkhd(3)_Height,0.0
elst(3)_Entry Count,0.0
elst(3)_Entries,0.0
elst(3)_Rate,0.0
mdhd(3)_Create Time,0.0
mdhd(3)_Modify Time,0.0
mdhd(3)_Timescale,0.0
mdhd(3)_Duration,0.0
mdhd(3)_Language Code,0.0
hdlr(5),0.0
gmhd,0.0
stsz(3)_Sample Count,0.0
