Feature,Importance
ctts,1.2711799626949971
meta,0.9703873866168043
sdtp,0.9494487936039755
SPS_vui.chroma_sample_loc_type_bottom_field,0.9260465233450158
SPS_vui.chroma_sample_loc_type_top_field,0.9260465233450158
cslg,0.7869905041591034
SPS_vui.chroma_loc_info_present_flag,0.7366722775893471
hdlr(4),0.6284961968293644
hdlr(3),0.628494141517621
mdhd_Language Code,0.5852016024679141
ftyp_Compatible Brands,0.4455479690638974
ftyp_Minor Version,0.4079642562482313
mvhd_Timescale,0.3695553584940651
ftyp_Major Brand,0.32866533378513113
tkhd_Height,0.3267160065407456
tkhd_Width,0.3267160065407456
SPS_frame_cropping_flag,0.30691998355859773
stco(2),0.29411278100729643
hdlr,0.2914943943114924
mdhd(2)_Language Code,0.2851677900722008
SPS_frame_mbs_only_flag,0.2771942543610581
SPS_constraint_set0_flag,0.2771942543610581
SPS_constraint_set2_flag,0.2771942543610581
SPS_constraint_set3_flag,0.2771942543610581
SPS_constraint_set4_flag,0.2771942543610581
SPS_constraint_set5_flag,0.2771942543610581
SPS_gaps_in_frame_num_value_allowed_flag,0.2771942543610581
SPS_seq_parameter_set_id,0.2771942543610581
SPS_direct_8x8_inference_flag,0.2771942543610581
SPS_constraint_set1_flag,0.2613775981713195
SPS_pic_order_cnt_type,0.26136953220186093
SPS_log2_max_pic_order_cnt_lsb_minus4,0.25247104264535075
SPS_vui.matrix_coefficients,0.25110038506024157
SPS_frame_crop_right_offset,0.24720324561410248
SPS_vui_parameters_present_flag,0.2447500689534736
stco,0.23314271366708705
SPS_vui.video_full_range_flag,0.22818078366843336
tkhd(2)_Width,0.21214679338694123
tkhd(2)_Height,0.21214679338694123
SPS_profile_idc,0.20910203161563778
sgpd,0.19013376058394216
sbgp,0.1901331726253114
elst(2)_Rate,0.19013317262531132
elst_Rate,0.18581310049278213
SPS_pic_width_in_mbs_minus1,0.18237331600990264
elst(2)_Media Time,0.17920748704993503
sgpd(2),0.17158502512307014
tkhd(3)_Track ID,0.1676808427299668
tkhd(3)_Modify Time,0.1676808427299668
tkhd(3)_Width,0.1676808427299668
mdhd(3)_Create Time,0.1676808427299668
tkhd(3)_Height,0.1676808427299668
tkhd(3)_Create Time,0.1676808427299668
mdhd(3)_Modify Time,0.1676808427299668
SPS_frame_crop_top_offset,0.16535394175597615
SPS_frame_crop_left_offset,0.16535394175597615
sbgp(2),0.1557432780851917
GOP,0.15211611134665345
mdhd(4)_Modify Time,0.1501478428360643
mdhd(4)_Create Time,0.1501478428360643
tkhd(4)_Height,0.1501478428360643
tkhd(4)_Width,0.1501478428360643
tkhd(4)_Modify Time,0.1501478428360643
tkhd(4)_Create Time,0.1501478428360643
SPS_frame_crop_bottom_offset,0.14906474889865823
hdlr(2),0.1468385766048669
tapt,0.14683800639124453
SPS_vui.transfer_characteristics,0.13352649850780804
SPS_vui.colour_description_present_flag,0.13249380094470087
SPS_vui.timing_info_present_flag,0.12873295221483091
csgm,0.11718826534101366
sgpd(4),0.11717472045853744
csgm(2),0.11717472045853744
SPS_seq_scaling_matrix_present_flag,0.11653653438429462
mvhd_Next Track ID,0.11621044852652877
SPS_vui.bitstream_restriction_flag,0.11291629602509519
SPS_vui.aspect_ratio_info_present_flag,0.10200627755292895
SPS_num_ref_frames,0.10184868260165372
elst_Media Time,0.1000326997616521
SPS_vui.log2_max_mv_length_vertical,0.09981179523424755
SPS_vui.log2_max_mv_length_horizontal,0.09981179523424755
tgas,0.09903969420473635
SPS_hrd.cpb_cnt_minus1,0.09416607357062814
SPS_hrd.bit_rate_scale,0.09416607357062814
SPS_hrd.cpb_size_scale,0.09416607357062814
SPS_vui.low_delay_hrd_flag,0.09416607357062814
SPS_vui.colour_primaries,0.09108596882034149
stsz(5)_Sample Size,0.09040154150982935
SPS_pic_height_in_map_units_minus1,0.08659853837440985
SPS_vui.nal_hrd_parameters_present_flag,0.08399203234426435
SPS_vui.pic_struct_present_flag,0.08399203234426435
mdhd(5)_Modify Time,0.078077598158192
tkhd(5)_Height,0.078077598158192
tkhd(5)_Width,0.078077598158192
tkhd(5)_Modify Time,0.078077598158192
