Feature,Importance
mdhd(2)_Language Code,0.026417015650641765
GOP,0.0252966385815958
ftyp_Major Brand,0.021791862141282422
mvhd_Timescale,0.02106167406445056
meta,0.019260308994504476
SPS_profile_idc,0.018095607423740518
SPS_vui.aspect_ratio_info_present_flag,0.017745251151808274
SPS_vui.time_scale,0.017003740645025883
ctts,0.01641382699877136
SPS_seq_parameter_set_id,0.016392564056783063
stco,0.01566599897680465
SPS_vui.chroma_sample_loc_type_top_field,0.01560391555635623
SPS_vui.matrix_coefficients,0.01488442387650065
SPS_vui.fixed_frame_rate_flag,0.014758427398630914
stsz(3)_Sample Size,0.014655443683832965
sgpd,0.014144265332281487
mdhd_Timescale,0.01389449112412047
SPS_chroma_format_idc,0.013729798650103873
hdlr(4),0.013618729777750107
ftyp_Compatible Brands,0.013586496425120989
hdlr(3),0.013562874161082188
SPS_vui.video_full_range_flag,0.013552425665141627
SPS_qpprime_y_zero_transform_bypass_flag,0.013547597953963804
cslg,0.013434518003460292
SPS_num_ref_frames,0.013317098430085973
stco(2),0.013043947620080789
elst(2)_Media Time,0.01300595731397585
SPS_level_idc,0.012903649919640695
SPS_pic_height_in_map_units_minus1,0.012352655618516445
SPS_frame_cropping_flag,0.011850913447298895
tkhd_Width,0.011848373551605458
SPS_vui.chroma_loc_info_present_flag,0.01176028050964045
SPS_bit_depth_luma_minus8,0.011640270661485715
tapt,0.01161342200960698
sbgp(2),0.011581195186996001
SPS_vui.video_signal_type_present_flag,0.01144108856360819
sdtp,0.011389571146320956
elst_Media Time,0.011046055458270245
mdhd_Modify Time,0.010580238729998349
stco(4),0.010299494269853828
name(2),0.00998022400557286
SPS_bit_depth_chroma_minus8,0.009959669684247989
SPS_vui.bitstream_restriction_flag,0.009865157279055424
SPS_vui_parameters_present_flag,0.009351984331769543
mvhd_Next Track ID,0.008918320876959793
SPS_frame_crop_bottom_offset,0.008785335454810389
SPS_frame_crop_right_offset,0.008466196098061552
tkhd_Modify Time,0.008258842343960076
tkhd(3)_Create Time,0.008243569760218734
mdhd(2)_Timescale,0.007869783325941718
tkhd(2)_Height,0.007847647693069334
hdlr(2),0.0077683580291691414
free,0.007757599251849755
SPS_seq_scaling_matrix_present_flag,0.007752964873019774
stss,0.007488683273728783
stsz(4)_Sample Size,0.0073806998823168594
SPS_vui.chroma_sample_loc_type_bottom_field,0.007339004977647643
ftyp_Minor Version,0.007155315850036025
stco(3),0.007056313635427916
tkhd_Create Time,0.0066991123784686125
elst(3)_Media Time,0.006626432471370113
sbgp,0.006608659382602104
SPS_constraint_set2_flag,0.006574395412576384
SPS_pic_width_in_mbs_minus1,0.006534438847799336
SPS_pic_order_cnt_type,0.00605375089758793
stsz(2)_Sample Size,0.005872145490444277
SPS_constraint_set3_flag,0.005778431854540198
tkhd(2)_Width,0.005778049300846772
SPS_vui.overscan_info_present_flag,0.005637724943177068
hdlr(5),0.005265854634006348
sgpd(2),0.005055750382034471
tkhd(3)_Modify Time,0.0049437033331009355
elst(2)_Rate,0.004875601411775744
SPS_vui.colour_primaries,0.004757931121961587
hdlr(6),0.004747394873561812
gmhd,0.0047445432712644895
stco(5),0.004368758138517928
SPS_vui.timing_info_present_flag,0.004262681419183058
SPS_constraint_set0_flag,0.004249671481842229
tkhd(4)_Width,0.0042013100350446345
SPS_vui.transfer_characteristics,0.004196499608082513
tkhd(3)_Width,0.004010464112409966
gmhd(2),0.003984108636207282
SPS_vui.vcl_hrd_parameters_present_flag,0.003944950789738944
mdhd(2)_Modify Time,0.0037006582149221342
SPS_frame_crop_top_offset,0.0036916774351467606
mdhd(2)_Create Time,0.003541286398173633
sgpd(4),0.003467521983397024
SPS_vui.pic_struct_present_flag,0.003389367164063588
SPS_vui.nal_hrd_parameters_present_flag,0.0033425991484151395
SPS_vui.num_reorder_frames,0.003304053811344982
SPS_vui.colour_description_present_flag,0.003282571261206866
tkhd(4)_Create Time,0.003222998237397258
SPS_vui.max_bytes_per_pic_denom,0.0032161345798875007
mdhd(4)_Modify Time,0.0032086879658772246
elst(3)_Rate,0.0030958684349796923
SPS_vui.num_units_in_tick,0.0030751234934289023
SPS_direct_8x8_inference_flag,0.0030355524540330815
tkhd(5)_Track ID,0.003001164820190808
SPS_frame_crop_left_offset,0.0028600912938148374
SPS_log2_max_pic_order_cnt_lsb_minus4,0.0026870050769379904
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.002630387409723137
tkhd(4)_Height,0.0026279274738264316
SPS_constraint_set5_flag,0.002528623920441932
elst_Rate,0.0025198207535058756
tkhd(5)_Create Time,0.0024413867433007524
tref,0.002425062755578523
SPS_constraint_set1_flag,0.0023997713756760703
tkhd_Height,0.0022926023461237294
hdlr(10),0.002265561800592488
mdhd(3)_Modify Time,0.0022093244217116425
mdhd(3)_Create Time,0.002057193319627584
SPS_vui.video_format,0.00205373016085978
csgm(2),0.0020195916518764047
mdhd_Create Time,0.002013598457237157
tref(3),0.0019412305977719712
SPS_frame_mbs_only_flag,0.0019267864905036
tkhd(5)_Height,0.0018779351359624397
tkhd(4)_Track ID,0.0017888732498016005
tref(2),0.0017669879310571687
gmhd(3),0.0017048142429228915
SPS_vui.log2_max_mv_length_vertical,0.0016722762102363905
mvhd_Modify Time,0.001612550669277617
mdhd(3)_Timescale,0.0014589199970375024
hdlr,0.0014246220861942843
dinf(5),0.0014093336417616952
tkhd(5)_Modify Time,0.00140439234847787
tgas,0.0013363085380573376
hdlr(7),0.0013168589108570263
SPS_log2_max_frame_num_minus4,0.0012262016804776197
mdhd(5)_Timescale,0.0011886051676331054
tkhd(3)_Height,0.0011694810627976909
mdhd(5)_Modify Time,0.0010220416235649076
SPS_vui.aspect_ratio_idc,0.00099533377379011
SPS_hrd.cpb_size_scale,0.0009940270412757543
tkhd(5)_Width,0.0008499455059020949
mdhd(5)_Create Time,0.00081709711966255
stsz(5)_Sample Size,0.0007914316383747135
sgpd(3),0.0006582885305445469
SPS_hrd.cpb_removal_delay_length_minus1,0.0006027694144856327
tkhd(2)_Modify Time,0.0005911985091552629
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0005817079457711457
hdlr(8),0.0005669424269231898
SPS_vui.log2_max_mv_length_horizontal,0.0005149254497482497
elst(5)_Rate,0.00046299621484065083
tkhd(4)_Modify Time,0.00039372769572069147
elst(4)_Rate,0.00033522164305421005
tkhd(2)_Create Time,0.00032435625725417747
SPS_hrd.dpb_output_delay_length_minus1,0.00024889899497530565
mdhd(5)_Language Code,0.0001730437515090845
hdlr(9),0.00016985489364464788
SPS_vui.max_dec_frame_buffering,0.00014581571542585608
dinf(4),8.749781835713407e-05
elst(4)_Media Time,2.569045950114786e-05
SPS_hrd.cpb_cnt_minus1,3.921666645036356e-06
0,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
soct,0.0
auth,0.0
SPS_vui.max_bits_per_mb_denom,0.0
stsz(5)_Sample Count,0.0
meta(2),0.0
vhdr,0.0
type,0.0
smme,0.0
skip,0.0
SPS_vui.low_delay_hrd_flag,0.0
sgpd(5),0.0
SPS_hrd.bit_rate_scale,0.0
free(2),0.0
tagc,0.0
SPS_hrd.time_offset_length,0.0
sdtp(2),0.0
stss(2),0.0
cslg(2),0.0
ctts(2),0.0
tagc(3),0.0
vmhd(2),0.0
csgm,0.0
tapt(2),0.0
SDLN,0.0
smrd,0.0
smta,0.0
co64(2)_Entry Count,0.0
tagc(2),0.0
sbgp(3),0.0
co64_Entry Count,0.0
wide,0.0
stsc(5)_Entry Count,0.0
SPS_constraint_set4_flag,0.0
stsz(2)_Sample Count,0.0
stsc(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
stsd(2)_Entry Count,0.0
dinf(2),0.0
smhd,0.0
mdhd(2)_Duration,0.0
elst(2)_Entries,0.0
elst(2)_Entry Count,0.0
tkhd(2)_Duration,0.0
tkhd(2)_Track ID,0.0
stsz_Sample Count,0.0
stsz_Sample Size,0.0
stsc_Entry Count,0.0
stts_Entry Count,0.0
stsd_Entry Count,0.0
dinf,0.0
vmhd,0.0
mdhd_Language Code,0.0
mdhd_Duration,0.0
elst_Entries,0.0
elst_Entry Count,0.0
tkhd_Duration,0.0
tkhd_Track ID,0.0
mvhd_Preferred Volume,0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
SPS,0.0
SPS_gaps_in_frame_num_value_allowed_flag,0.0
stts(5)_Entry Count,0.0
tkhd(3)_Track ID,0.0
stsd(5)_Entry Count,0.0
mdhd(5)_Duration,0.0
elst(5)_Media Time,0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
tkhd(5)_Duration,0.0
stsz(4)_Sample Count,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
mdhd(4)_Language Code,0.0
mdhd(4)_Duration,0.0
mdhd(4)_Timescale,0.0
mdhd(4)_Create Time,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Duration,0.0
stsz(3)_Sample Count,0.0
stsc(3)_Entry Count,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
dinf(3),0.0
mdhd(3)_Language Code,0.0
mvhd_Create Time,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Duration,0.0
mdhd(3)_Duration,0.0
