Feature,Importance
auth,2.7487692065033973
SPS_vui.video_format,1.9729137249421893
elst(2)_Rate,1.737695706579229
tref(2),1.6470435589935304
elst_Rate,1.340963888965815
SPS_vui.log2_max_mv_length_horizontal,1.3201148390344015
stsz(2)_Sample Size,1.2889749125298924
ftyp_Compatible Brands,1.2408662780916504
sbgp,1.2322945569584358
sgpd,1.232291610681459
stsz(3)_Sample Size,1.1965077533748782
elst(2)_Media Time,1.1825551416666475
SPS_frame_crop_right_offset,1.180825208484863
tkhd_Width,1.1542600761097748
tkhd_Height,1.1542600761097748
soct,1.1397423746229565
SPS_vui.log2_max_mv_length_vertical,1.1024901895141839
meta,1.0394042165075617
mvhd_Timescale,0.9843170482845871
SPS_vui.bitstream_restriction_flag,0.9654857650708272
SPS_constraint_set0_flag,0.9045167353583004
ctts,0.8815918045904899
elst_Media Time,0.8755783668409044
dinf,0.8626712861740397
stsz_Sample Size,0.862671286174036
tkhd_Track ID,0.862671286174036
SDLN,0.8575754328534119
sgpd(3),0.8213844188148994
smrd,0.7831516510850107
SPS_pic_width_in_mbs_minus1,0.768496025060761
tref,0.7555057217490821
ftyp_Minor Version,0.7391848114039489
SPS_log2_max_frame_num_minus4,0.7172454442517653
vhdr,0.7163383760585209
SPS_vui.video_signal_type_present_flag,0.705463868102207
stco(5),0.6707429159156724
SPS_vui.max_bytes_per_pic_denom,0.6564365290458513
SPS_vui.max_bits_per_mb_denom,0.6563596189512867
stsz(5)_Sample Size,0.6376085560522923
tkhd(2)_Track ID,0.6250288075746601
smhd,0.6250288075746601
dinf(2),0.6250288075746582
SPS_vui.overscan_info_present_flag,0.5944507278700528
SPS_vui.vcl_hrd_parameters_present_flag,0.5944507278700502
SPS_vui.nal_hrd_parameters_present_flag,0.5918926084964631
SPS_vui.pic_struct_present_flag,0.591892608496463
SPS_vui.aspect_ratio_info_present_flag,0.5878607421965093
SPS_vui.chroma_loc_info_present_flag,0.5877194143882958
sbgp(2),0.5803242679098284
SPS_vui.timing_info_present_flag,0.5779624733038218
SPS_level_idc,0.5777785927726469
