Feature,Importance
SPS_level_idc,0.04188887026584248
SPS_pic_width_in_mbs_minus1,0.038192308758189915
tref(2),0.03816860870966958
stsz(3)_Sample Size,0.03522824810831523
stsz(4)_Sample Size,0.028178372886608988
tkhd(4)_Create Time,0.02781832265098976
elst(2)_Media Time,0.02716146918094528
hdlr(8),0.026658628821653013
mdhd_Language Code,0.026081129316231206
mdhd(4)_Create Time,0.025953650402555945
SDLN,0.025408368572350546
SPS_frame_crop_right_offset,0.024853963933756565
tref,0.024566267277742
sgpd,0.02181243094550178
tkhd(4)_Height,0.02138062532912423
mdhd(2)_Language Code,0.018686196459896977
SPS_vui.max_dec_frame_buffering,0.01716372840877871
mdhd(4)_Language Code,0.016786025194385573
mdhd(2)_Timescale,0.016693154725982005
elst(2)_Rate,0.016300811379026364
ftyp_Minor Version,0.014117757987288376
tkhd(4)_Width,0.013981077419867064
elst(3)_Media Time,0.013752355715972619
SPS_log2_max_pic_order_cnt_lsb_minus4,0.013316330379534008
smta,0.012921898220442252
SPS_pic_height_in_map_units_minus1,0.012794272846794073
stsz(5)_Sample Size,0.012281850838793679
SPS_num_ref_frames,0.011300740243734014
sbgp,0.01127697187591658
gmhd(3),0.010637790237676876
SPS_vui.log2_max_mv_length_horizontal,0.010334508477323045
auth,0.01031897068777704
SPS_pic_order_cnt_type,0.01022384914788154
mdhd(5)_Timescale,0.010094822973737287
mdhd_Modify Time,0.009220549586988567
gmhd,0.009220386613861282
mvhd_Timescale,0.00917102759224243
tkhd_Modify Time,0.008131429766371916
tkhd(2)_Modify Time,0.007916574490054585
dinf(3),0.007598049096437591
gmhd(2),0.00750911055198386
tkhd(3)_Width,0.007112347733170443
dinf,0.007106156034988924
sgpd(2),0.007048234485080002
mdhd_Timescale,0.006811426735584258
SPS_log2_max_frame_num_minus4,0.006721791007019422
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.006586094952780179
tkhd(5)_Width,0.006286762581208611
SPS_vui.video_format,0.005893633898284119
SPS_frame_crop_bottom_offset,0.005878886322327745
tkhd_Create Time,0.005686967441660425
hdlr(2),0.005616950185769651
meta,0.005540469917190016
mdhd(4)_Modify Time,0.005515871735580166
GOP,0.005503599864265299
stco,0.005489575060216625
dinf(4),0.005428858342736494
mdhd(3)_Language Code,0.005348343215295782
SPS_vui.colour_primaries,0.005271224890415233
vhdr,0.0051656803038423625
tkhd_Width,0.004971100601909476
smhd,0.004925394407786791
elst_Rate,0.004790711082678303
SPS_vui.max_bytes_per_pic_denom,0.004613741140214609
tkhd_Height,0.00445218453261835
mdhd(5)_Create Time,0.0043637627453181355
mdhd_Create Time,0.0042965846267532136
stco(3),0.004088427337957571
SPS_vui.transfer_characteristics,0.0039344867614389155
ftyp_Major Brand,0.003735380299558743
SPS_frame_crop_left_offset,0.0034647217868598807
tkhd(2)_Create Time,0.0034342337702785264
vmhd,0.003069997584362143
SPS_vui.bitstream_restriction_flag,0.0028528957458700804
stco(2),0.0028490543466890028
mdhd(2)_Modify Time,0.002637894580454082
dinf(2),0.002590429462553917
tkhd(2)_Width,0.0025779875842667343
free,0.0024580720804020435
SPS_vui.num_reorder_frames,0.0023997857380782463
SPS_seq_scaling_matrix_present_flag,0.0023749195174374805
SPS_frame_cropping_flag,0.002371032241012438
tkhd(4)_Modify Time,0.0022984895830829646
stco(4),0.002188694284565034
SPS_constraint_set5_flag,0.002071582684860411
SPS_profile_idc,0.0020453336743303883
SPS_vui.matrix_coefficients,0.0020324103808005457
SPS_vui.log2_max_mv_length_vertical,0.001952664245282979
hdlr(3),0.001919215808054783
stco(5),0.0019104161501040853
SPS_frame_crop_top_offset,0.001769619891468855
ctts,0.0017528770428869318
SPS_vui.max_bits_per_mb_denom,0.001750768873398408
sgpd(3),0.0017131771576697574
tkhd(2)_Height,0.0016954743966118685
elst(5)_Rate,0.001683294216277679
SPS_constraint_set0_flag,0.001647492268307848
mdhd(2)_Create Time,0.0015564829976276848
cslg,0.0015135759269075439
stsz(2)_Sample Size,0.0014775619340608832
tkhd(4)_Track ID,0.0014441279709167135
tapt,0.0014387766344442733
tkhd(5)_Track ID,0.001434000523976829
SPS_vui.video_signal_type_present_flag,0.001386223319103981
ftyp_Compatible Brands,0.0013805092945849574
SPS_qpprime_y_zero_transform_bypass_flag,0.001289474940787539
SPS_bit_depth_chroma_minus8,0.001196422169687383
SPS_seq_parameter_set_id,0.0010573959399054875
SPS_vui_parameters_present_flag,0.0009874791541512123
SPS_vui.pic_struct_present_flag,0.0009847622574341711
SPS_chroma_format_idc,0.0008853031901259829
SPS_vui.timing_info_present_flag,0.0008723889178957794
csgm,0.0008702808040267777
SPS_vui.vcl_hrd_parameters_present_flag,0.0008650722080694784
hdlr(9),0.0008646466883158241
name(2),0.0008562983613731931
tkhd(5)_Height,0.0008343633365177202
sbgp(2),0.0007713810104297037
SPS_constraint_set2_flag,0.000748847183720223
SPS_vui.colour_description_present_flag,0.000738819193335636
SPS_frame_mbs_only_flag,0.0007321621513000166
tkhd(2)_Track ID,0.0007153317694457876
mdhd(5)_Modify Time,0.000653232356443952
sdtp,0.0006238266241580409
hdlr,0.0005441277814732261
SPS_vui.nal_hrd_parameters_present_flag,0.0005214315643926755
tkhd(5)_Modify Time,0.0005192396532357193
stss,0.0005128701628117458
elst_Media Time,0.0005080217262363345
SPS_vui.chroma_loc_info_present_flag,0.00045952498721230626
soct,0.00044532922896755624
SPS_gaps_in_frame_num_value_allowed_flag,0.0004294653869784231
dinf(5),0.0004258649789825176
tkhd(5)_Create Time,0.0003885200215525654
SPS_direct_8x8_inference_flag,0.00038323558464906175
elst(4)_Media Time,0.0003481239529555458
mdhd(3)_Create Time,0.00028990457128353226
cslg(2),0.0002710057643414397
smme,0.00024563718521217697
SPS_vui.video_full_range_flag,0.0002168570562330288
mdhd(4)_Timescale,0.0001403360516434163
stsz_Sample Size,0.00011300918638901987
elst(5)_Media Time,0.00011175961324723541
SPS_bit_depth_luma_minus8,7.478857191697599e-05
sgpd(4),3.204836639770576e-05
mdhd(3)_Timescale,1.4432000497782188e-05
mdhd(5)_Language Code,9.763364364263851e-06
tapt(2),9.759873357471052e-06
tagc(3),4.8500124735443245e-06
ctts(2),1.2704620530142224e-06
tagc(2),9.181250662547976e-07
sbgp(3),1.849961286024025e-07
tagc,1.612314631873425e-07
sgpd(5),1.2226189508145244e-07
smrd,0.0
mvhd_Create Time,0.0
co64_Entry Count,0.0
vmhd(2),0.0
mvhd_Duration,0.0
free(2),0.0
co64(2)_Entry Count,0.0
type,0.0
csgm(2),0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
wide,0.0
skip,0.0
tkhd_Track ID,0.0
0,0.0
mvhd_Modify Time,0.0
sdtp(2),0.0
stss(2),0.0
SPS_hrd.cpb_cnt_minus1,0.0
mvhd_Preferred Rate,0.0
SPS_vui.time_scale,0.0
SPS_vui.fixed_frame_rate_flag,0.0
SPS_vui.aspect_ratio_idc,0.0
mvhd_Preferred Volume,0.0
tgas,0.0
mvhd_Next Track ID,0.0
SPS_hrd.bit_rate_scale,0.0
SPS_vui.chroma_sample_loc_type_bottom_field,0.0
SPS_hrd.initial_cpb_removal_delay_length_minus1,0.0
SPS_hrd.cpb_removal_delay_length_minus1,0.0
SPS_hrd.dpb_output_delay_length_minus1,0.0
SPS_hrd.time_offset_length,0.0
SPS_vui.low_delay_hrd_flag,0.0
SPS_vui.chroma_sample_loc_type_top_field,0.0
SPS_vui.num_units_in_tick,0.0
SPS_hrd.cpb_size_scale,0.0
SPS_constraint_set1_flag,0.0
meta(2),0.0
hdlr(4),0.0
stsd(3)_Entry Count,0.0
elst(2)_Entry Count,0.0
hdlr(6),0.0
elst(2)_Entries,0.0
hdlr(5),0.0
mdhd(3)_Duration,0.0
mdhd(3)_Modify Time,0.0
mdhd(2)_Duration,0.0
elst(3)_Rate,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Height,0.0
tkhd(3)_Duration,0.0
stsc(3)_Entry Count,0.0
tkhd(3)_Modify Time,0.0
tkhd(3)_Create Time,0.0
tkhd(3)_Track ID,0.0
stsd(2)_Entry Count,0.0
stts(2)_Entry Count,0.0
SPS_vui.overscan_info_present_flag,0.0
SPS_vui.aspect_ratio_info_present_flag,0.0
stsc(2)_Entry Count,0.0
stsz(2)_Sample Count,0.0
SPS,0.0
SPS_constraint_set4_flag,0.0
SPS_constraint_set3_flag,0.0
stts(3)_Entry Count,0.0
stsz(3)_Sample Count,0.0
stsz(5)_Sample Count,0.0
tkhd(5)_Duration,0.0
tkhd_Duration,0.0
stsc(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsd(5)_Entry Count,0.0
hdlr(10),0.0
elst_Entry Count,0.0
mdhd(5)_Duration,0.0
elst_Entries,0.0
tref(3),0.0
elst(5)_Entries,0.0
elst(5)_Entry Count,0.0
mdhd_Duration,0.0
stsz(4)_Sample Count,0.0
tkhd(2)_Duration,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
stsd_Entry Count,0.0
stts_Entry Count,0.0
hdlr(7),0.0
mdhd(4)_Duration,0.0
stsc_Entry Count,0.0
stsz_Sample Count,0.0
elst(4)_Rate,0.0
elst(4)_Entries,0.0
elst(4)_Entry Count,0.0
tkhd(4)_Duration,0.0
stsc(4)_Entry Count,0.0
