Feature,Importance
mdhd(2)_Timescale,0.05955261618749388
GOP,0.042707470438695945
elst(2)_Rate,0.03493437126439943
sdtp,0.033126686948962036
mdhd_Timescale,0.03302015979715881
tref(2),0.03012596972835361
elst(2)_Media Time,0.029171246557284307
tref,0.029134553331895765
mvhd_Timescale,0.026469295262325755
mdhd_Modify Time,0.025609675686592184
mdhd(2)_Modify Time,0.025090648945185423
ftyp_Minor Version,0.02496566480825839
ctts,0.024350396101085338
ftyp_Major Brand,0.02344261206780286
mdhd_Language Code,0.02309274016950586
sbgp,0.021381073265176683
elst_Media Time,0.020775013501843777
tkhd_Width,0.019255071165618868
stco(2),0.01845394500600529
sgpd,0.017833649197417648
cslg,0.017800890538555485
meta,0.017473536665982153
stsz(4)_Sample Size,0.016658533226002546
sgpd(3),0.01646238219234827
mvhd_Modify Time,0.01603866193508305
tkhd(2)_Modify Time,0.014769990351016176
tkhd_Height,0.014637657846510504
mdhd(4)_Modify Time,0.014603259633651453
mdhd(2)_Language Code,0.014594134067585116
tkhd(2)_Create Time,0.014393272873451319
mdhd(2)_Create Time,0.01430739115894134
ftyp_Compatible Brands,0.012741519983981287
elst(4)_Media Time,0.012105542892991393
stco,0.011748742767322592
smta,0.011307857535901047
tkhd_Create Time,0.010980766066444365
tkhd_Modify Time,0.01047322607772114
SDLN,0.0099196594274539
stss,0.009575578790209425
hdlr(6),0.008987063768262535
hdlr(4),0.008611501657122675
sbgp(2),0.008495119801275366
hdlr(3),0.008341611750366186
hdlr(7),0.008207807681536927
tkhd(4)_Create Time,0.00820145872914382
tkhd(2)_Width,0.007585743406105346
mdhd_Create Time,0.007331579285182382
mvhd_Create Time,0.006993253125410714
tkhd(3)_Width,0.006626564870309839
tapt,0.005673083247877839
free,0.005410006844934122
tkhd(3)_Create Time,0.004981553476283731
mdhd(4)_Timescale,0.004407816498868452
sgpd(2),0.0040445324305860885
stsz(3)_Sample Size,0.003952371617533932
tkhd(2)_Height,0.0038910398535103026
stsz(5)_Sample Size,0.0037372583927470227
stco(5),0.0035342225155393517
tkhd(5)_Create Time,0.0033575810386624835
dinf(2),0.003178819981425168
hdlr(2),0.003008578866539602
hdlr,0.0028616220289978595
vhdr,0.0027782560314541563
tkhd(2)_Track ID,0.0026582283493306624
smhd,0.0025972108880022646
mdhd(5)_Create Time,0.002431475179709009
tkhd(3)_Height,0.0023087181549744642
elst_Rate,0.0022429909926533213
csgm(2),0.0020734177123777064
stsz(2)_Sample Size,0.0017513944276468475
tgas,0.0016638466231609095
dinf(5),0.0016062821689850014
meta(2),0.0015915569472233022
tkhd(5)_Track ID,0.0014904246064101926
name(2),0.0014196564930303481
stco(3),0.001297151094085045
tkhd(5)_Modify Time,0.0012765206911939404
elst(4)_Rate,0.001114906446783908
stco(4),0.0010800992713999335
smrd,0.0010766584742265598
soct,0.0010759939262004687
csgm,0.0010487979748784175
mdhd(5)_Modify Time,0.0010227926864981758
mvhd_Next Track ID,0.0009365400415849376
hdlr(8),0.0008983588037591557
tkhd(4)_Modify Time,0.0008270254996907648
tkhd(5)_Width,0.000774641065968565
dinf(3),0.0007267439992059599
smme,0.0006786898568923274
mdhd(5)_Timescale,0.0006673673190678628
mdhd(3)_Create Time,0.0005422483446822724
auth,0.0005384425598861426
hdlr(10),0.00046314166335886835
vmhd,0.0003772494626785871
gmhd(3),0.0003756890612201286
dinf(4),0.0003392790137510233
sgpd(4),0.0003255809083389334
tref(3),0.0003203363035073952
tkhd(4)_Height,0.0003154658272470045
tkhd(5)_Height,0.0003032826606716941
type,0.00015867536826981657
