Feature,Importance
auth,1.7553474468364376
SPS_vui.video_format,1.1472552902693742
elst(2)_Rate,1.1238687271267127
stsz(3)_Sample Size,1.0775755645798448
tref(2),0.9024296713515438
SPS_vui.log2_max_mv_length_horizontal,0.833899360183282
tkhd_Width,0.8321231141470724
tkhd_Height,0.8321231141470724
ftyp_Compatible Brands,0.8079176211081033
SPS_frame_crop_right_offset,0.8047591780806198
stsz(2)_Sample Size,0.7509963034041852
elst(2)_Media Time,0.7457062842089736
meta,0.7136694762712726
SPS_vui.log2_max_mv_length_vertical,0.7096157375729004
elst_Rate,0.6411133231171069
SDLN,0.6330968150909293
soct,0.6296527458594661
stco(5),0.6225382793110693
SPS_vui.bitstream_restriction_flag,0.5934860602481012
sbgp,0.5888434050191234
sgpd,0.5888421097596053
smrd,0.5560455063972632
ctts,0.5339670676003857
mvhd_Timescale,0.5215989096692121
tkhd_Track ID,0.5093233339386734
stsz_Sample Size,0.5093233339386734
dinf,0.5093233339386725
SPS_pic_width_in_mbs_minus1,0.4863360341318119
ftyp_Minor Version,0.477926039143477
SPS_constraint_set0_flag,0.476882654692275
stsz(5)_Sample Size,0.4416570923178418
SPS_frame_cropping_flag,0.40882650156780354
stss,0.40849616709590736
SPS_vui.video_signal_type_present_flag,0.4041489689557644
stco(2),0.4040059588694192
elst_Media Time,0.40384412023117305
vhdr,0.40308324004011714
tkhd(2)_Width,0.4005527916117451
tkhd(2)_Height,0.4005527916117451
SPS_log2_max_frame_num_minus4,0.39720301450573536
dinf(2),0.3732963688233284
smhd,0.37329636882332584
tkhd(2)_Track ID,0.37329636882332584
skip,0.37109689149042413
smme,0.37109689149042163
SPS_vui.num_reorder_frames,0.36710371688643484
SPS_vui.max_bytes_per_pic_denom,0.3554151362297482
SPS_vui.max_bits_per_mb_denom,0.3554085827126284
sdtp,0.35098625780799253
SPS_vui.max_dec_frame_buffering,0.34758654562312186
sequence,0.34451387560742497
sbgp(2),0.3426890428707321
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.3425577124488331
tapt,0.33590549206164405
SPS_vui.overscan_info_present_flag,0.32504150305059537
SPS_vui.vcl_hrd_parameters_present_flag,0.32504150305059537
SPS_vui.nal_hrd_parameters_present_flag,0.31870328852482
SPS_vui.pic_struct_present_flag,0.31870328852482
sgpd(2),0.3165237595548713
tref,0.3132995672732047
SPS_profile_idc,0.31114462799566944
SPS_vui.aspect_ratio_info_present_flag,0.3104189443009308
SPS_vui.chroma_loc_info_present_flag,0.308103974910375
SPS_frame_crop_left_offset,0.30623023515666586
SPS_frame_crop_top_offset,0.30623023515666586
name(2),0.3001084562085615
ftyp_Major Brand,0.2967861644619186
SPS_vui.timing_info_present_flag,0.2941697953540948
SPS_qpprime_y_zero_transform_bypass_flag,0.2828678471068554
SPS_bit_depth_chroma_minus8,0.2828678471068554
SPS_bit_depth_luma_minus8,0.2828678471068554
SPS_chroma_format_idc,0.2828678471068554
hdlr,0.28203069314748946
cslg,0.2677729760166922
stco,0.2643321211934368
sgpd(3),0.24817245821109782
mdhd_Timescale,0.24019363311088157
SPS_level_idc,0.22231645986893891
hdlr(4),0.22122510464905873
hdlr(3),0.22120292886475293
mdhd_Language Code,0.22009533794546843
tkhd(2)_Modify Time,0.21812884919680206
mdhd(2)_Modify Time,0.21812884919680206
stsz(4)_Sample Size,0.21473970396226763
tkhd(2)_Create Time,0.21110384871185583
mdhd(2)_Create Time,0.21110384871185583
sgpd(4),0.20678675557680165
csgm,0.204893265885092
tkhd(4)_Height,0.1868595099708193
mdhd(4)_Modify Time,0.1868595099708193
tkhd(4)_Create Time,0.1868595099708193
tkhd(4)_Modify Time,0.1868595099708193
mdhd(4)_Create Time,0.1868595099708193
tkhd(4)_Width,0.1868595099708193
tkhd_Modify Time,0.17924031444917185
mdhd_Modify Time,0.17924031444917185
vmhd,0.17224253216943103
tkhd_Create Time,0.17221531396422746
mdhd_Create Time,0.17221531396422746
hdlr(2),0.1671606435136103
SPS_constraint_set2_flag,0.16362242077675376
SPS_constraint_set3_flag,0.16362242077675376
SPS_constraint_set4_flag,0.16362242077675376
SPS_constraint_set5_flag,0.16362242077675376
SPS_seq_parameter_set_id,0.16362242077675376
SPS_direct_8x8_inference_flag,0.16362242077675376
SPS_frame_mbs_only_flag,0.16362242077675376
SPS_gaps_in_frame_num_value_allowed_flag,0.16362242077675376
type,0.16355278898567996
SPS_constraint_set1_flag,0.15728420625097433
mdhd(2)_Language Code,0.1560452749528478
SPS_vui.video_full_range_flag,0.15568654824612893
mdhd(2)_Timescale,0.14544119204708844
sdtp(2),0.13532526240566975
vmhd(2),0.13532526240566878
mdhd(3)_Create Time,0.13443241936079195
tkhd(3)_Height,0.13443241936079195
mdhd(3)_Modify Time,0.13443241936079195
tkhd(3)_Width,0.13443241936079195
tkhd(3)_Create Time,0.13443241936079195
tkhd(3)_Track ID,0.13443241936079195
tkhd(3)_Modify Time,0.13443241936079195
mvhd_Modify Time,0.12664568485947453
SPS_vui.time_scale,0.12259517593959984
mvhd_Create Time,0.11962068437452705
SPS_vui.fixed_frame_rate_flag,0.1189690438610525
SPS_vui.transfer_characteristics,0.11401411953274808
mdhd(4)_Timescale,0.10980820127715109
mdhd(4)_Language Code,0.10980820127715109
hdlr(8),0.10980820127715109
tkhd(4)_Track ID,0.10980820127715109
dinf(4),0.10980820127715053
hdlr(7),0.10980820127715053
elst(4)_Rate,0.10794570014656363
elst(4)_Media Time,0.10640255903447621
SPS_vui.chroma_sample_loc_type_bottom_field,0.10352656927517762
SPS_vui.chroma_sample_loc_type_top_field,0.10352656927517762
stco(4),0.1005463405126518
SPS_vui.aspect_ratio_idc,0.09990801187141592
SPS_vui.num_units_in_tick,0.0995105341135634
SPS_hrd.cpb_size_scale,0.08695865053258854
SPS_hrd.cpb_cnt_minus1,0.08695865053258854
SPS_hrd.bit_rate_scale,0.08695865053258854
SPS_vui.low_delay_hrd_flag,0.08695865053258854
meta(2),0.08668253460340836
