Feature,Importance
SPS_vui.fixed_frame_rate_flag,0.03624200420046194
SPS_vui.time_scale,0.02999138264567127
SPS_pic_height_in_map_units_minus1,0.0274712492704194
SPS_log2_max_pic_order_cnt_lsb_minus4,0.02621217959287582
elst(2)_Rate,0.025996922829997264
SPS_level_idc,0.025583824205401035
elst(2)_Media Time,0.023649892900734656
mvhd_Timescale,0.02213217735807305
SPS_vui.num_units_in_tick,0.020376044046183702
SPS_pic_width_in_mbs_minus1,0.01938084177068475
mdhd_Timescale,0.01789815179676947
sdtp,0.01771127036687978
mdhd_Modify Time,0.016688413780241836
SPS_pic_order_cnt_type,0.016552040115392377
GOP,0.016180349600284513
ftyp_Minor Version,0.01610084670021448
tkhd(2)_Modify Time,0.01605315845752567
SPS_constraint_set0_flag,0.016030524972009443
sbgp,0.015501272324090053
mdhd(2)_Timescale,0.01339150924507074
meta,0.013313260809901568
mdhd(2)_Modify Time,0.013200421712105077
mvhd_Next Track ID,0.01314661907371285
sgpd,0.013104454268186273
SPS_frame_crop_right_offset,0.012466638573972266
ftyp_Major Brand,0.012121433592803202
tkhd_Height,0.011393569834074921
tkhd_Create Time,0.010927897500981911
SPS_vui.max_dec_frame_buffering,0.01087975241007583
SPS_vui.bitstream_restriction_flag,0.010435577831407713
SPS_profile_idc,0.010329413314636897
tref(2),0.010326919842892376
mvhd_Modify Time,0.010297110739598358
SPS_frame_crop_bottom_offset,0.010173457955376206
SPS_vui.chroma_sample_loc_type_bottom_field,0.008135749011882415
tkhd(2)_Height,0.008127065021325536
SDLN,0.00807554736093222
tkhd(4)_Track ID,0.008049455400740063
ctts,0.008023576454378867
smrd,0.007973340536303523
SPS_vui.num_reorder_frames,0.00787064284345166
tkhd_Width,0.007851317883845405
mdhd_Language Code,0.007774071706801291
tref,0.007678683270193398
stco,0.007667950421147538
SPS_log2_max_frame_num_minus4,0.007644003927510884
SPS_vui.motion_vectors_over_pic_boundaries_flag,0.00735619378161361
stco(2),0.006969637895847974
elst_Media Time,0.006834626045514658
SPS_vui.chroma_sample_loc_type_top_field,0.006623803859828638
SPS_qpprime_y_zero_transform_bypass_flag,0.006584694987599866
mdhd_Create Time,0.006573516318962304
mdhd(3)_Language Code,0.006501259590101375
SPS_frame_cropping_flag,0.006463875665985764
SPS_vui.transfer_characteristics,0.0063132352400505605
SPS_frame_crop_left_offset,0.00630470600066364
hdlr(3),0.006252987588402222
SPS_vui.video_format,0.0061668023196039855
SPS_bit_depth_chroma_minus8,0.006137407244134254
SPS_frame_crop_top_offset,0.006043801125109571
SPS_vui.max_bytes_per_pic_denom,0.005916300834368164
SPS_vui.pic_struct_present_flag,0.005860480474014374
SPS_num_ref_frames,0.005808075004450997
hdlr(5),0.0056935826255876
mvhd_Create Time,0.005665916158777284
mdhd(4)_Modify Time,0.005459811350050886
SPS_vui.matrix_coefficients,0.005153695112687225
sgpd(2),0.004744599384311578
SPS_vui.timing_info_present_flag,0.004365025922647011
stco(5),0.004137567865304384
SPS_vui_parameters_present_flag,0.004117942924053684
SPS_vui.video_signal_type_present_flag,0.004015104556509713
smta,0.003892406656804975
stsz(3)_Sample Size,0.003804795852057327
tkhd(3)_Height,0.003784253382134177
tkhd(4)_Create Time,0.0037419684000069607
SPS_seq_scaling_matrix_present_flag,0.0037227922820959364
SPS_vui.colour_primaries,0.0036935972499581604
mdhd(2)_Language Code,0.003621454911075576
tkhd(3)_Track ID,0.0035777790167870528
hdlr,0.0035417027213928243
SPS_chroma_format_idc,0.003439683617041003
SPS_vui.aspect_ratio_info_present_flag,0.003433142287676514
elst(5)_Rate,0.0033844316840412796
hdlr(8),0.003269012682260817
auth,0.0032343877529622763
tapt,0.003233252120329356
SPS_vui.log2_max_mv_length_vertical,0.0032061611015584105
SPS_vui.video_full_range_flag,0.0031863390750390625
cslg,0.0031855714368133406
elst_Rate,0.0031481604267221434
tkhd(3)_Create Time,0.003146720813005306
sgpd(3),0.0031445626193032455
mdhd(4)_Language Code,0.0030051256508411717
elst(3)_Media Time,0.0029358651656398553
ftyp_Compatible Brands,0.002869571059124745
gmhd,0.0028324327326721124
SPS_vui.nal_hrd_parameters_present_flag,0.0027568865065695646
elst(5)_Media Time,0.0027502396538985284
stsz(4)_Sample Size,0.0027488822136826417
