Feature,Importance
GOP,2.2419761236046836
ctts,1.9774337730578828
mvhd_Timescale,1.7343807324625111
name(2),1.7329254885043002
sbgp,1.5786917676185892
sgpd,1.578691448305932
mdhd_Timescale,1.5452032812020386
meta,1.500165572254774
mvhd_Modify Time,1.4441712419754957
ftyp_Compatible Brands,1.1511484899745719
smrd,1.130393883709018
sdtp,1.0708234738090987
SDLN,1.0545506833959075
auth,1.0482695488150096
ftyp_Major Brand,0.9587847981589451
hdlr,0.9303177972672021
smta,0.9164861738917335
hdlr(4),0.8627863866858634
hdlr(3),0.8627652230960372
tref,0.7694970933872934
stco(2),0.6874136638174001
vhdr,0.6574744081838954
tkhd(2)_Create Time,0.6511775354315886
mdhd(2)_Create Time,0.6511775354315886
tkhd_Modify Time,0.5964692613374422
mdhd_Modify Time,0.5964692613374422
mdhd_Create Time,0.5944600768768207
tkhd_Create Time,0.5944600768768207
type,0.5838772122586646
elst_Rate,0.5704513145933711
ftyp_Minor Version,0.553021018363091
tapt,0.5433584963337613
tkhd(2)_Modify Time,0.5397518027826772
mdhd(2)_Modify Time,0.5397518027826772
elst(2)_Media Time,0.504378965310061
elst_Media Time,0.4477008277611417
stss,0.429554403688425
mdhd_Language Code,0.3852745599830523
free,0.38318740392528533
meta(2),0.3831305794751667
sbgp(2),0.3431921838599288
sgpd(2),0.32895215419363266
cslg,0.28937828258111464
mdhd(2)_Timescale,0.26529008738926124
mvhd_Create Time,0.253241903761234
elst(2)_Rate,0.24620159443800593
hdlr(2),0.20769480507072471
dinf,0.2059659787911246
tkhd_Track ID,0.2059659787911245
stsz_Sample Size,0.2059659787911245
vmhd,0.17744516467366078
mvhd_Next Track ID,0.16554263024633323
tkhd(2)_Width,0.14527816911895733
tkhd(2)_Height,0.14527816911895733
stco,0.13335258880977596
mdhd(3)_Create Time,0.1249142236103555
tkhd(3)_Height,0.1249142236103555
tkhd(3)_Modify Time,0.1249142236103555
tkhd(3)_Create Time,0.1249142236103555
tkhd(3)_Track ID,0.1249142236103555
mdhd(3)_Modify Time,0.1249142236103555
tkhd(3)_Width,0.1249142236103555
mdhd(4)_Modify Time,0.12212599494581873
mdhd(4)_Create Time,0.12212599494581873
tkhd(4)_Create Time,0.12212599494581873
tkhd(4)_Modify Time,0.12212599494581873
tkhd(4)_Width,0.12212599494581873
tkhd(4)_Height,0.12212599494581873
skip,0.09703017084704448
smme,0.09703017084704418
mdhd(2)_Language Code,0.0882504891569888
soct,0.08566836960227443
tagc(2),0.07463478532428673
tagc(3),0.07463478532428672
tagc,0.07463478532428672
sbgp(3),0.07463478532428638
sgpd(5),0.07463478532428638
cslg(2),0.07463478532428638
ctts(2),0.07463478532428638
tapt(2),0.07463478532428541
stss(2),0.07463478532428532
tkhd(5)_Width,0.06493055540590595
mdhd(5)_Modify Time,0.06493055540590595
tkhd(5)_Track ID,0.06493055540590595
tkhd(5)_Create Time,0.06493055540590595
tkhd(5)_Modify Time,0.06493055540590595
tkhd(5)_Height,0.06493055540590595
mdhd(5)_Create Time,0.06493055540590595
tkhd_Height,0.06306759394555343
tkhd_Width,0.06306759394555343
tgas,0.05798191377414521
sgpd(3),0.05621591068623728
csgm(2),0.05397529907917777
sgpd(4),0.05296350989733865
csgm,0.05296349488171814
hdlr(6),0.04907102329724307
mdhd(3)_Language Code,0.04907102329724307
elst(3)_Rate,0.049071023297242666
dinf(3),0.049071023297242666
gmhd,0.049071023297242666
hdlr(5),0.04906314297348261
mdhd(3)_Timescale,0.048150969504668316
hdlr(8),0.046282794632705807
mdhd(4)_Timescale,0.046282794632705807
mdhd(4)_Language Code,0.046282794632705807
tkhd(4)_Track ID,0.046282794632705807
hdlr(7),0.04628279463270526
dinf(4),0.04628279463270526
elst(4)_Rate,0.04599620758112646
elst(4)_Media Time,0.04578652790852452
gmhd(2),0.04507437964387845
stsz(5)_Sample Size,0.04260296575107037
stco(5),0.041463169563119996
tref(2),0.03676034849768971
stsz(3)_Sample Size,0.034739102317103525
stsz(2)_Sample Size,0.030625622820805193
elst(3)_Media Time,0.02028455139919345
stsz(4)_Sample Size,0.01689240108892037
elst(5)_Media Time,0.011199231958785366
elst(5)_Rate,0.011199231958785002
mdhd(5)_Language Code,0.010912644907208354
mdhd(5)_Timescale,0.010912644907208354
hdlr(10),0.010912644907206684
hdlr(9),0.010912644907206392
gmhd(3),0.010912644907206392
dinf(5),0.010912644907206392
tref(3),0.010912644907206392
stco(3),0.008556939313407397
smhd,0.007575789849117651
tkhd(2)_Track ID,0.007575789849117651
dinf(2),0.00757578984911762
stco(4),0.0025370633700120405
sdtp(2),0.0012084149888272563
vmhd(2),0.0012084149888272559
stsc_Entry Count,0.0
mdhd(2)_Duration,0.0
elst(2)_Entries,0.0
elst(2)_Entry Count,0.0
tkhd(2)_Duration,0.0
stsz_Sample Count,0.0
free(2),0.0
mvhd_Preferred Rate,0.0
mvhd_Duration,0.0
elst(5)_Entries,0.0
stsd(2)_Entry Count,0.0
co64(2)_Entry Count,0.0
stts_Entry Count,0.0
stsd_Entry Count,0.0
elst_'Duration,0.0
elst(2)_'Duration,0.0
wide,0.0
mdhd_Duration,0.0
tkhd_Duration,0.0
elst_Entries,0.0
0,0.0
elst_Entry Count,0.0
co64_Entry Count,0.0
stts(2)_Entry Count,0.0
elst(5)_Entry Count,0.0
stsc(2)_Entry Count,0.0
tkhd(5)_Duration,0.0
stsz(4)_Sample Count,0.0
mdhd(5)_Duration,0.0
stsc(4)_Entry Count,0.0
stts(4)_Entry Count,0.0
stsd(4)_Entry Count,0.0
mdhd(4)_Duration,0.0
elst(4)_Entries,0.0
stsd(5)_Entry Count,0.0
stts(5)_Entry Count,0.0
stsc(5)_Entry Count,0.0
tkhd(4)_Duration,0.0
stsz(5)_Sample Count,0.0
stsz(3)_Sample Count,0.0
stsc(3)_Entry Count,0.0
mvhd_Preferred Volume,0.0
stts(3)_Entry Count,0.0
stsd(3)_Entry Count,0.0
mdhd(3)_Duration,0.0
elst(3)_Entries,0.0
elst(3)_Entry Count,0.0
tkhd(3)_Duration,0.0
stsz(2)_Sample Count,0.0
elst(4)_Entry Count,0.0
